id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,Are the premises of this asset cleaned with disinfectant regularly?,The Over Ground water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,What is the type of the material that is used to cover the roof of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank ?,Are there any water level indicators marked?,What is the frequency of technical maintenance or safety audit ?,,,,,,
1757.00,Water,Over Ground Tanks,East Siang,Mebo,Mebo,28.17,95.43,pakka road,4g reliable,bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support#technical support,discarded in govt. designated structures,yes,concrete,yes,20000.00,cement slabs,2.00,1.00,no,monthly,,,,,,
1765.00,Water,Over Ground Tanks,East Siang,Oyan,Murali,27.91,95.27,kacha road,3g reliable,jio#idea,"pakka/permenant(steel,concrete,etc.,)",support via subsidies#support via schemes,none,no,concrete,no,3000.00,cement slabs,2.00,2.00,yes,yearly,,,,,,
1819.00,Water,Over Ground Tanks,Lower Subansiri,Pistana,Did,27.60,93.68,kacha road,4g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support#technical support,none,yes,concrete,no,80000.00,tin sheets,more than 4,1.00,no,others,,,,,,
1837.00,Water,Over Ground Tanks,Lower Subansiri,Pistana,Did,27.60,93.67,kacha road,nil,N/A,"pakka/permenant(steel,concrete,etc.,)",financial support,mixes with the near by water bodies,no,concrete,yes,600.00,steel,1.00,1.00,no,irregular,,,,,,
1841.00,Water,Over Ground Tanks,Lower Subansiri,Pistana,Did,27.60,93.67,kacha road,4g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support#technical support,none,yes,concrete,no,10000.00,tin sheets,1.00,more than 4,no,monthly,,,,,,
1919.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hong,27.56,93.85,kacha road,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,mixes with the near by water bodies,no,concrete,no,5000.00,cement slabs,2.00,2.00,no,yearly,,,,,,
1920.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hong,27.56,93.85,pakka road,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,mixes with the near by water bodies,no,concrete,yes,3000.00,cement slabs,2.00,2.00,no,yearly,,,,,,
1924.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hong,27.56,93.85,pakka road,4g unreliable,vodafone#airtel#bsnl,"pakka/permenant(steel,concrete,etc.,)",support via schemes,mixes with the near by water bodies,no,concrete,no,2000.00,cement slabs,2.00,2.00,no,yearly,,,,,,
2395.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Modang Tage,27.57,93.87,pakka road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",technical support,mixes with the near by water bodies,yes,concrete,yes,10000.00,tin sheets,more than 4,more than 4,no,never,,,,,,
2578.00,Water,Over Ground Tanks,Lower Subansiri,Yachuli,Jara,27.53,93.77,kacha road,4g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",others,discarded in open field,no,concrete,no,5000.00,cement slabs,1.00,1.00,no,yearly,,,,,,
