id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel to avail public transport facility? (in K.M),How many school buses go to this asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What is the type of structure of this asset?,What is the type of security available for the asset?,What is the total campus area?,What are the working hours of the facility?(Ex: 9.00A.M-5.A.M),What are the working days of the facility?,How many teachers are employed in the facility?,How many support staff are employed in the facility?,Where do you get drinking water from?,How much do you pay per litre of bottled water? (In Rupees),Are there toilets available for public usage?,Are there toilets available seperately as per gender?,Is there running water available in the toilets at this asset?,Is there soap for handwash available next to the sink?,How do you deal with the waste generated from the facility?,What are the other mechanism used to discard the waste?,Are the premises cleaned with disinfectant regularly?,How frequently are the premises cleaned with disinfectant in a week?,Do you have grid connection for energy supply?,How many hours per day are you facing power cuts?,What is the alternative energy source available in the facility?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,Do you have landline connectivity?,What is the number with STD Code?,Do you have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records?,What is the other recording mechanism?,What are the areas you get support from government agencies?,Where do you majorly get textbooks for educational purposes?,What other places do you get textbooks from?,Where do you get the curriculum for classes and educational programs?,What other places do you get textbooks from?,Are you using digital tools for your operations?,For what purpose are you using these?,Are there checkups or medical facilities available?,What is the frequency of these checkups?,Are there any meals served?,Is the nutritional value monitored?,Is there presence of any recreational/playing material for the kids?,What kind of residential facilities are available?,How many classrooms are there in the institute ?,Does the institute have a hall or auditorium?,How many seats are there?,Which labs are present in the institute?,Does the institute have a designated library?,How many people are students at this asset?,Apart from academics what are the co-curricular activities available for students ?,What is the percentage of drop-outs?,What is the reason for dropouts?,What is the reason for dropouts?,What is the reason for dropouts?,What is the reason for dropouts?,Are there any disaster management courses or drills practice at the institute?,"Is this a primary, secondary, or senior secondary school?",Are there any counselors at this institute?,Do parent-teacher meetings take place?,How often do parent-teacher meetings occur?,Does the institute require uniforms?,Are the teachers certified?,How frequently does the teacher trainer visit the school?,Which Board/University is this school affiliated with?,Which other board/university is this institute affiliated with?
2660,2019-03-28 05:46:35,Education,Schools,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.53519,91.71822,Approved,https://smartvillage.imagetrekk.com/storage/images/3J9GthwboCiBmoxh2H9rgApSK3jhtDS9atQfOsmM.jpeg?asset_id=2660,Tsonkhapa English School,5,Pakka Road,0.3,0,4G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",1000,9:0 to 2:10,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",7,2,Tap Water from Government,,Yes,No,Yes,Yes,Discarded in Govt. designated sites,,Yes,5,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"["" Financial Support""]",Supplier in other states,,Local Supplier,,No,,Yes,Not fixed,No,,Yes,Off-site Residential Areas,8,No,,"[""None ""]",No,75,"[""Sports "",""Dance "",""Art "",""Other ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,No,Yes,Twice a year,Yes,Yes,Not fixed,CBSE,
2662,2019-03-28 05:47:16,Education,Schools,tenjin yeshii,Government,In Use,Tawang,Lumla,Manpat,27.53,91.71418,Approved,https://smartvillage.imagetrekk.com/storage/images/vckICsMsO7jcth05AhlUvpqwnU7uMzcwgmNIADxb.jpeg?asset_id=2662,Govt Residential School Melonghar,3,Pakka Road,1.5,0,3G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None ""]",2000,8:45 to 3:30,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",5,8,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,6,Yes,1,None,,,,,,,No,,No,,Traditional Book Keeping,,"["" Financial Support""]",Government Agency,,Government Agency,,No,,Yes,Not fixed,Yes,Yes,No,Off-site Residential Areas,8,No,,"[""None ""]",No,195,"[""Sports "",""Dance "",""Art "",""Other ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,No,Yes,More than 3 times a year,Yes,Yes,Not fixed,CBSE,
2666,2019-03-29 03:05:04,Education,Schools,tenjin yeshii,Government,In Use,Tawang,Lumla,Lumla,27.54148,91.727,Approved,https://smartvillage.imagetrekk.com/storage/images/BQZnTtv2Hn7nYKZVOfijQVlG193f7fRp8deA9Ljo.jpeg?asset_id=2666,Govt Middle School Lumla,10,Kacha Road,2,0,4G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None ""]",1500,9:0 to 3:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",7,2,Tap Water from Government,,Yes,Yes,Yes,Yes,Discarded in Govt. designated sites,,Yes,2,Yes,1,Kerosene Generator,0,0,0,0,0,0,No,,No,,Traditional Book Keeping,,"[""Technical Support "","" Financial Support""]",Government Agency,,Government Agency,,Yes,"[""Digital Learning (projectors, tvs, etc.) ""]",Yes,Not fixed,Yes,Yes,Yes,Off-site Residential Areas,9,Yes,80,"[""None ""]",No,95,"[""Sports "",""Dance "",""Art ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,Yes,Yes,Once a year,Yes,Yes,Once in 9-12Months,CBSE,
2736,2019-03-31 09:31:18,Education,Schools,tashi drema,Government,Repairable,Tawang,Mukto,Gomkelling,27.5501,91.92941,Approved,https://smartvillage.imagetrekk.com/storage/images/IHTnoPscyF1cam6p7oFHRwNG6YsrifIDQfFayso8.jpeg?asset_id=2736,...,1,Footway,0.5,0,4G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",2800,9:0 to 3:30,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",2,1,Tap Water from Government,,Yes,Yes,Yes,Yes,Discarded in Open Field,,No,,Yes,1,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",Government Agency,,Government Agency,,No,,No,,Yes,Yes,Yes,None,6,No,,"[""None ""]",No,5,"[""Sports "",""Dance "",""Art ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,No,Yes,More than 3 times a year,Yes,Yes,Not fixed,CBSE,
2778,2019-04-02 02:26:13,Education,Schools,tashi drema,Government,In Use,Tawang,Mukto,Mukto,27.54454,91.92781,Approved,https://smartvillage.imagetrekk.com/storage/images/0pPis486G0pSkumKp5oE0fAGGxZYl6pIv2m0wbqU.jpeg?asset_id=2778,0 pertcent drop out .... Every week parrent meeting occur,1,Pakka Road,0,0,4G Unreliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing "",""Watchman ""]",30000,5:0 to 8:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Sunday"",""Saturday ""]",8,4,Tap Water from Government,,Yes,Yes,Yes,Yes,Discarded in Open Field,,Yes,4,Yes,2,Diesel Generator,2,2,2,2,2,2,No,,Yes,3,Digital Records - Using Computer/Mobile,,"[""Transport Support "",""Technical Support "","" Financial Support""]",Government Agency,,Government Agency,,Yes,"[""Digital Learning (projectors, tvs, etc.) ""]",Yes,Once in 3-6 Months,Yes,Yes,Yes,None,10,Yes,100,"[""Science "",""Maths "",""Computers "",""Other ""]",Yes,100,"[""Sports "",""Dance "",""Art "",""Other ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",Yes,Secondary,Yes,Yes,Once a year,No,Yes,Once in 0-3 Months,CBSE,
2779,2019-04-02 02:26:16,Education,Schools,tashi drema,Government,In Use,Tawang,Mukto,Mukto,27.54514,91.92578,Approved,https://smartvillage.imagetrekk.com/storage/images/23OFadwWjZMJRHymTUDMf6Mu8r5IDg3NVDIIaC4a.jpeg?asset_id=2779,No any Drop-outs,1,Footway,0.3,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",1000,8:0 to 2:0,"[""Monday "",""Tuesday "",""Friday "",""Saturday "",""Wednesday "",""Thursday ""]",13,1,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"["" Financial Support"",""Technical Support ""]",Government Agency,,Government Agency,,No,,No,,Yes,No,No,None,8,No,,"[""None ""]",Yes,53,"[""Sports "",""Dance "",""Art ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",Yes,Secondary,No,Yes,Twice a year,Yes,Yes,Once in 0-3 Months,CBSE,
2816,2019-04-04 09:02:32,Education,Schools,tashi drema,Government,Repairable,Tawang,Mukto,Mukto,27.54651,91.91064,Approved,https://smartvillage.imagetrekk.com/storage/images/9MC7RAguZODmEtrtOblxAzUouAR9zyMn2VPhIKPb.jpeg?asset_id=2816,0 percent drop outs,1,Pakka Road,0.2,0,4G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None ""]",3600,9:0 to 2:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",5,1,Tap Water from Government,,Yes,Yes,Yes,No,Burnt within the premises,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"["" Financial Support"",""Technical Support ""]",Government Agency,,Government Agency,,No,,No,,Yes,Yes,No,None,4,No,,"[""None ""]",No,21,"[""Sports "",""Dance "",""Art ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,No,Yes,More than 3 times a year,Yes,Yes,Once in 0-3 Months,CBSE,
2857,2019-04-24 06:39:36,Education,Schools,joram temin,Government,In Use,Lower Subansiri,Yachuli,Toon,27.46367,93.77691,Approved,https://smartvillage.imagetrekk.com/storage/images/pQOdumA7Vtat7VtAr4FAbmqQZYzOLU9pJjiPdwZk.jpeg?asset_id=2857,Govt. Middle School,2,Kacha Road with Block Point,2,0,3G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None ""]",3000,9:0 to 14:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",7,0,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,3,None,,,,,,,No,,No,,Traditional Book Keeping,,"["" Financial Support""]",Government Agency,,Self-created,,No,,No,,Yes,Yes,No,None,5,No,,"[""None ""]",No,32,"[""None""]",10-20%,"[""Parallel Studies ""]","[""Parallel Studies ""]","[""Parallel Studies ""]","[""Parallel Studies ""]",No,Primary,No,Yes,Once a year,Yes,Yes,Once in 3-6 Months,Others,State Board Of Arunachal Pradesh
3119,2019-04-30 09:03:54,Education,Schools,hibu yagam,Government,Repairable,Papumpare,Doimukh,Chiputa,27.17904,93.77834,Approved,https://smartvillage.imagetrekk.com/storage/images/x69cwvub8mPbFrXEWSGYIijvvDcbdMNoQ3BeekpE.jpeg?asset_id=3119,pry.school chiputa,4,Pakka Road,1,0,4G+ Reliable,"[""Vodafone""]","[""Vodafone""]","[""Vodafone""]","[""Vodafone""]","[""Vodafone""]","[""Vodafone""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None ""]",1000,9:0 to 12:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",4,0,Tap Water from Government,,Yes,Yes,No,No,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"["" Financial Support""]",Government Agency,,Government Agency,,No,,No,,No,,No,None,4,No,,"[""None ""]",No,25,"[""None""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,No,Yes,Once a year,No,Yes,Not fixed,ICSE,
3139,2019-04-30 12:27:15,Education,Schools,tendel zangmu wangja,Private,In Use,West Kameng,Shergaon,Shergaon,27.12305,92.25158,Approved,https://smartvillage.imagetrekk.com/storage/images/waW5VqDsEqMto2jWSpF7HvBMGlSTgpMA8eHwvoEc.jpeg?asset_id=3139,area is aprroxinate,1,Pakka Road,24,0,4G Unreliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None "",""Compound Wall\/Fencing ""]",80000,9:0 to 3:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Saturday "",""Friday ""]",12,4,Tap Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,3,Yes,4,Diesel Generator,8,8,8,8,8,8,No,,No,,Digital Records - Using Computer/Mobile,,"[""Others""]",Research Organization,,Self-created,,No,,Yes,Once in 3-6 Months,Yes,Yes,No,Dormitories,12,Yes,50,"[""Science "",""Computers ""]",Yes,430,"[""Sports "",""Dance "",""Art ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",Yes,Senior Secondary,No,Yes,Thrice a year,No,Yes,Not fixed,CBSE,
3146,2019-05-01 15:31:47,Education,Schools,hibu yagam,Government,Repairable,Papumpare,Doimukh,Chiputa,27.17904,93.77834,Rejected,https://smartvillage.imagetrekk.com/storage/images/7PbLJgqBIA5HSHoMP0rZISXFjdsv4mJaXsvTIaes.jpeg?asset_id=3146,pry.school chiputa,4,Pakka Road,1,0,4G+ Reliable,"[""Vodafone""]","[""Vodafone""]","[""Vodafone""]","[""Vodafone""]","[""Vodafone""]","[""Vodafone""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None ""]",1000,9:0 to 12:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",4,0,Tap Water from Government,,Yes,Yes,No,No,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"["" Financial Support""]",Government Agency,,Government Agency,,No,,No,,No,,No,None,4,No,,"[""None ""]",No,25,"[""None""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,No,Yes,Once a year,No,Yes,Not fixed,ICSE,
3180,2019-05-02 08:16:44,Education,Schools,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34047,92.27327,Approved,https://smartvillage.imagetrekk.com/storage/images/x35IKPsyUU4c6VdTgpgbh00UZ2zfF6fshvQMiSPO.jpeg?asset_id=3180,schools,2,Pakka Road,0.3,1,4G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None ""]",2000,9:0 to 2:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",12,4,Tap Water from Government,,Yes,Yes,No,Yes,None,,Yes,3,No,,Invertor,2,2,2,2,2,2,No,,No,,Traditional Book Keeping,,"[""None""]",Local Supplier,,Self-created,,No,,No,,Yes,No,No,Off-site Residential Areas,10,Yes,300,"[""None ""]",No,118,"[""Dance "",""Sports "",""Art ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",Yes,Primary,No,Yes,Thrice a year,Yes,Yes,Once in 0-3 Months,CBSE,
3357,2019-05-05 11:23:24,Education,Schools,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Hija,27.63302,93.87744,Approved,https://smartvillage.imagetrekk.com/storage/images/O1ktKyYecyUACZl20WB9tDJccdwBXuTcNT6yOVSa.jpeg?asset_id=3357,on vacation now,1,Kacha Road with Block Point,3,0,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",200,8:0 to 12:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",5,2,Tap Water from Government,,Yes,No,No,No,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Technical Support ""]",Supplier in other states,,Self-created,,No,,No,,No,,No,None,5,No,,"[""None ""]",No,8,"[""None""]",10-20%,"[""Lack of Awareness ""]","[""Lack of Awareness ""]","[""Lack of Awareness ""]","[""Lack of Awareness ""]",No,Primary,No,No,,Yes,Yes,Not fixed,CBSE,
3554,2019-05-06 09:34:24,Education,Schools,nending tasser,Government,Not in Use,Lower Subansiri,Ziro,Hari,27.58114,93.85771,Approved,https://smartvillage.imagetrekk.com/storage/images/7Cudu8dfHmo1HFmMjuHZejqrAFF8GfYml2hu0Qln.jpeg?asset_id=3554,pudhwa,1,Kacha Road,5,0,2G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None ""]",200,0:0 to 0:0,"[""Monday ""]",1,1,Others,,Yes,No,No,No,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"["" Financial Support""]",Government Agency,,Self-created,,No,,No,,No,,No,Off-site Residential Areas,2,No,,"[""None ""]",No,5,"[""None""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,No,No,,Yes,Yes,Not fixed,Others,state
3856,2019-05-08 10:22:19,Education,Schools,hibu yagam,Private,In Use,Papumpare,Doimukh,Chiputa,27.17975,93.77561,Approved,https://smartvillage.imagetrekk.com/storage/images/6xxVSyKqAjU2nTW3DZPPstK4PEXLPh4oIvb8Wk6g.jpeg?asset_id=3856,jubilee english school,3,Kacha Road,20,1,4G+ Reliable,"[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/Fencing ""]",5000,9:0 to 2:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",10,5,Ground Water,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,7,Yes,1,Invertor,2,2,2,2,2,2,No,,No,,Traditional Book Keeping,,"[""None""]",Supplier in other states,,Self-created,,No,,Yes,Not fixed,Yes,No,Yes,Dormitories,10,No,,"[""Computers ""]",Yes,110,"[""Sports "",""Dance "",""Art ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Secondary,No,Yes,Once a year,Yes,Yes,Not fixed,CBSE,
4218,2019-05-10 01:31:12,Education,Schools,bullo tatung,Government,Not in Use,Lower Subansiri,Ziro,Hija,27.60295,93.85948,Approved,https://smartvillage.imagetrekk.com/storage/images/dHwrplV8yzHq1g6oI0wAR6m23cUQPH19MuWF8qMl.jpeg?asset_id=4218,bugyang subu school,1,Footway,2,0,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None ""]",400,9:0 to 0:0,"[""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]",0,0,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,1,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",None,none,Others,none,No,,No,,No,,No,None,3,No,,"[""None ""]",No,0,"[""None""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,No,No,,No,No,Not fixed,CBSE,
4434,2019-05-10 10:00:14,Education,Schools,tenjin yeshii,Government,In Use,Tawang,Lumla,Manpat,27.52511,91.70405,Approved,https://smartvillage.imagetrekk.com/storage/images/ykgB4JBTP2CCgHMIc5mVOX4Njl2sIdCFmARiqFfV.jpeg?asset_id=4434,Govt HR. Secondary school,5,Kacha Road,5,0,3G Unreliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Watchman ""]",4000,9:0 to 4:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",12,5,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,5,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"["" Financial Support"",""Technical Support ""]",Government Agency,,Government Agency,,Yes,"[""Digital Learning (projectors, tvs, etc.) ""]",No,,No,Yes,Yes,Off-site Residential Areas,15,Yes,200,"[""Science ""]",No,300,"[""Sports "",""Dance "",""Art ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",Yes,Senior Secondary,No,Yes,Twice a year,Yes,Yes,Not fixed,CBSE,
4529,2019-05-10 12:43:08,Education,Schools,bullo tatung,Government,Not in Use,Lower Subansiri,Ziro,Hija,27.5941,93.79961,Approved,https://smartvillage.imagetrekk.com/storage/images/8z5aUHjUdnlerZIz8rcM6WmX5diDoXgyvaDVuE7R.jpeg?asset_id=4529,nending putu school,1,Pakka Road,2,0,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None ""]",500,9:0 to 0:0,"[""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]",0,0,Tap Water from Government,,Yes,Yes,No,No,None,,No,1,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",None,no were,Others,no were,No,,No,,No,,No,None,3,No,,"[""None ""]",No,0,"[""None""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,No,No,,No,No,Not fixed,CBSE,
4723,2019-05-11 12:47:25,Education,Schools,padi tara,Government,In Use,Lower Subansiri,Old Ziro,Kalung Reru,27.59494,93.84575,Approved,https://smartvillage.imagetrekk.com/storage/images/QSD00rRYAJNSKuCfFwmBJRikjCx9owoOwbDUgRyo.jpeg?asset_id=4723,Govt middle school.Bulla,1,Pakka Road,1,0,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Watchman "",""Compound Wall\/Fencing ""]",800,8:0 to 3:0,"[""Saturday "",""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]",30,2,Spring Water,,Yes,Yes,Yes,No,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",Government Agency,yes,Others,yes,No,,Yes,Less than once a year,No,,No,None,8,Yes,150,"[""None ""]",No,50,"[""Art "",""Dance "",""Sports ""]",Greater than 40%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",Yes,Primary,Yes,No,,No,Yes,Less than once a year,Others,no
