id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel to avail public transport facility? (in K.M),What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What is the type of security available for the asset?,What are the working hours of this asset?(Ex: 9.00A.M-5.A.M),What are the working days of this asset?,How many Technical staff are employed in/for this asset?,How many Non Technical staff are employed in/for that asset?,Where do you get drinking water from?,How much do you pay per litre of bottled water? (In Rupees),Where do you get water for operational purposes?,What are the other sources from where you get water for this asset?,Are there toilets available both for staff and cutomers,Are there toilets available separately as per gender?,Is there running water available in the toilets?,Is there soap for handwash available?,Are the premises cleaned with disinfectant regularly,How frequently are the premises cleaned with disinfectant in a week?,Do you have grid connection for energy supply?,How many hours per day are you facing power cuts?,What is the alternative energy source available in case of power failure from regular supplier for that asset?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How do you maintain records for operations?,What are the other recording mechanism used in the Asset?,What are the areas you get support from government agencies (not for customers)?,Do you get any support from NGO(s)?,Name the NGO?,Where do you procure inputs required for the facility?,What are the other sources of procuring inputs for the asset?,How does do you advertise about the services available from this asset?,Are you using digital tools for your operations?,For what purpose you are using the digital tool?,What is the average charge for internet surfing per hour ?,What is the average charge for printouts per page?,What are the other services provided here ?,Is there any training services available for your customers?
2788,2019-04-03 12:27:36,Energy & ICT,Internet Cafe,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,29.51428,93.26344,Pending,https://smartvillage.imagetrekk.com/storage/images/hFVIYOkDKOxDityZoDaOKwMyP8NRxJ9dfaaBk2h2.jpeg?asset_id=2788,"Game zone,Xerox,lamination, stationery",1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Others""]",8:0 to 19:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday "",""Sunday ""]",1,0,Tap Water from Government,,Water from Government,,No,,,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Others""]",Yes,"[""Other""]",0,5,"[""Others""]",No
2790,2019-04-03 12:28:12,Energy & ICT,Internet Cafe,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,23.07978,119.9501,Pending,https://smartvillage.imagetrekk.com/storage/images/85qZLzQSKqTAjIwdmAfYSwTg79FKlRFIYYb3KB4R.jpeg?asset_id=2790,"Lamination, Xerox, CSP,Applying PAN Card ,passports",1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Others""]",8:0 to 19:0,"[""Monday "",""Tuesday "",""Thursday "",""Wednesday "",""Friday "",""Saturday "",""Sunday ""]",1,0,Tap Water from Government,,Water from Government,,No,,,,Yes,2,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,None,,"[""Others""]",Yes,"[""Other""]",0,10,"[""Others""]",No
2815,2019-04-03 12:43:56,Energy & ICT,Internet Cafe,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,13.81637,113.1813,Approved,https://smartvillage.imagetrekk.com/storage/images/eIhf3QDK8qhFr3fqC0ApiN8V8qgwjLlUE2mFoJ0W.jpeg?asset_id=2815,"Xerox, lamination ,applying Pan Card ,CSP",1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Others""]",8:0 to 19:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Sunday "",""Saturday ""]",1,0,Tap Water from Government,,Water from Government,,No,,,,Yes,2,Yes,1,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,None,,"[""Posters\/ Display Boards""]",Yes,"[""Other""]",0,10,"[""Others""]",No
3017,2019-04-25 18:10:42,Energy & ICT,Internet Cafe,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,28.16181,93.43539,Approved,https://smartvillage.imagetrekk.com/storage/images/eLvXkFjoog3FgnPIM3T0R7m7SdCxlq4kHFMaLlg8.jpeg?asset_id=3017,internet Cafe,10,Pakka Road,0.1,4G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Security Camera""]",7:0 to 18:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday "",""Sunday ""]",2,0,Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Yes,5,Yes,3,Invertor,3,3,3,3,3,3,Traditional Book Keeping,,"[""None""]",No,,Supplier in other states,,"[""Posters\/ Display Boards""]",Yes,"[""Specific Business Purpose""]",50,10,"[""Aadhar"",""Others""]",No
6074,2019-05-22 07:56:42,Energy & ICT,Internet Cafe,nabam banio,Private,In Use,Papumpare,Itanagar,Ganga,27.08691,93.59508,Approved,https://smartvillage.imagetrekk.com/storage/images/gICc13ehbrcKGdSiTVfaprqxO9gtNIDQj5lowdAq.jpeg?asset_id=6074,good,1,Pakka Road,2,4G Reliable,"[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Others""]",10:0 to 16:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",3,1,Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Yes,3,Yes,1,Invertor,1,1,1,1,1,1,Digital Records- Using Computer/Mobile,,"[""None""]",No,,None,,"[""Posters\/ Display Boards""]",No,,50,5,"[""Aadhar""]",No
