id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the Ration Shop/ Fair Price Shop?,How much distance should one travel from this Ration Shop/ Fair Price Shop to avail public transport facility? (in K.M),What is the type of the mobile network available at the Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What is the type of structure of this Ration Shop/ Fair Price Shop?,What are the working hours of this Ration Shop/ Fair Price Shop?(Ex: 9.00A.M-5.A.M),What are the working days of that Ration Shop/ Fair Price Shop?,How many people are working in the Ration Shop/ Fair Price Shop?,Where do you get drinking water from for using at this Ration Shop/ Fair Price Shop?,How much do you pay per litre of bottled water? (In Rupees),Are there toilets available for public usage at this Ration Shop/ Fair Price Shop?,Are there toilets available seperately as per gender at this Ration Shop/ Fair Price Shop?,Is there running water available in the toilets at this asset?,Is there soap for handwash available next to the sink?,How do you deal with the waste generated from that Ration Shop/ Fair Price Shop?,What are the other mechanism used to discard the waste from this Ration Shop/ Fair Price Shop?,Are the premises of this Ration Shop/ Fair Price Shop cleaned with disinfectant regularly?,How frequently are the premises at this Ration Shop/ Fair Price Shop eaned with disinfectant in a week?,Do you have grid connection for energy supply for this Ration Shop/ Fair Price Shop?,How many hours per day are you facing power cuts at this Ration Shop/ Fair Price Shop?,What is the alternative energy source available for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,Is there landline connectivity for that Ration Shop/ Fair Price Shop?,What is the number with STD Code?,Does this Ration Shop/ Fair Price Shop have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for this Ration Shop/ Fair Price Shop?,What are other type of book keeping methods used in the Ration Shop/ Fair Price Shop?,What are the areas the Ration Shop/ Fair Price Shop gets support from government agencies?,Do you get any support from NGO(s) for this Ration Shop/ Fair Price Shop?,From what Organization(s) did you get support?,Are you using any digital technologies that can be used in the Ration Shop/ Fair Price Shop?,For what purpose are you using digital tools here at this Ration Shop/ Fair Price Shop?,Do you have a POS device in your shop?,Does the POS device function smoothly?,How many times in a year does the supply comes?,How does the grains/product are weighed?,What are the foodgrains/items are available in the fair price shop?,How many people (villagers) are enrolled as beneficiaries in the fair price shop?,How many villages does your fair price shop covers?
3659,2019-05-07 08:08:47,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kino tallo,Government,In Use,Papumpare,Sangdupota,Jote,27.04602,93.46472,Approved,https://smartvillage.imagetrekk.com/storage/images/VRBf5e5WxZ46iR2MfJUx8oK5HgbasuCuVPskUv4f.jpeg?asset_id=3659,goverment fair price shop,1,Kacha Road,1,2G Reliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",10:0 to 4:0,"[""Monday"",""Tuesday"",""Thusdayt"",""Wednesday"",""Friday"",""Saturday""]",1,Others,,No,,,,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Support via Subsidies""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",155,6
3677,2019-05-07 10:29:51,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kino tallo,Government,In Use,Papumpare,Sangdupota,Poma,27.06276,93.52698,Approved,https://smartvillage.imagetrekk.com/storage/images/lmlVFKLd28AvYAIbohnWGlXVBPeOhpyFrOhUSV1Y.jpeg?asset_id=3677,poma FPS,3,Pakka Road,1.5,3G Reliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 12:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday""]",1,Others,,No,,,,Discarded in Govt. designated sites,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Support via Subsidies""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",113,7
3678,2019-05-07 10:41:57,Food & Civil Supplies,Ration Shop/ Fair Price Shop,nabam banio,Private,In Use,Papumpare,Itanagar,Ganga,27.08796,93.5946,Approved,https://smartvillage.imagetrekk.com/storage/images/YOLbOtt1iQwZWI6uh7EbfM5oiGesVOh9LdbXv0P2.jpeg?asset_id=3678,good,1,Pakka Road,1,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 13:0,"[""Monday"",""Tuesday"",""Thusdayt"",""Friday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,1,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Transport Support""]",No,,No,,No,,Monthly,Electronic,"[""Rice""]",280,2
4311,2019-05-10 05:30:35,Food & Civil Supplies,Ration Shop/ Fair Price Shop,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58389,93.84077,Approved,https://smartvillage.imagetrekk.com/storage/images/ZhTzAmcW9VUMrpRhbRP3a9fMGarkiqxCRx1DfcXd.jpeg?asset_id=4311,hari fair price shop,1,Kacha Road,1,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 18:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday""]",3,Tap Water from Government,,No,,,,Discarded in Open Field,,Yes,7,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",320,1
4870,2019-05-12 07:40:47,Food & Civil Supplies,Ration Shop/ Fair Price Shop,nabam tadap,Government,In Use,Papumpare,Doimukh,Soppo,27.21384,93.80064,Approved,https://smartvillage.imagetrekk.com/storage/images/AZhICTc3Royn99ibDgr6Q49xnthnUEOGyTo4lxM1.jpeg?asset_id=4870,Intact condition,5,Pakka Road,1,2G Reliable,"[""Vodafone"",""Jio"",""Airtel""]","[""Vodafone"",""Jio"",""Airtel""]","[""Vodafone"",""Jio"",""Airtel""]","[""Vodafone"",""Jio"",""Airtel""]","[""Vodafone"",""Jio"",""Airtel""]","[""Vodafone"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 16:0,"[""Friday"",""Saturday""]",3,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,5,No,,None,,,,,,,No,,No,,Others,Maintain Register,"[""Support via Subsidies""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",133,4
5348,2019-05-14 15:05:57,Food & Civil Supplies,Ration Shop/ Fair Price Shop,taakhe rakesh,Government,In Use,Lower Subansiri,Ziro,Hong,27.55754,93.84299,Approved,https://smartvillage.imagetrekk.com/storage/images/Hi6IWd5yZVJXajQn6qXw5XKHnYBSk7fVoZMcrguY.jpeg?asset_id=5348,punyo fps and an oil spot hong villagge,10,Kacha Road,0,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",0:0 to 0:0,"[""Monday""]",1,Tap Water from Government,,Yes,No,Yes,No,None,,Yes,4,Yes,2,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Rice"",""Kerosene""]",12,9
5465,2019-05-15 12:33:30,Food & Civil Supplies,Ration Shop/ Fair Price Shop,phassang kamak,Government,In Use,Papumpare,Banderdewa,Kharsingsa,27.11465,93.77854,Approved,https://smartvillage.imagetrekk.com/storage/images/duBGJa1N7kO8pRu0ATY2Hc5dTmIRHd5MfOcVxFJK.jpeg?asset_id=5465,_,1,Kacha Road,0.5,Nil,,,,,,,"Pakka/Permenant(Steel,Concrete,etc.,)",10:0 to 3:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday""]",2,Ground Water,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,5,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support""]",No,,Yes,Book Keeping,No,,Monthly,Manual,"[""Rice""]",70,2
5522,2019-05-16 04:14:15,Food & Civil Supplies,Ration Shop/ Fair Price Shop,tage tajung,Government,In Use,Lower Subansiri,Ziro,Modang Tage,27.57399,93.83005,Rejected,https://smartvillage.imagetrekk.com/storage/images/CfsMtvmxjSoyKwCtnLeKbkvOnCwIDzbOAkYUcB72.jpeg?asset_id=5522,Lemba fair price shop run by Leegang Azen,3,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,7,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support""]",No,,No,,No,,Monthly,Manual,"[""Rice"",""Kerosene"",""Sugar""]",70,7
5619,2019-05-16 10:35:22,Food & Civil Supplies,Ration Shop/ Fair Price Shop,taba rancho,Private,Repairable,Papumpare,Toru,Dokte Hoj,27.2612,93.7964,Approved,https://smartvillage.imagetrekk.com/storage/images/LxTiMwOejltuGrxFCYA88fjzDRKF3EqFaWGgn76s.jpeg?asset_id=5619,good,3,Pakka Road,1,4G+ Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",10:55 to 4:20,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday""]",100,Others,,No,,,,Discarded in Open Field,,Yes,1,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Transport Support""]",Yes,government,No,,No,,Weekly,Manual,"[""Rice""]",80,5
5759,2019-05-18 10:34:00,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kago yubbey,Private,In Use,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55753,93.84926,Approved,https://smartvillage.imagetrekk.com/storage/images/Htg6tIaliGytq06OkvgWjeDwF1GmiX9g52RoEJ3Z.jpeg?asset_id=5759,fair price shop with owner,1,Footway,3,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",7:0 to 4:30,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",2,Others,,No,,,,Discarded in Open Field,,No,,Yes,1,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Support via Schemes"",""Support via Subsidies"",""Marketing Support""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",347,100
5949,2019-05-21 07:00:36,Food & Civil Supplies,Ration Shop/ Fair Price Shop,lancy padung,Government,In Use,East Siang,Pasighat,Boying,28.05988,95.29054,Approved,https://smartvillage.imagetrekk.com/storage/images/MoRvxAdxOVrOQPyJRD2vnHfpXTMx8RtKQzPlvu92.jpeg?asset_id=5949,good,2,Pakka Road,1,4G+ Reliable,"[""Vodafone"",""Idea"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""BSNL"",""Jio""]","Kacha/Temporary(Wood,Bamboo,etc.,)",9:0 to 12:0,"[""Monday""]",1,Others,,No,,,,Burnt within the premises,,Yes,2,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Marketing Support""]",No,,No,,No,,Monthly,Manual,"[""Rice"",""Kerosene""]",65,4
6009,2019-05-21 12:31:24,Food & Civil Supplies,Ration Shop/ Fair Price Shop,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58272,93.84383,Pending,https://smartvillage.imagetrekk.com/storage/images/APewIy21jlofOB5dIvAsj886JefP9bUxyexwAMBh.jpeg?asset_id=6009,gyati muryang fair price shop,1,Kacha Road,2,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 4:0,"[""Monday"",""Tuesday"",""Wednesday"",""Friday"",""Thusdayt"",""Saturday"",""Sunday""]",4,Tap Water from Government,,No,,,,Discarded in Open Field,,Yes,3,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Support via Subsidies""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",204,1
7062,2019-06-06 05:10:39,Food & Civil Supplies,Ration Shop/ Fair Price Shop,ngilyang thaka,Government,In Use,Lower Subansiri,Ziro,Tajang,27.58677,93.8567,Approved,https://smartvillage.imagetrekk.com/storage/images/wcXytAQ26i9ZvPx06v7trlCz2iVBlsWrRS9c4bOh.jpeg?asset_id=7062,"Rayang Opo fair price shop, Tajang",3,Pakka Road with Block Point,1,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",8:0 to 1:0,"[""Monday"",""Wednesday"",""Friday"",""Tuesday"",""Thusdayt"",""Saturday""]",2,Tap Water from Government,,No,,,,Discarded in Water Bodies,,Yes,3,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Transport Support"",""Support via Schemes"",""Support via Subsidies""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",174,2
7282,2019-06-09 18:11:22,Food & Civil Supplies,Ration Shop/ Fair Price Shop,padi tara,Government,In Use,Lower Subansiri,Ziro,Kalong,27.5955,93.84013,Approved,https://smartvillage.imagetrekk.com/storage/images/ctKmbIf3oujtRHfg8npelvXevuoOWBCbmvCNJTXF.jpeg?asset_id=7282,"Kalong,Reru (BPL)fair price shop essential- Items sold here old ziro, lower subansiri. (A.P) pin- 791120",1,Pakka Road,1,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",6:0 to 21:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday""]",1,Ground Water,,No,,,,Burnt within the premises,,Yes,>7,No,,None,,,,,,,No,,No,,None,,"[""Transport Support""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",100,2
7290,2019-06-10 03:12:37,Food & Civil Supplies,Ration Shop/ Fair Price Shop,padi tara,Government,In Use,Lower Subansiri,Ziro,Reru,27.5967,93.84143,Approved,https://smartvillage.imagetrekk.com/storage/images/8ec50p7mHsICfGBqE9amnVUywZ2EcAgTLi5ZNvIO.jpeg?asset_id=7290,Bulla -Reru fair price shop (BPL),1,Pakka Road,1,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 20:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday""]",100,Ground Water,,No,,,,Burnt within the premises,,Yes,>7,Yes,2,None,,,,,,,No,,No,,None,,"[""Transport Support"",""Technical Support""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",1,1
728,2019-02-08 13:15:31,Food & Civil Supplies,Ration Shop/ Fair Price Shop,jayanti ama,Private,In Use,Lohit,Tezu,Laboliang,27.98314,96.18372,Approved,https://smartvillage.imagetrekk.com/storage/images/UL53TLxgzYLIgM3a72QycH83O2UDCLHs6pCH887M.jpeg?asset_id=728,owned by B.Tamai,1,Pakka Road,0,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",8.00- 4.00,"[""Monday"",""Tuesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",2,Tap Water from Government,,Yes,No,No,Yes,Burnt within the premises,,No,,Yes,8,Solar Unit,2,2,2,2,2,2,No,,No,,Traditional Book Keeping,,"[""Transport Support""]",No,,No,,No,,Monthly,Electronic,"[""Rice"",""Kerosene""]",368,100
729,2019-02-08 13:15:49,Food & Civil Supplies,Ration Shop/ Fair Price Shop,jayanti ama,Private,In Use,Lohit,Tezu,Laboliang,27.98658,96.1894,Approved,https://smartvillage.imagetrekk.com/storage/images/d45qebJgczWgjqGEtScJUYQnxekuW6UGmWBrpZ1F.jpeg?asset_id=729,owned by B. Chiba,1,Pakka Road,0,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",8.00-4.00,"[""Monday"",""Tuesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",2,Tap Water from Government,,Yes,No,No,Yes,Burnt within the premises,,No,,Yes,8,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Transport Support""]",No,,No,,No,Always,Monthly,Electronic,"[""Rice"",""Kerosene""]",600,100
802,2019-02-11 12:31:24,Food & Civil Supplies,Ration Shop/ Fair Price Shop,phassang kamak,Government,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.11962,93.79369,Approved,https://smartvillage.imagetrekk.com/storage/images/09P0BNmIVuzlCM6TpyLj2VyhFBOQDy4d8HC0G6F8.jpeg?asset_id=802,_,1,Pakka Road,0.5,2G Reliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",9.00am to4.00pm,"[""Monday"",""Tuesday""]",2,Ground Water,,No,Yes,Yes,,Burnt within the premises,,Yes,4,Yes,3,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Support via Subsidies""]",No,,No,,No,,Monthly,Electronic,"[""Rice""]",100,2
803,2019-02-11 12:31:58,Food & Civil Supplies,Ration Shop/ Fair Price Shop,phassang kamak,Government,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.11962,93.79369,Rejected,https://smartvillage.imagetrekk.com/storage/images/HutEETOjBPppeA7Ym8ljbh3Gib94QyrTLhUBFHyq.jpeg?asset_id=803,_,1,Pakka Road,0.5,2G Reliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",9.00am to4.00pm,"[""Monday"",""Tuesday""]",2,Ground Water,,No,Yes,Yes,,Burnt within the premises,,Yes,4,Yes,3,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Support via Subsidies""]",No,,No,,No,,Monthly,Electronic,"[""Rice""]",100,2
815,2019-02-11 12:34:39,Food & Civil Supplies,Ration Shop/ Fair Price Shop,phassang kamak,Government,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.12023,93.79501,Approved,https://smartvillage.imagetrekk.com/storage/images/MMAjl4aolaloj0aixmMZpULiVQXjCnSsRY48zpNT.jpeg?asset_id=815,_,1,Pakka Road,0,2G Reliable,"[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","Pakka/Permenant(Steel,Concrete,etc.,)",7.00am to 5.00pm,"[""Monday"",""Tuesday""]",2,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,4,Yes,3,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Support via Subsidies"",""Financial Support""]",No,,No,,No,,Monthly,Electronic,"[""Rice""]",60,1
816,2019-02-11 12:34:48,Food & Civil Supplies,Ration Shop/ Fair Price Shop,phassang kamak,Government,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.12023,93.79501,Rejected,https://smartvillage.imagetrekk.com/storage/images/QkYCSHNovuvro5Z3dq1oR0Y2VAvh8V5Sa2keG4IE.jpeg?asset_id=816,_,1,Pakka Road,0,2G Reliable,"[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","Pakka/Permenant(Steel,Concrete,etc.,)",7.00am to 5.00pm,"[""Monday"",""Tuesday""]",2,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,4,Yes,3,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Support via Subsidies"",""Financial Support""]",No,,No,,No,,Monthly,Electronic,"[""Rice""]",60,1
817,2019-02-11 12:34:58,Food & Civil Supplies,Ration Shop/ Fair Price Shop,phassang kamak,Government,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.12023,93.79501,Rejected,https://smartvillage.imagetrekk.com/storage/images/wTgS9eKWlgYj8iwBkJZkM7EXSDlV3BkcmxkVLMjn.jpeg?asset_id=817,_,1,Pakka Road,0,2G Reliable,"[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","[""BSNL"",""Idea""]","Pakka/Permenant(Steel,Concrete,etc.,)",7.00am to 5.00pm,"[""Monday"",""Tuesday""]",2,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,4,Yes,3,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Support via Subsidies"",""Financial Support""]",No,,No,,No,,Monthly,Electronic,"[""Rice""]",60,1
848,2019-02-12 11:18:32,Food & Civil Supplies,Ration Shop/ Fair Price Shop,shri joram nera,Government,In Use,Lower Subansiri,Yachuli,Jara,27.52751,93.77357,Approved,https://smartvillage.imagetrekk.com/storage/images/UD2FJXnzuNRFvyIl0o93uAHfcdCKW1nna2zT1x0T.jpeg?asset_id=848,--,1,Pakka Road,1,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",6.00am to 12.00pm,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Discarded in Open Field,,No,,Yes,3,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Support via Subsidies""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",39,1
1219,2019-02-17 01:19:20,Food & Civil Supplies,Ration Shop/ Fair Price Shop,hungo tesia,Private,In Use,Tirap,Khonsa,Lapnan,26.98906,95.48555,Approved,https://smartvillage.imagetrekk.com/storage/images/rBGRuuCx791gE9HspPdOXsvlgntaOymaYgmPyQ6v.jpeg?asset_id=1219,near roadside,2,Pakka Road,1,4G Unreliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",6.00am to 19.00pm,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday""]",1,Others,,No,,,,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",175,1
