id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel to avail public transport facility? (in K.M),How many school buses go to this asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What is the type of structure of this asset?,What is the type of security available for the asset?,What is the total campus area?,What are the working hours of the facility?,What are the working days of the facility?,How many teachers are employed in the facility ?,How many support staff are employed in the facility?,Where do you get drinking water from?,How much do you pay per litre of bottled water? (In Rupees),Are there toilets available for public usage?,Is there toilets available separately for boys and girls?,Is there running water available in the toilets at this asset?,Is there soap for hand-wash available at this asset?,How do you deal with the waste generated from the facility?,What are the other mechanism used to discard the waste?,Are the premises cleaned with disinfectant regularly?,How frequently are the premises cleaned with disinfectant in a week?,Do you have grid connection for energy supply?,How many hours per day are you facing power cuts at this asset?,What is the alternative energy source available in the facility?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,Do you have landline connectivity?,What is the number with STD Code?,Do you have wired internet connection?,How much speed can you get through the broadband?,How do you maintain records?,What are the other recording mechanisms used in the asset?,What are the areas you get support from government agencies?,Where do you get textbooks for educational purposes?,Where do you get the curriculum for classes and educational programs?,For what purpose are you using these?,Are you using digital tools for your operations?,For what purpose are you using these?,Are there checkups or medical facilities available?,What is the frequency of these checkups?,Are there any meals served?,Is the nutritional value monitored?,What kind of residential facilities are available?,How many classrooms are there in the institute ?,Does the institute have a hall or auditorium?,Which labs are present in the institute?,Does the institute have a designated library?,How many students are enrolled at this asset?,Apart from academics what are the co-curricular activities available for students ?,What is the percentage of drop-outs?,What is the average number of companies that come to the campus each year?,What is the average number of companies that come to the campus each year?,What is the average number of companies that come to the campus each year?,What is the average number of companies that come to the campus each year?,Are there any disaster management courses or drills practice at the institute?,Which departments are there in the institute?,Is there a job placement department?,How many active student unions are there?,What is the average fee per student?,Is there a Student Union in the institute?,How many active student unions are there?,"Are there Societies (NSS, NCC, etc.) or other organizations in the institute?",Do parent-teacher meetings take place?,How often do parent-teacher meetings occur?,What affiliations does this institute have?,What affiliations does the institute have?,Are there scholarship opportunities in the institute?
2608,2019-03-24 09:25:35,Education,Degree College up to UG,joram temin,Government,In Use,Lower Subansiri,Yachuli,Toon,27.46972,93.77689,Approved,https://smartvillage.imagetrekk.com/storage/images/JV45BYbvp0X3Rr7RG1YSUblcdv8Xtz5UsVlVwO7E.jpeg?asset_id=2608,degree college,5,Pakka Road with Block Point,2,1,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Security Cameras"",""Security Guard""]",150,9:0 to 4:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday""]",17,17,Tap Water from Government,,Yes,Yes,Yes,No,Burnt within the premises,,Yes,2,Yes,3,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support""]",Government Agency,Self-created,,No,,Yes,Not fixed,No,,Off-site Residential Areas,12,Yes,"[""None""]",Yes,290,"[""None""]",0-10%,1,1,1,1,No,department of arts,No,1,2500,Yes,1,No,No,,State-affiliated,,Yes
7300,2019-06-10 12:39:11,Education,Degree College up to UG,padi tara,Private,In Use,Lower Subansiri,Ziro,Reru,27.59764,93.85558,Approved,https://smartvillage.imagetrekk.com/storage/images/CL8DQZtBEMkdZdg2kSyNCjRKNq0qz3qNR0x36zbq.jpeg?asset_id=7300,"saint claret college salaya,ziro Estd-2003, Reru & Kalong",1,Pakka Road,2,4,2G Reliable,"[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/ Fencing"",""Watchman"",""Security Cameras""]",20,8:30 to 4:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",32,21,Spring Water,,Yes,Yes,Yes,Yes,Discarded in Govt. designated sites,,Yes,>7,Yes,2,Diesel Generator,3,3,3,3,3,3,No,,No,,Digital Records - Using Computer/Mobile,,"[""Others""]",Local Supplier,Government Agency,"[""Book Keeping ""]",Yes,"[""Book Keeping ""]",No,Once a 0-3 Months,Yes,Yes,None,16,Yes,"[""Other""]",Yes,742,"[""Sports"",""Dance "",""Art ""]",0-10%,12,12,12,12,Yes,"Arts,Commerce's, mass communication",No,,30600,No,,Yes,Yes,Once a year,Centre-affiliated,,Yes
3536,2019-05-06 08:22:07,Education,Degree College up to UG,lancy padung,Government,In Use,East Siang,Pasighat,Balek,28.06092,95.28827,Rejected,https://smartvillage.imagetrekk.com/storage/images/Iq46fkwtctCcIkVZV2LJtsIdnFctLQegqe8tmHIu.jpeg?asset_id=3536,good,1,Pakka Road,3,0,4G Unreliable,"Pakka/Permanent(Steel,Concrete,etc.)","[""None""]",10.8,8.45A.M-2.35PM,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",15,5,Others,,No,,,,Burnt within the premises,,No,,Yes,24,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",Government Agency,Self-created,,No,,Yes,Not fixed,Yes,Yes,Dormitories,5,No,"[""Physics"",""Chemistry"",""Biology""]",Yes,128,"[""Sports"",""Dance "",""Other""]",0-10%,1,1,1,1,No,no,No,,20,No,,No,Yes,Twice a year,Centre-affiliated,,No,,,,,,
3537,2019-05-06 08:22:16,Education,Degree College up to UG,lancy padung,Government,In Use,East Siang,Pasighat,Balek,28.06119,95.28783,Rejected,https://smartvillage.imagetrekk.com/storage/images/nx28q5xBv46kDZhs3mXomY3Xa2s9ZWvp8MooXtWe.jpeg?asset_id=3537,good,1,Pakka Road,3,0,4G Unreliable,"Pakka/Permanent(Steel,Concrete,etc.)","[""None""]",10.8,8.45A.M-2.35PM,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",15,5,Others,,No,,,,Burnt within the premises,,No,,Yes,24,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",Government Agency,Self-created,,No,,Yes,Not fixed,Yes,Yes,Dormitories,5,No,"[""Physics"",""Chemistry"",""Biology""]",Yes,128,"[""Sports"",""Dance "",""Other""]",0-10%,1,1,1,1,No,no,No,,20,No,,No,Yes,Twice a year,Centre-affiliated,,No,,,,,,
3538,2019-05-06 08:22:29,Education,Degree College up to UG,lancy padung,Government,In Use,East Siang,Pasighat,Balek,28.06119,95.28783,Rejected,https://smartvillage.imagetrekk.com/storage/images/A6IA34d5ONNFM0QkftbNG2R2MZxtcUtjAYojt48a.jpeg?asset_id=3538,good,1,Pakka Road,3,0,4G Unreliable,"Pakka/Permanent(Steel,Concrete,etc.)","[""None""]",10.8,8.45A.M-2.35PM,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",15,5,Others,,No,,,,Burnt within the premises,,No,,Yes,24,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",Government Agency,Self-created,,No,,Yes,Not fixed,Yes,Yes,Dormitories,5,No,"[""Physics"",""Chemistry"",""Biology""]",Yes,128,"[""Sports"",""Dance "",""Other""]",0-10%,1,1,1,1,No,no,No,,20,No,,No,Yes,Twice a year,Centre-affiliated,,No,,,,,,
