id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the unit until it was open?,What is the type of the road available to the unit?,How much distance should one travel from the unit to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the unit?,What is the type of security available for the unit?,What are the working hours of the unit?(Ex: 9.00A.M-5.A.M),What are the working days of the unit?,How many Technical staff are employed in the unit?,How many Non Technical staff are employed in the unit?,Where do you get drinking water from for using at the unit?,How much do you pay per litre of bottled water? (In Rupees),Where do you get water for operational purposes for the unit?,What are the other source of water you depend upon?,Are there toilets available for public and employees' usage at the unit?,Are there toilets available seperately as per gender at the unit?,Is there running water available in the toilets at the unit?,Is there soap for handwash available at the unit?,How do you deal with the agricultural waste generated from the unit?,What are the other mechanism used to discard the waste from the unit?,Are the premises of unit cleaned with disinfectant regularly?,How frequently are the premises at the unit cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the unit?,How many hours per day are you facing power cuts in the unit?,What is the alternative energy source available for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the unit?,What is the number with STD Code of the unit?,Does the unit have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for operations of the unit?,What are the other recording mechanism used?,What are the areas the unit gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the unit?,What is the name of the organization?,Are you using any digital technologies that can be used in the unit?,For what purpose are you using digital tools here at the unit?,What is the type of products stored in the unit?,How does the unit advertise about the services available?,What is the average operational cost per month to run the unit?(Excluding Salary of the Employees),What are the products purchased by the customers from the unit?,What is the average cost per unit to store in the unit?(In Rupees),What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,Which type of customers store the produce in the unit?,How does the customers transport the goods to store in the unit?,How many cubic meters are available for storage?,Do you have a cold storage facility?,How often did you need to throw away agricultural produce last week?,How do you document wastage of food?
4597,2019-05-10 18:45:49,Agriculture,Warehouse / Godown/ Timber Depot,tilling saha,Private,In Use,Lower Subansiri,Ziro,Michi,27.57118,93.82902,Approved,https://smartvillage.imagetrekk.com/storage/images/9MzzGgBM6IAvRTrkEiwKbZxqmqLH8xtU1Kxwfq1Z.jpeg?asset_id=4597,rice godown 1,1,Pakka Road,1,3G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,7,book keeping
4625,2019-05-11 09:54:07,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.65955,93.83952,Approved,https://smartvillage.imagetrekk.com/storage/images/EwcjL7AUUwzDfWiwuGFI0KXdrjcgsmbEmEuCFTVq.jpeg?asset_id=4625,traditional rice godown 121,1,Footway,1,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,2,book keeping
4628,2019-05-11 10:10:20,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.5941,93.86946,Approved,https://smartvillage.imagetrekk.com/storage/images/sAo6WsB5W4zpvoiobSzD80UInjG3V6AaozbRPLHy.jpeg?asset_id=4628,traditional rice godown 120,1,Footway,1,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,[],"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,2,book keeping
4629,2019-05-11 12:21:45,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.56579,93.86148,Approved,https://smartvillage.imagetrekk.com/storage/images/rBzLvvcTsAlvRfFckO4Xo1ypcwDiykj7ajALpHCf.jpeg?asset_id=4629,traditional rice godown 119,1,Footway,1,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,2,book keeping
4631,2019-05-11 12:25:13,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.58879,93.87545,Approved,https://smartvillage.imagetrekk.com/storage/images/aWyqmkFr0Ws5bH0NB67aLvNy0SwmLDs86UJvvpIz.jpeg?asset_id=4631,traditional rice godown 118,1,Footway,1,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,7,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
4632,2019-05-11 12:26:45,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.56402,93.84152,Approved,https://smartvillage.imagetrekk.com/storage/images/rfpIm4EykcAsHOVkPn7mYANSvRmoOzSIF1e5BQAF.jpeg?asset_id=4632,traditional rice godown 116,1,Footway,1,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Monday"",""Tuesday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
4633,2019-05-11 12:27:40,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.60118,93.89141,Approved,https://smartvillage.imagetrekk.com/storage/images/n5bv56ksKaiRzqsXzzKlTtJ0iO29p98NbJkjZCfQ.jpeg?asset_id=4633,traditional rice godown 117,1,Footway,1,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Discarded in Water Bodies,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
4634,2019-05-11 12:28:29,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.60118,93.89141,Approved,https://smartvillage.imagetrekk.com/storage/images/Hsp1M3MwS3Symj1Mlx6FDNMCmhcEuoyBUAew5d1g.jpeg?asset_id=4634,traditional rice godown 117,1,Footway,1,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Discarded in Water Bodies,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
4635,2019-05-11 12:28:55,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.56402,93.84152,Approved,https://smartvillage.imagetrekk.com/storage/images/XQvAuM5z4Ind2NsykyCQ1l1r7uPoYBP0SBTXktRv.jpeg?asset_id=4635,traditional rice godown 116,1,Footway,1,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Monday"",""Tuesday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
4636,2019-05-11 12:29:15,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.60118,93.80959,Rejected,https://smartvillage.imagetrekk.com/storage/images/NzlZOUeoM5TORqa1oWip3wEMUPkKNwuEBn3jJqKs.jpeg?asset_id=4636,traditional rice godown 115,1,Footway,1,2G Reliable,"[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
4637,2019-05-11 12:29:45,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.60118,93.80959,Rejected,https://smartvillage.imagetrekk.com/storage/images/ue1JKYgcJft0NuOovPbzqqIaj3LjUEDaFuKu9pu2.jpeg?asset_id=4637,traditional rice godown 115,1,Footway,1,2G Reliable,"[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
4638,2019-05-11 12:30:46,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.60118,93.80959,Approved,https://smartvillage.imagetrekk.com/storage/images/S50KcCxJg76PjIN0CQFPHXND6rEuoEfYmGfkLous.jpeg?asset_id=4638,traditional rice godown 115,1,Footway,1,2G Reliable,"[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
4748,2019-05-11 17:15:20,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.6171,93.85948,Approved,https://smartvillage.imagetrekk.com/storage/images/1aV4peCqZrnJurQnPDpdCwDcRbIIAB2dJl6yXh2r.jpeg?asset_id=4748,dutta timber shop 1,1,Pakka Road,1,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",9:0 to 5:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Timber""]","[""Marketing team\/ Sales Agents"",""Others""]",1000,timber,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""Mini Luggage ""]",80,No,10,book keeping
4754,2019-05-11 17:15:47,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.64894,93.8954,Approved,https://smartvillage.imagetrekk.com/storage/images/3o5PQ0SizyR8dkeFBsogeNp9ewh4kPGkX3NjsDhj.jpeg?asset_id=4754,traditional rice godown 113,1,Footway,1,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
4756,2019-05-11 17:15:55,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.56933,93.87145,Approved,https://smartvillage.imagetrekk.com/storage/images/rERZis33W2rpmRh7W5yxVITxvSeV3uafDdf1Px5x.jpeg?asset_id=4756,traditional rice godown 112,1,Footway,1,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
4757,2019-05-11 17:15:59,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.58348,93.85948,Approved,https://smartvillage.imagetrekk.com/storage/images/n3KaXBwjedNEi8F5c9KMQflqpb6MIXe2OImtciCZ.jpeg?asset_id=4757,traditional rice godown 111,1,Footway,1,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
4758,2019-05-11 17:16:04,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.60472,93.84152,Approved,https://smartvillage.imagetrekk.com/storage/images/ZYO8nE1IZfIc1GBUyvMICbTWi09W2KKmiSF4c4iW.jpeg?asset_id=4758,traditional rice godown 110,1,Footway,1,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
4759,2019-05-11 17:16:12,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.63833,93.82356,Approved,https://smartvillage.imagetrekk.com/storage/images/Kjsll6LZ46asqpZob3zgmOsfeR1gcj2Xe7QJSRpu.jpeg?asset_id=4759,traditional rice godown 109,1,Kacha Road,1,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
4761,2019-05-11 17:16:17,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.63479,93.87145,Approved,https://smartvillage.imagetrekk.com/storage/images/xnRc1IUuCjVzoKuOW9T3USNfRYp1OSpl3CxHYe4C.jpeg?asset_id=4761,traditional rice godown 107,1,Kacha Road,1,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others"",""Marketing team\/ Sales Agents""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
4762,2019-05-11 17:16:22,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.57463,93.81558,Approved,https://smartvillage.imagetrekk.com/storage/images/sM85yCr2FR8EwdhPGik5yjdhyxq3Qi170sxzSwO2.jpeg?asset_id=4762,traditional rice godown 107,1,Kacha Road,1,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:0 to 6:0,"[""Sunday"",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Monday"",""Tuesday""]",1,1,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Marketing team\/ Sales Agents"",""Others""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,1,book keeping
