id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from this asset to avail public transport facility?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the working days of that asset?,Where do you get drinking water from for using at this asset?,How much do you pay per litre of bottled water?,Where do you get water for operational purposes for this asset?,What are the other source of water you depend upon?,Are there toilets available for public and employees usage at this asset?,Are there toilets available separately as per gender at this asset?,Is there running water available in the toilets at this asset?,Is there soap for hand-wash available at this asset?,How do you deal with the waste generated from that asset?,What are the other mechanism used to discard the waste from this asset?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this asset?,How many hours per day are you facing power cuts at this asset?,What is the alternative energy source available for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,Is there landline connectivity for that asset?,What is the number with STD Code,Are you using digital tools for your operations for this asset?,For what purpose are you using digital tools here at this asset?,Which of the following religious structure is it?,Does the Gompa also serve as a school?,On which year was the structure established?,What is the average footfall in a week?,How often are tourists part of the visitors (people not from this area)?,What is the most famous religious festival celebrated here?,What is the maximum footfall during these religious festivals ?,Which of the following does the compound have?,Describe the involvement of the local community in running and management of the site?,What are the provisions available for the differently abled?,What other provisions are there for the differently-abled?,What makes this site special and unique compared to similar religious sites?
3020,2019-04-26 05:29:50,Tourism,Religious Site,tsering palden yamchodu,Government,In Use,West Kameng,Nafra,Lower Dzang,27.37467,92.54573,Approved,https://smartvillage.imagetrekk.com/storage/images/oXPPp7TewGLXIxMxbuPi2NeMSwHqIrJsA1EAyorl.jpeg?asset_id=3020,1.2 km ahead,1,"[""Pakka Road""]",1.2,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",5:0 to 10:0,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,2,Yes,2,Others,,,,,,No,,No,,Gompa,,2017,85,Seldom,lossae,290,"[""Dustbins"",""Parking area""]",Medium involvement,None of the above,,it was inaugurated by his holiness 14th Dalai Lama
3033,2019-04-26 10:06:49,Tourism,Religious Site,kejang pema,Religion,In Use,West Kameng,Dirang,Dirang,27.63788,93.64521,Pending,https://smartvillage.imagetrekk.com/storage/images/kJ2u8v9eVORwZHZ6BoP7fAXSCoIBc00xVNrl2gGN.jpeg?asset_id=3033,gimlok Gompa 2,1,"[""Footway""]",0.3,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""Watchman""]",5:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,No,,,,None of the above,,No,,No,,Others,,,,,,No,,No,,Gompa,,200,0,Sometimes,choskor,0,"[""None of the above""]",Medium involvement,None of the above,,nearby river stream
3041,2019-04-26 10:09:00,Tourism,Religious Site,kejang pema,Religion,In Use,West Kameng,Dirang,Dirang,27.71328,93.59577,Pending,https://smartvillage.imagetrekk.com/storage/images/H3tf9yqby6GoM3TBI7hnpwEo7j6sG3GvxWlxy15S.jpeg?asset_id=3041,gomlok Gompa 1,1,"[""Footway""]",0.2,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",5:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Wednesday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,No,,,,None of the above,,No,,No,,Others,,,,,,No,,No,,Gompa,,150,0,Never,choskor,0,"[""None of the above""]",Medium involvement,None of the above,,nothing
3062,2019-04-26 10:13:23,Tourism,Religious Site,kejang pema,Religion,In Use,West Kameng,Dirang,Dirang,28.54408,93.54084,Pending,https://smartvillage.imagetrekk.com/storage/images/f5RTLegAMwaPgVE9QlaNRvlVrzHIIUM8aZDwYi5O.jpeg?asset_id=3062,Gazangfrang gompa,1,"[""Footway""]",1,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",5:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,No,,,,Discarded in Govt. designated sites,,No,,No,,Others,,,,,,No,,No,,Gompa,,100,0,Sometimes,choskor,0,"[""Dustbins""]",Medium involvement,None of the above,,end of the vill
3073,2019-04-26 10:15:33,Tourism,Religious Site,kejang pema,Community,Repairable,West Kameng,Dirang,Dirang,27.70112,93.86768,Approved,https://smartvillage.imagetrekk.com/storage/images/CxUhevUDDrVtTTVirvrTU9c70l7yXUUP4zgSG3mM.jpeg?asset_id=3073,Khastung Gompa under repairing,1,"[""Kacha Road""]",0.6,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Watchman""]",5:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,Yes,Yes,Yes,Yes,Discarded in Govt. designated sites,,No,,No,,Others,,,,,,No,,No,,Gompa,,150,0,Sometimes,choskor,0,"[""Display of information about the structure""]",Medium involvement,None of the above,,old
3112,2019-04-30 07:01:57,Tourism,Religious Site,kejang pema,Religion,In Use,West Kameng,Dirang,Dirang,27.89549,93.68092,Pending,https://smartvillage.imagetrekk.com/storage/images/bThfw137ptxtxL5N3uQBLv26a3dkrXkkToYa4TYp.jpeg?asset_id=3112,khachikpa gompa,1,"[""Footway""]",0.4,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",5:25 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,Yes,No,Yes,No,Discarded in Water Bodies,,No,,No,,Others,,,,,,No,,No,,Gompa,,1969,0,Sometimes,choskor,0,"[""None of the above""]",Medium involvement,None of the above,,old statues is there
3125,2019-04-30 10:42:49,Tourism,Religious Site,kejang pema,Religion,In Use,West Kameng,Dirang,Dirang,27.80321,93.62049,Rejected,https://smartvillage.imagetrekk.com/storage/images/RXUQhin2LOtIDEZ43vFOZcw0SeFdvAMgxuIifGbq.jpeg?asset_id=3125,chur gompa,1,"[""Pakka Road"",""Footway""]",0.2,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",5:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Wednesday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,No,,,,Discarded in Water Bodies,,No,,No,,Others,,,,,,No,,No,,Gompa,,1769,0,Sometimes,choskor,0,"[""None of the above""]",Medium involvement,None of the above,,gompa
3150,2019-05-02 03:09:21,Tourism,Religious Site,dobum raju,Religion,In Use,Papumpare,Doimukh,Lekha,27.1142,93.77077,Rejected,https://smartvillage.imagetrekk.com/storage/images/z4Y45zHShGNkJyrMfkMWjg0gKvg1kKxmabdwELie.jpeg?asset_id=3150,private,3,"[""Kacha Road""]",4,4G Reliable,"[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",9:0 to 12:0,"[""Saturday"",""Friday"",""Sunday "",""Wednesday""]",Ground Water,,Ground Water,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,3,Yes,1,Others,,,,,,No,,No,,Church,,2019,70,Never,christmass,70,"[""Dustbins"",""Parking area""]",High involvement,Ramp,,non
3163,2019-05-02 08:06:59,Tourism,Religious Site,kejang pema,Religion,In Use,West Kameng,Dirang,Dirang,27.73516,93.63697,Approved,https://smartvillage.imagetrekk.com/storage/images/dTZNgdsxMBA2XB5UlnvqvpYEWcHwfyRntdwCS26p.jpeg?asset_id=3163,Leung Gompa,2,"[""Pakka Road""]",2.5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing"",""Watchman""]",6:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,No,,,,Others,dustbin,Yes,3,No,,Others,,,,,,No,,No,,Gompa,,1998,0,Often,Drupchen,0,"[""Dustbins"",""Parking area""]",High involvement,None of the above,,parking lots and institute of Buddhist script
3223,2019-05-02 12:00:00,Tourism,Religious Site,tenjin yeshii,Religion,In Use,Tawang,Lumla,Manpat,27.52869,91.71071,Rejected,https://smartvillage.imagetrekk.com/storage/images/ArghmTDhQUO3JZnn9b1xWe4H2ThOTZP1Gkclw9YK.jpeg?asset_id=3223,Statue of white Tara Devi,10,"[""Pakka Road""]",1.5,4G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Watchman"",""Others""]",5:0 to 18:00,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Wednesday"",""Friday""]",Tap Water from Government,,Water from Government,,Yes,Yes,Yes,Yes,Discarded in Govt. designated sites,,Yes,5,Yes,1,Others,,,,,,No,,No,"[""Other""]",Gompa,,2015,10,Sometimes,Monyul Monlam Chenmo,100,"[""Dustbins"",""Parking area""]",High involvement,Ramp,,this is a only statue of White Tara Devi in entire Distrct
3262,2019-05-04 02:10:57,Tourism,Religious Site,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58363,93.84399,Approved,https://smartvillage.imagetrekk.com/storage/images/jIvCPHQ3uhzbt38gyAp58IH2gWdGLhPVJ2Q6WFBE.jpeg?asset_id=3262,Hao Nago,10,"[""Pakka Road""]",0,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,No,,,,Discarded in Open Field,,No,,No,,Others,,,,,,No,,No,,Temple,,1885,0,Seldom,Myoko,0,"[""None of the above""]",Very High Involvement,None of the above,,closing cermony during myoko festival
3274,2019-05-05 02:31:10,Tourism,Religious Site,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58412,93.84458,Approved,https://smartvillage.imagetrekk.com/storage/images/fpq9813rTac8TbAlSpEY9qoovR2zhUSMEpkxD8lG.jpeg?asset_id=3274,Nending Yugyang,1,"[""Kacha Road""]",3,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:0 to 0:0,"[""Monday""]",Others,,Others,from house,No,,,,Discarded in Open Field,,No,,No,,Others,,,,,,No,,No,,Temple,,1880,0,Sometimes,myoko,50,"[""None of the above""]",High involvement,None of the above,,nending clans rituals worship sites.
3340,2019-05-05 08:28:58,Tourism,Religious Site,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58371,93.84529,Approved,https://smartvillage.imagetrekk.com/storage/images/HGloqmbVj7ZBVGNgYwe8Yv4k3Hyo8hjWffZhQUAL.jpeg?asset_id=3340,nending pamung,20,"[""Kacha Road""]",3,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",Bottled Water,20,Others,from home,No,,,,Discarded in Open Field,,No,,No,,Others,,,,,,No,,No,,Namlo/Gangin,No,1880,0,Sometimes,myoko,50,"[""None of the above""]",High involvement,None of the above,,uhi allo during myoku festival
3341,2019-05-05 08:37:27,Tourism,Religious Site,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58387,93.84501,Rejected,https://smartvillage.imagetrekk.com/storage/images/OpxZcua3Nrugm1GVDbvL9KwTUQvJai1RFy7scST5.jpeg?asset_id=3341,nending pamung,20,"[""Kacha Road""]",3,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""None"",""Compound Wall\/ Fencing""]",0:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Bottled Water,20,Others,from home,No,,,,Discarded in Open Field,,No,,No,,Others,,,,,,No,,No,,Temple,,1880,0,Sometimes,myoko,50,"[""None of the above""]",High involvement,None of the above,,uuhi allo during myoko festival
3483,2019-05-06 07:10:48,Tourism,Religious Site,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Hija,27.51267,93.8495,Approved,https://smartvillage.imagetrekk.com/storage/images/D5mGoTAujTXdbobqxOqPkterf4mIvREIkb8L1OeX.jpeg?asset_id=3483,kimey lapang,1,"[""Kacha Road""]",2,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",5:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,Yes,7,No,,Others,,,,,,No,,No,,Namlo/Gangin,No,1800,20,Sometimes,myoko,100,"[""Dustbins"",""Parking area""]",Very High Involvement,None of the above,,it is of utmost important to the folk and is found no where else in the world
3558,2019-05-06 09:58:46,Tourism,Religious Site,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Hija,27.57994,93.86148,Pending,https://smartvillage.imagetrekk.com/storage/images/am7xYHEdbZa9d1FmA23EEdWFfCRdje2fUUhx7hcV.jpeg?asset_id=3558,pyagang lapang,1,"[""Kacha Road""]",2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",5:0 to 17:00,"[""Tuesday"",""Monday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,Yes,7,No,,Others,,,,,,No,,No,,Namlo/Gangin,No,1800,20,Sometimes,myoko,100,"[""Dustbins"",""Parking area""]",Very High Involvement,None of the above,,its is utmost important to the folk and is found no where else in the world
3559,2019-05-06 09:58:53,Tourism,Religious Site,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Hija,27.57287,93.8515,Approved,https://smartvillage.imagetrekk.com/storage/images/p1xR2whUKuFTiCybINSH7MeERurXS2L5SljTkv5E.jpeg?asset_id=3559,nago kimey,1,"[""Kacha Road""]",2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""None""]",5:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,Yes,7,No,,Others,,,,,,No,,No,,Namlo/Gangin,No,180,20,Sometimes,myoko,100,"[""Parking area"",""Dustbins""]",Very High Involvement,None of the above,,important to folks and is found no where else in the world
3560,2019-05-06 09:59:00,Tourism,Religious Site,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Hija,27.55517,93.83154,Approved,https://smartvillage.imagetrekk.com/storage/images/FwVw78YJjoIfWs4nvuXHwrZid13CuDR6EWoq9nrT.jpeg?asset_id=3560,hidu lapang,1,"[""Pakka Road""]",2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",5:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,Yes,7,No,,Others,,,,,,No,,No,,Namlo/Gangin,No,1800,20,Sometimes,myoko,100,"[""Dustbins"",""Parking area""]",Very High Involvement,None of the above,,important for the folks and find nowhere in the world
3688,2019-05-07 10:52:28,Tourism,Religious Site,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Hija,27.60826,93.85549,Approved,https://smartvillage.imagetrekk.com/storage/images/COEF3vFPp4ITeopnxNzEirOsNfia1nuyO2sOp8IH.jpeg?asset_id=3688,kago lapang 1,1,"[""Pakka Road""]",1,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",5:0 to 17:00,"[""Sunday "",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Wednesday"",""Tuesday"",""Monday""]",Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,Yes,>7,No,,Others,,,,,,No,,No,,Namlo/Gangin,No,1800,10,Sometimes,myoko,100,"[""Dustbins"",""Parking area""]",Very High Involvement,None of the above,,it is utmost important to the folks and is found no where else in the world
3834,2019-05-08 05:47:31,Tourism,Religious Site,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58369,93.84405,Rejected,https://smartvillage.imagetrekk.com/storage/images/3HJmfPfiWKBoqyB3jDNuYoXhkSeBfYalwOtQR9Hb.jpeg?asset_id=3834,myoko yugyang,1,"[""Pakka Road""]",3,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",6:0 to 3:0,"[""Monday""]",Bottled Water,20,Others,bottle water,No,,,,Discarded in Open Field,,No,,No,,Others,,,,,,No,,No,,Temple,,1880,0,Sometimes,myoko,50,"[""None of the above""]",High involvement,None of the above,,rituals worship
3838,2019-05-08 06:32:22,Tourism,Religious Site,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58332,93.84406,Approved,https://smartvillage.imagetrekk.com/storage/images/85X9v0GjTlogBZ5rlRQtJpCITZKlUf90qySQX3SJ.jpeg?asset_id=3838,tasso nago,1,"[""Pakka Road""]",3,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:0 to 0:0,"[""Monday""]",Bottled Water,20,Others,bottle water,No,,,,Discarded in Open Field,,No,,No,,Others,,,,,,No,,No,,Temple,,1880,0,Sometimes,myoko,50,"[""None of the above""]",Very High Involvement,None of the above,,ritual waorship during myoko festival
3870,2019-05-08 10:47:59,Tourism,Religious Site,kejang pema,Community,In Use,West Kameng,Dirang,Dirang,27.49423,93.53535,Approved,https://smartvillage.imagetrekk.com/storage/images/HLtkhpfZX3qMwiYW3ETmpRnzixrkfEGkReUl7fxG.jpeg?asset_id=3870,mani,4,"[""Footway""]",0.3,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""None""]",5:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",Tap Water from Government,,Water from Government,,No,,,,Discarded in Water Bodies,,No,,No,,Others,,,,,,No,,No,,Gompa,,1970,0,Never,namchot,0,"[""None of the above""]",Medium involvement,None of the above,,Buddhist script
3943,2019-05-08 12:35:35,Tourism,Religious Site,padi tara,Community,In Use,Lower Subansiri,Ziro,Reru,27.59752,93.84311,Approved,https://smartvillage.imagetrekk.com/storage/images/a9gX91sMoNwwtrXPabQgVFQjxeCmgvFN0hqgBHCp.jpeg?asset_id=3943,Duyu/khoda Lapang 2,1,"[""Pakka Road""]",3,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",7:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,>7,No,,Others,,,,,,No,,No,,Namlo/Gangin,No,1800,10,Sometimes,myoko,100,"[""None of the above""]",Very High Involvement,None of the above,,its important for a apatanis tribes his folk cultures
3947,2019-05-08 12:36:03,Tourism,Religious Site,padi tara,Community,In Use,Lower Subansiri,Ziro,Reru,27.59787,93.84426,Approved,https://smartvillage.imagetrekk.com/storage/images/PBi8IEK4WSLvTXKV5UdpLpZ7mWkHQtTmpBvKLtuw.jpeg?asset_id=3947,Nenker Lapang,1,"[""Pakka Road""]",3,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",7:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,>7,No,,Others,,,,,,No,,No,,Namlo/Gangin,No,1800,10,Sometimes,myoko,100,"[""None of the above""]",Very High Involvement,None of the above,,its important for our cultures folks and has apatani tribes
