id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,What are the other mechanism used to collect the waste water ?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,The Over Ground water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,What is the type of the material that is used to cover the roof of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank ?,Are there any water level indicators marked?,What is the frequency of technical maintenance or safety audit ?,,,,,,,,,,,,,,,,,,,
2578,2019-03-21 07:24:33,Water,Over Ground Tanks,shri joram nera,Government,In Use,Lower Subansiri,Yachuli,Jara,27.52505,93.76718,Approved,https://smartvillage.imagetrekk.com/storage/images/QdRrD8Hbb5cIip16zFSCQk1K1IqytXemIGIwMki5.jpeg?asset_id=2578,over ground tank at Korashi,Kacha Road,4G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Others ""]",Discarded in Open Field,,No,,Concrete,No,5000,Cement Slabs,1,1,No,Yearly,,,,,,,,,,,,,,,,,,,
2612,2019-03-24 11:19:31,Water,Over Ground Tanks,joram temin,Government,In Use,Lower Subansiri,Yachuli,Toon,27.45997,93.77264,Approved,https://smartvillage.imagetrekk.com/storage/images/xb8BOsM6ZqJcrPLayHfEDIeYXAXioGWpmCSi4IqF.jpeg?asset_id=2612,overground water tanks,Kacha Road with Block Point,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Schemes""]",Mixes with the near by Water Bodies,,Yes,1,Concrete,No,20000,Cement Slabs,More than 4,4,No,Monthly,,,,,,,,,,,,,,,,,,,
2639,2019-03-26 09:49:03,Water,Over Ground Tanks,nemcha nyoungja,Government,In Use,Changlang,Changlang,Old Changlang,27.14495,95.73745,Approved,https://smartvillage.imagetrekk.com/storage/images/R3zM9O3XPag6Obgg4OHbwy3SVNf4zsSfoKF9eXd7.jpeg?asset_id=2639,water tank,Kacha Road with Block Point,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Technical Support""]",Discarded in Open Field,,No,,Concrete,No,5000,Cement Slabs,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
2743,2019-03-31 09:31:46,Water,Over Ground Tanks,tashi drema,Government,Repairable,Tawang,Mukto,Gomkelling,27.54985,91.92646,Approved,https://smartvillage.imagetrekk.com/storage/images/MNzd7134XZ8linrMpiQPrBalPOHqETfjcmphyZqC.jpeg?asset_id=2743,...,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Discarded in Open Field,,No,,Concrete,No,1400,Cement Slabs,1,1,No,Monthly,,,,,,,,,,,,,,,,,,,
3388,2019-05-05 11:39:36,Water,Over Ground Tanks,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Hija,27.5941,93.8036,Approved,https://smartvillage.imagetrekk.com/storage/images/lN5OM2Hd4UBewfJLg9dKOfAXM00gLlg0Zjpd8lYA.jpeg?asset_id=3388,not so good,Pakka Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,No,,Concrete,No,10000,None,2,1,No,Never,,,,,,,,,,,,,,,,,,,
3631,2019-05-06 11:53:02,Water,Over Ground Tanks,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57293,93.8293,Approved,https://smartvillage.imagetrekk.com/storage/images/E5IYt5WRfR1p9Ye2ngfTlHT9tzX7JfXLD3HzZEZK.jpeg?asset_id=3631,Community Ground water wall (Locally called Sukung) no (1) Liagi Tage clan,Pakka Road,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Schemes""]",Discarded in Open Field,,No,,Concrete,No,1000,None,1,1,No,Others,,,,,,,,,,,,,,,,,,,
3649,2019-05-06 11:57:35,Water,Over Ground Tanks,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57496,93.83,Approved,https://smartvillage.imagetrekk.com/storage/images/EhuaaO2tdellY6TXHploIMY0d10SIoywYxZcXQwK.jpeg?asset_id=3649,Tadu Water tank no. (1),Pakka Road,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Technical Support""]",Discarded in Govt. designated structures,,No,,Concrete,Yes,10000,Tin sheets,1,1,No,Never,,,,,,,,,,,,,,,,,,,
3680,2019-05-07 10:52:24,Water,Over Ground Tanks,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Hija,27.59941,93.8954,Approved,https://smartvillage.imagetrekk.com/storage/images/NehvWH7LNdeZwf2Fm5cBEKTogocLIsPq2eyREVDx.jpeg?asset_id=3680,nenchaya tenk 1,Footway,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,Yes,>7,Concrete,No,3000,None,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
3750,2019-05-07 12:43:44,Water,Over Ground Tanks,talen mibang,Government,Not in Use,East Siang,Ruksin,Mangnang,27.91024,95.27675,Approved,https://smartvillage.imagetrekk.com/storage/images/FJtnUZ7pI8vgRtCjG97rZQN5FVnL99T4mp8OfhdP.jpeg?asset_id=3750,bad condition,Kacha Road,3G Reliable,"[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Discarded in Open Field,,Yes,2,Iron,Yes,10000,Steel,4,2,Yes,Others,,,,,,,,,,,,,,,,,,,
3757,2019-05-07 12:43:45,Water,Over Ground Tanks,talen mibang,Government,In Use,East Siang,Ruksin,Mangnang,27.91002,95.27301,Approved,https://smartvillage.imagetrekk.com/storage/images/YtZrfZPNyeiJJEAhCjQjR4PbHKW4cuOoI8RSblGY.jpeg?asset_id=3757,done,Kacha Road,3G Reliable,"[""Jio"",""BSNL"",""Airtel""]","[""Jio"",""BSNL"",""Airtel""]","[""Jio"",""BSNL"",""Airtel""]","[""Jio"",""BSNL"",""Airtel""]","[""Jio"",""BSNL"",""Airtel""]","[""Jio"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Schemes""]",Discarded in Open Field,,Yes,1,Concrete,No,20000,Cement Slabs,2,2,Yes,Others,,,,,,,,,,,,,,,,,,,
3963,2019-05-09 05:03:16,Water,Over Ground Tanks,pema ledan thungon,Government,In Use,West Kameng,Shinchung,Shinchung,27.19387,92.47142,Approved,https://smartvillage.imagetrekk.com/storage/images/pbzpz71PhUlxETTjZX6mworlZckvWnbaY3tKXyWB.jpeg?asset_id=3963,in use newly constructed,Footway,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support""]",Discarded in Govt. designated structures,,Yes,5,Concrete,No,12000,Cement Slabs,2,2,No,Monthly,,,,,,,,,,,,,,,,,,,
3984,2019-05-09 08:28:24,Water,Over Ground Tanks,kago yubbey,Community,In Use,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55673,93.84795,Approved,https://smartvillage.imagetrekk.com/storage/images/AUsX0Sd7co2IlGHZRuhf0YpTSzR6iJxQhYyp5kvD.jpeg?asset_id=3984,well 3,Kacha Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",Mixes with the near by Water Bodies,,No,,Others,No,10000,Steel,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
3993,2019-05-09 08:31:09,Water,Over Ground Tanks,kago yubbey,Community,In Use,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55906,93.84836,Approved,https://smartvillage.imagetrekk.com/storage/images/pZlum6tN4OVlZW2kdf1WRZlBxwly4X6AzU2U1AK5.jpeg?asset_id=3993,well water,Footway,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Others ""]",Mixes with the near by Water Bodies,,No,,Bamboo,No,15000,Tin sheets,1,1,No,Others,,,,,,,,,,,,,,,,,,,
3994,2019-05-09 08:31:31,Water,Over Ground Tanks,kago yubbey,Community,In Use,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55861,93.84887,Approved,https://smartvillage.imagetrekk.com/storage/images/9NwyfqQWYHEWw5UKlF7gT5UNI942kiOyhVXFxOIz.jpeg?asset_id=3994,ground water tank,Footway,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None"",""Others ""]",Mixes with the near by Water Bodies,,No,,Bamboo,No,20000,Steel,2,1,No,Others,,,,,,,,,,,,,,,,,,,
4075,2019-05-09 12:59:33,Water,Over Ground Tanks,padi tara,Community,In Use,Lower Subansiri,Ziro,Kalong,27.59492,93.84095,Approved,https://smartvillage.imagetrekk.com/storage/images/mYcVreLlsAXn2RB9h7h61VjdU49cB2pVeujQhAbC.jpeg?asset_id=4075,public water tank,Pakka Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",None,,Yes,>7,Others,No,1500,Cement Slabs,More than 4,More than 4,Yes,Yearly,,,,,,,,,,,,,,,,,,,
4209,2019-05-10 01:30:40,Water,Over Ground Tanks,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Hija,27.58525,93.88742,Approved,https://smartvillage.imagetrekk.com/storage/images/o6xUnCu51Ga3Rf7ZdFKzgVrmYI6nknddeSQgVzlK.jpeg?asset_id=4209,taro taku tank,Pakka Road,2G Reliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,Yes,>7,Concrete,No,10000,Tin sheets,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
4333,2019-05-10 06:51:48,Water,Over Ground Tanks,tilling saha,Community,In Use,Lower Subansiri,Ziro,Bamin,27.56936,93.82865,Approved,https://smartvillage.imagetrekk.com/storage/images/bDbXODIWYt1eOrVv0mhi3AggkayKmOZnoJLeCXPH.jpeg?asset_id=4333,Tamo ground tank,Pakka Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Discarded in Open Field,,No,,Others,No,5000,Cement Slabs,2,2,No,Irregular,,,,,,,,,,,,,,,,,,,
4475,2019-05-10 11:13:11,Water,Over Ground Tanks,kago yubbey,Government,In Use,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55766,93.84728,Approved,https://smartvillage.imagetrekk.com/storage/images/niy8E3nm4tql5zvbnJKysek1OHYOdKTAdB6Eidz0.jpeg?asset_id=4475,tank,Pakka Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Others ""]",Mixes with the near by Water Bodies,,No,,Concrete,No,2000,Cement Slabs,2,More than 4,No,Others,,,,,,,,,,,,,,,,,,,
4505,2019-05-10 12:32:02,Water,Over Ground Tanks,bullo tatung,Government,Repairable,Lower Subansiri,Ziro,Hija,27.60826,93.85948,Approved,https://smartvillage.imagetrekk.com/storage/images/eQHEmDLkgyptRo6Y1ZSgq41ej6244SFE7UTdwtB9.jpeg?asset_id=4505,nending putu water tank,Pakka Road,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,No,,Concrete,No,10000,Tin sheets,2,2,No,Never,,,,,,,,,,,,,,,,,,,
4521,2019-05-10 12:41:51,Water,Over Ground Tanks,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Hija,27.60118,93.77566,Approved,https://smartvillage.imagetrekk.com/storage/images/QJJ9bjitquOEpaH5S2zzjaPwfDAVHqGQKuz7F5Wq.jpeg?asset_id=4521,puna water tank,Kacha Road,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,Yes,4,Concrete,Yes,5000,Tin sheets,2,2,No,Irregular,,,,,,,,,,,,,,,,,,,
4523,2019-05-10 12:42:00,Water,Over Ground Tanks,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Hija,27.58348,93.89939,Approved,https://smartvillage.imagetrekk.com/storage/images/cU1E5p6W9X1TZ9eudI6nIQgD5P8qpiIEISXFQUrJ.jpeg?asset_id=4523,dani water tank,Kacha Road,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,Yes,2,Concrete,No,5000,None,2,2,No,Irregular,,,,,,,,,,,,,,,,,,,
4598,2019-05-10 18:45:56,Water,Over Ground Tanks,tilling saha,Community,In Use,Lower Subansiri,Ziro,Bamin,27.56941,93.82941,Approved,https://smartvillage.imagetrekk.com/storage/images/I88v2hkmWTmo2JaAr06XeoZEyYQaYvWrUBCMzJ1a.jpeg?asset_id=4598,ground tank 2 bamin,Pakka Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Discarded in Open Field,,No,,Others,No,5000,Cement Slabs,2,2,No,Irregular,,,,,,,,,,,,,,,,,,,
4599,2019-05-10 18:46:02,Water,Over Ground Tanks,tilling saha,Private,In Use,Lower Subansiri,Ziro,Bamin,27.56966,93.82979,Approved,https://smartvillage.imagetrekk.com/storage/images/NwfBgzFUMDh48JqFSvgYl6dwgeOP0hp7xaIpZi11.jpeg?asset_id=4599,ground tank 1,Pakka Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Discarded in Open Field,,No,,Others,No,5000,Cement Slabs,2,2,No,Irregular,,,,,,,,,,,,,,,,,,,
4794,2019-05-11 18:15:50,Water,Over Ground Tanks,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57297,93.83057,Approved,https://smartvillage.imagetrekk.com/storage/images/2CnOoUvmWKlFWhwu56jmzMe3DcgN2vbFhbxvS9Q1.jpeg?asset_id=4794,Ground Water (Wall) no. (2),Kacha Road,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support"",""Technical Support"",""Support via Schemes"",""Others ""]",Discarded in Open Field,,No,,Concrete,No,20000,None,1,1,No,Yearly,,,,,,,,,,,,,,,,,,,
4825,2019-05-11 18:25:14,Water,Over Ground Tanks,tage tajung,Government,In Use,Lower Subansiri,Ziro,Modang Tage,27.57312,93.82962,Approved,https://smartvillage.imagetrekk.com/storage/images/5zqCMOU8WeaXFOftBNjCVTF7ra6DxjylZu0ac8SM.jpeg?asset_id=4825,Govt. PHED over head water tank.,Kacha Road,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support"",""Support via Schemes""]",Mixes with the near by Water Bodies,,No,,Concrete,No,10000,Cement Slabs,3,3,No,Never,,,,,,,,,,,,,,,,,,,
4881,2019-05-12 10:13:11,Water,Over Ground Tanks,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Keiliya,27.5941,93.84551,Approved,https://smartvillage.imagetrekk.com/storage/images/hXQzxRf4xSckaU9Ofug3ekne9QDTqffrioazItSV.jpeg?asset_id=4881,keliya water tank,Pakka Road,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,No,,Concrete,No,5000,Cement Slabs,2,2,No,Irregular,,,,,,,,,,,,,,,,,,,
4957,2019-05-12 10:29:49,Water,Over Ground Tanks,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Dutta,27.59056,93.8515,Approved,https://smartvillage.imagetrekk.com/storage/images/ehulcQkcxcdkbfIeoPfOtaQmSX2yc6sRBbweNRgG.jpeg?asset_id=4957,dutta main water tank,Pakka Road,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,Yes,4,Concrete,No,10000,Cement Slabs,1,2,No,Irregular,,,,,,,,,,,,,,,,,,,
4985,2019-05-12 10:34:56,Water,Over Ground Tanks,ngilyang thaka,Government,Repairable,Lower Subansiri,Ziro,Molyang (Tajang),27.56973,93.86494,Approved,https://smartvillage.imagetrekk.com/storage/images/Wmk7hrHVxT1OTjcjc6riyql5Ka1eswhM9H82k7gu.jpeg?asset_id=4985,over ground tank 1,Kacha Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Discarded in Govt. designated structures,,No,,Concrete,Yes,10000,Cement Slabs,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
4999,2019-05-12 13:30:17,Water,Over Ground Tanks,kago yubbey,Government,In Use,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55747,93.84948,Approved,https://smartvillage.imagetrekk.com/storage/images/PTsBXkSO8LcBTOYHQs28t8GBQTNjNGX47n5KwCG1.jpeg?asset_id=4999,water tank at nami village,Pakka Road,3G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Others ""]",Mixes with the near by Water Bodies,,No,,Concrete,No,10000,Tin sheets,More than 4,More than 4,No,Others,,,,,,,,,,,,,,,,,,,
5012,2019-05-12 17:29:46,Water,Over Ground Tanks,tage tajung,Government,In Use,Lower Subansiri,Ziro,Modang Tage,27.56799,93.84915,Approved,https://smartvillage.imagetrekk.com/storage/images/Lpu84W9E3LRYiU35QJbIxg0qpQcxMKEs2vR24O1b.jpeg?asset_id=5012,Water tank no. (5),Kacha Road,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support"",""Technical Support"",""Support via Schemes""]",Mixes with the near by Water Bodies,,No,,Concrete,No,100,Cement Slabs,2,2,No,Others,,,,,,,,,,,,,,,,,,,
5034,2019-05-13 09:25:32,Water,Over Ground Tanks,tilling saha,Government,In Use,Lower Subansiri,Ziro,Bamin,27.56939,93.82873,Approved,https://smartvillage.imagetrekk.com/storage/images/UqdP21qYAaw521UsIxyMqthgZDaqZTlBtq3PZvuW.jpeg?asset_id=5034,ground tank Tamo village,Pakka Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Technical Support"",""Others ""]",Mixes with the near by Water Bodies,,Yes,>7,Others,No,1000,Cement Slabs,2,2,No,Irregular,,,,,,,,,,,,,,,,,,,
5038,2019-05-13 09:26:10,Water,Over Ground Tanks,tilling saha,Community,In Use,Lower Subansiri,Ziro,Michi,27.56955,93.82637,Approved,https://smartvillage.imagetrekk.com/storage/images/vpxhAWYUAfgzFHgILhnYCgGPxGU7ebI3o5aybPH2.jpeg?asset_id=5038,ground tank michi ayoh,Kacha Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Technical Support"",""Others "",""Support via Schemes""]",Mixes with the near by Water Bodies,,Yes,>7,Others,No,300,Cement Slabs,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
