id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,What are the other mechanism used to collect the waste water ?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,The Overhead water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank?,Are there any devices connected to see the water level?,What is the frequency of technical maintenance or safety audit ?
1664,2019-02-26 06:34:19,Water,Over Head Tanks,omem lego,Government,In Use,East Siang,Oyan,Rani,27.96565,95.31075,Approved,https://smartvillage.imagetrekk.com/storage/images/4uuiN6c2TmvuhqV9lDmWCpbiB51mR2y1oeHjaH22.jpeg?asset_id=1664,OVER HEAD TANK(RANI-3),Kacha Road,4G+ Reliable,"[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]","[""None""]",None,,No,,Concrete,No,85000,3,3,No,Monthly
1668,2019-02-26 10:08:30,Water,Over Head Tanks,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87923,95.31424,Approved,https://smartvillage.imagetrekk.com/storage/images/ifYKbNZrcEZiwuZtaEEeY1BkrxlXcATHzTRHWObO.jpeg?asset_id=1668,Over Head Tanks Of Oyan Village -1.,Pakka Road,4G+ Reliable,"[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""Financial Support""]",Discarded in Open Field,,Yes,2,Concrete,No,62,3,2,No,Monthly
1669,2019-02-26 11:02:55,Water,Over Head Tanks,nong tayeng,Government,In Use,East Siang,Mebo,Mebo,28.16966,95.41738,Approved,https://smartvillage.imagetrekk.com/storage/images/PkAJsoCTmycxsgwDAFMWRccPy2tSVJ7YSI3sgNg8.jpeg?asset_id=1669,need proper maintenance,Kacha Road,4G+ Reliable,"[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","[""Airtel "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""Technical Support""]",Discarded in Open Field,,No,,Concrete,Yes,40000,4,2,Yes,Irregular
1673,2019-02-26 11:23:21,Water,Over Head Tanks,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87543,95.31236,Approved,https://smartvillage.imagetrekk.com/storage/images/R1ycHil0bRJjsn7pq5myBPSabQ8dBu3lk7EezYir.jpeg?asset_id=1673,Over Head Tanks Of Oyan Village -2.,Pakka Road,4G+ Reliable,"[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]","[""Financial Support""]",Discarded in Open Field,,Yes,2,Concrete,No,30,3,2,No,Monthly
1676,2019-02-26 11:35:48,Water,Over Head Tanks,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87705,95.31021,Approved,https://smartvillage.imagetrekk.com/storage/images/evYVej7tT0FNzIstaZUKZJuiqsaK8TeFBdREuiNC.jpeg?asset_id=1676,Over Head Tanks GREF Camp Oyan.,Kacha Road,4G+ Reliable,"[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""Financial Support""]",Mixes with the near by Water Bodies,,Yes,2,Steel,No,22.5,3,2,No,Monthly
1732,2019-02-27 05:50:24,Water,Over Head Tanks,bini yabi,Government,In Use,East Siang,Oyan,Sille Village,27.89322,95.30886,Approved,https://smartvillage.imagetrekk.com/storage/images/lNncKRHxW86oZ6snN7J97nsWKo5qHzPKX3KKlLlv.jpeg?asset_id=1732,sille over head tank,Pakka Road,4G+ Reliable,"[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""Financial Support""]",Discarded in Open Field,,Yes,2,Concrete,No,3500,2,3,No,Monthly
1744,2019-02-27 06:52:21,Water,Over Head Tanks,bini yabi,Government,Not in Use,East Siang,Oyan,Sille Village,27.90257,95.30305,Approved,https://smartvillage.imagetrekk.com/storage/images/SN6kGqxmlz3CNkjtdYFtOd6a2uBQw8QrqQX9BEiI.jpeg?asset_id=1744,sille over head tank not in use,Kacha Road,4G+ Reliable,"[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]","[""None""]",None,,No,,Steel,No,40000,3,3,No,Never
1746,2019-02-27 07:06:18,Water,Over Head Tanks,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.88657,95.31732,Approved,https://smartvillage.imagetrekk.com/storage/images/UjrlZM07RtYxskOB9XI7qn3b3DGKbjEQrsUpgbJM.jpeg?asset_id=1746,Over Head Tanks Of C.O Office.,Pakka Road,4G+ Reliable,"[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]","[""Financial Support""]",Discarded in Open Field,,Yes,2,Concrete,No,40,3,2,No,Monthly
1747,2019-02-27 07:12:31,Water,Over Head Tanks,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.88547,95.31802,Approved,https://smartvillage.imagetrekk.com/storage/images/lVNx7PwjNKdo8DI5GmIRTSy1X4mYboVwHiz22eKf.jpeg?asset_id=1747,Over Head Tanks Of C.O Office.,Kacha Road,4G+ Reliable,"[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]","[""Financial Support""]",Discarded in Open Field,,Yes,2,Steel,No,40,3,2,No,Monthly
1748,2019-02-27 07:12:54,Water,Over Head Tanks,bini yabi,Government,In Use,East Siang,Oyan,Sille Village,27.90727,95.3014,Approved,https://smartvillage.imagetrekk.com/storage/images/3747OQODEFxGlpwKQcu6hT9T5Qt4gMVrBh6u0WJa.jpeg?asset_id=1748,sille over head tank,Pakka Road,4G+ Reliable,"[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","[""Vodafone "",""Airtel "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""Others""]",Discarded in Open Field,,No,,Concrete,No,40000,3,3,No,Yearly
