id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where does the waste water generated from that asset goes to?,What are the other mechanism used to discard the waste water ?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Is that Tap in working condition?,Is check valve working in the tap ?,How far is the tap from the water tank/Source ?,What is the diameter of the Pipe ?,How many Taps are connected to one standpod?,What is the length of the service tap?,What is the basement/ foundation is made of ?,Is there any rust on the tap ?,Were people drinking water while you visited this spot?,Are there any charges which come when getting water from this tap?,What does one liter of water cost (in rupees)?,What is the frequency of technical maintenance or safety audit ?,How many times is the quality of water being checked?
964,2019-02-14 04:08:04,Water,Public Taps/ Public Stand Pod,kamchi techi,Government,In Use,Changlang,Changlang,Changlang (CT),27.13516,95.72588,Approved,https://smartvillage.imagetrekk.com/storage/images/H7kGIqSNJ3RaK9EGwTz1Jpbpjd9EcXDTOJvi8Rad.jpeg?asset_id=964,village name is Laktong,Pakka Road with Block Point,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 24:00,"[""Financial Support"",""Technical Support""]",2,1,Discarded in Open Field,,No,,yes,Yes,Above 500 meters,12mm,1,1,"[""Cement""]",Yes,No,No,,Irregular,Irregular
966,2019-02-14 04:11:55,Water,Public Taps/ Public Stand Pod,kamchi techi,Government,In Use,Changlang,Changlang,Changlang (CT),27.13536,95.72555,Approved,https://smartvillage.imagetrekk.com/storage/images/uHCVnikKacmosX6QhxEl3zGPBOF9qNtqgxg1vsn7.jpeg?asset_id=966,Village Name is Laktong,Footway,4G Unreliable,"[""Vodafone"",""Airtel"",""Jio"",""BSNL""]","[""Vodafone"",""Airtel"",""Jio"",""BSNL""]","[""Vodafone"",""Airtel"",""Jio"",""BSNL""]","[""Vodafone"",""Airtel"",""Jio"",""BSNL""]","[""Vodafone"",""Airtel"",""Jio"",""BSNL""]","[""Vodafone"",""Airtel"",""Jio"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 24:00,"[""Financial Support"",""Technical Support""]",1,0,Mixes with the near by Water Bodies,,No,,yes,Yes,Above 500 meters,12mm,1,1,"[""Cement""]",No,Yes,No,,Irregular,Irregular
971,2019-02-14 04:31:06,Water,Public Taps/ Public Stand Pod,kamchi techi,Government,In Use,Changlang,Changlang,Changlang (CT),27.13576,95.72645,Approved,https://smartvillage.imagetrekk.com/storage/images/lm1tGYM0Uw8yaBw42JXAxcMVJmBNjNVqOsRFrK0X.jpeg?asset_id=971,village name is Laktong,Pakka Road with Block Point,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 24:00,"[""Financial Support"",""Technical Support""]",2,1,Discarded in Open Field,,No,,yes,Yes,Below 200 meters,12mm,1,1,"[""Cement""]",Yes,No,No,,Irregular,Irregular
1022,2019-02-15 04:50:25,Water,Public Taps/ Public Stand Pod,makba nasi,Private,In Use,Tirap,Khonsa,Kheti,26.97127,95.50585,Approved,https://smartvillage.imagetrekk.com/storage/images/RKdJqDvxzzgk87UIMgaRQGc9bD0kIUV92lHVvvOk.jpeg?asset_id=1022,local water tap,Footway,4G Reliable,"[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:00 to 24:00,"[""None""]",1,0,Mixes with the near by Water Bodies,,No,,yes,No,Below 200 meters,others,1,2,"[""Others""]",No,Yes,No,,Irregular,Never
1042,2019-02-15 06:27:45,Water,Public Taps/ Public Stand Pod,khepsim mamai,Government,In Use,Changlang,Changlang,Changlang (CT),27.12741,95.70589,Approved,https://smartvillage.imagetrekk.com/storage/images/ffzDbDO0g7X1wNRJ2j4UiwjnWJFmPaFquou67ZOA.jpeg?asset_id=1042,Village Name Is Phangtip,Kacha Road,3G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 24:00,"[""Technical Support"",""Financial Support""]",1,0,Discarded in Open Field,,No,,yes,Yes,Above 500 meters,12mm,1,1,"[""Cement""]",No,Yes,No,,Irregular,Irregular
1053,2019-02-15 07:48:19,Water,Public Taps/ Public Stand Pod,kino tallo,Community,In Use,Papumpare,Sangdupota,Poma,27.1138,93.53334,Approved,https://smartvillage.imagetrekk.com/storage/images/pN2mJftnTwf3Md81MHxblo8K6qKX8CdY71CHdE4O.jpeg?asset_id=1053,-,Kacha Road,2G Reliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 24:00,"[""Others""]",2,0,None,,No,,yes,Yes,Above 500 meters,12mm,1,1,"[""Cement""]",Yes,No,No,,Irregular,Irregular
1058,2019-02-15 07:50:29,Water,Public Taps/ Public Stand Pod,oyi gao,Community,In Use,East Siang,Pasighat,Rengging,28.14204,95.27214,Approved,https://smartvillage.imagetrekk.com/storage/images/xsJgnBhBCyYnAbuXqdVnE7QoQi6mxFaibrWfP71i.jpeg?asset_id=1058,3 are in used,Footway,2G Unreliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 24:00,"[""Support via Schemes""]",2,0,Mixes with the near by Water Bodies,,Yes,7,yes,Yes,Below 200 meters,24mm,2,5,"[""Cement""]",Yes,Yes,No,,Monthly,Irregular
1079,2019-02-15 10:50:04,Water,Public Taps/ Public Stand Pod,panwang wangsa,Government,In Use,Tirap,Khonsa,Kaimoi,27.03934,95.49891,Approved,https://smartvillage.imagetrekk.com/storage/images/JMCnfr7bMwvC8Omd2BxY0Z98dSsREWiTfErCS6cs.jpeg?asset_id=1079,water tap in use Kaimai 5,Footway,4G Reliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",1.00pm-4.00pm,"[""None""]",30,0,Discarded in Open Field,,No,,yes,Yes,Between 200-500 meters,12mm,1,2,"[""Cement""]",Yes,Yes,No,,Never,Never
1102,2019-02-15 14:03:31,Water,Public Taps/ Public Stand Pod,nemcha nyoungja,Government,In Use,Changlang,Changlang,Changlang (CT),27.14425,95.73794,Approved,https://smartvillage.imagetrekk.com/storage/images/RDXNQq6nDDscRaSujN4RP0zI8FgblgiZ3yMou1jS.jpeg?asset_id=1102,Village name is Old Changlang,Pakka Road with Block Point,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6.00 Am-8.00 pm,"[""None""]",1,0,Discarded in Open Field,,No,,yes,Yes,Between 200-500 meters,12mm,1,1,"[""Cement""]",No,Yes,No,,Irregular,Never
1110,2019-02-15 14:03:33,Water,Public Taps/ Public Stand Pod,nemcha nyoungja,Government,In Use,Changlang,Changlang,Changlang (CT),27.14261,95.73734,Approved,https://smartvillage.imagetrekk.com/storage/images/fIqVlG5LOWa96VpwjKvd3ZOJlJeLBz2nW9V2t6uA.jpeg?asset_id=1110,Village name is Old Changlang,Footway,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6.00 am- 8.00 pm,"[""None""]",1,0,Discarded in Open Field,,No,,yes,Yes,Above 500 meters,12mm,1,2,"[""Cement""]",No,Yes,No,,Irregular,Never
