id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where does the waste water generated from that asset goes to?,What are the other mechanism used to discard the waste water ?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Is that Tap in working condition?,Is check valve working in the tap ?,How far is the tap from the water tank/Source ?,What is the diameter of the Pipe ?,How many Taps are connected to one standpod?,What is the length of the service tap?,What is the basement/ foundation is made of ?,Is there any rust on the tap ?,Were people drinking water while you visited this spot?,Are there any charges which come when getting water from this tap?,What does one liter of water cost (in rupees)?,What is the frequency of technical maintenance or safety audit ?,How many times is the quality of water being checked?
1125,2019-02-15 14:04:26,Water,Public Taps/ Public Stand Pod,nabam dimin,Government,In Use,Lower Subansiri,Yachuli,Yoglo,27.52176,93.70635,Approved,https://smartvillage.imagetrekk.com/storage/images/G2NfweceyKNoEn4TIyqSxM8HTzR3INbKwrGsS0BN.jpeg?asset_id=1125,running condition,Kacha Road,2G Reliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""None""]",1,3,Discarded in Open Field,,No,,yes,No,Between 200-500 meters,12mm,1,2,"[""Cement""]",No,No,No,,Never,Never
1128,2019-02-15 14:04:55,Water,Public Taps/ Public Stand Pod,nabam dimin,Government,In Use,Lower Subansiri,Yachuli,Yoglo,27.52186,93.70705,Approved,https://smartvillage.imagetrekk.com/storage/images/C8k3ps6KPBKVaZq0Xq9LeSCuGNCrTLJSe4tSnn9I.jpeg?asset_id=1128,running condition,Kacha Road,2G Reliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:00 to 0:00,"[""None""]",1,3,Discarded in Open Field,,No,,yes,No,Between 200-500 meters,12mm,1,1,"[""Others""]",No,No,No,,Never,Never
1133,2019-02-15 14:05:52,Water,Public Taps/ Public Stand Pod,nabam dimin,Government,In Use,Lower Subansiri,Yachuli,Yoglo,27.51541,93.70278,Approved,https://smartvillage.imagetrekk.com/storage/images/qdbvo9oC4f7pKhRrYdPV1iaNpMyQPCbd6F0OdEbN.jpeg?asset_id=1133,running condition,Kacha Road,2G Unreliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:00 to 0:00,"[""None""]",1,3,Discarded in Open Field,,No,,yes,Yes,Between 200-500 meters,12mm,1,2,"[""Others""]",No,No,No,,Never,Never
1135,2019-02-15 14:06:09,Water,Public Taps/ Public Stand Pod,nabam dimin,Government,In Use,Lower Subansiri,Yachuli,Yoglo,27.51618,93.70361,Approved,https://smartvillage.imagetrekk.com/storage/images/H7JwshXj0yIm0eI8oTK4gQ9S1xLol6V8WTNRqw0o.jpeg?asset_id=1135,running condition,Kacha Road,2G Unreliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:00 to 0:00,"[""None""]",1,3,Discarded in Open Field,,No,,yes,Yes,Between 200-500 meters,12mm,2,2,"[""Others""]",No,No,No,,Never,Never
1142,2019-02-15 14:07:10,Water,Public Taps/ Public Stand Pod,nabam dimin,Government,In Use,Lower Subansiri,Yachuli,Yoglo,27.51555,93.70331,Approved,https://smartvillage.imagetrekk.com/storage/images/qsUCBOkgnruPeaGfjgBqlrHF0hKUom7KV6FPhSFb.jpeg?asset_id=1142,running condition,Kacha Road,2G Unreliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:00 to 0:00,"[""None""]",1,3,Discarded in Open Field,,No,,yes,Yes,Between 200-500 meters,12mm,1,2,"[""Others""]",No,No,No,,Never,Never
1158,2019-02-15 14:10:46,Water,Public Taps/ Public Stand Pod,nabam dimin,Government,In Use,Lower Subansiri,Yachuli,Yoglo,27.51778,93.70734,Approved,https://smartvillage.imagetrekk.com/storage/images/zcLiPTOrFh1bhn7cUdRcTpoQk8QDJmp8fXoBiEDY.jpeg?asset_id=1158,running condition,Kacha Road,2G Unreliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:00 to 0:00,"[""Technical Support""]",1,0,None,,No,,yes,Yes,Above 500 meters,24mm,1,0.7,"[""Others""]",Yes,No,No,,Never,Never
1221,2019-02-17 01:20:15,Water,Public Taps/ Public Stand Pod,hungo tesia,Government,In Use,Tirap,Khonsa,Lapnan,26.98949,95.48446,Approved,https://smartvillage.imagetrekk.com/storage/images/9iHlLEKvNNcFlvrJSf4CG2qeQ9slY3kbVcqNfauG.jpeg?asset_id=1221,near waiting shed,Pakka Road,4G Unreliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",6:00am to 19:00pm,"[""None""]",30,0,Discarded in Open Field,,No,,yes,Yes,Above 500 meters,12mm,1,2,"[""Cement""]",No,No,No,,Never,Never
1226,2019-02-17 02:42:10,Water,Public Taps/ Public Stand Pod,kamchi techi,Government,Repairable,Changlang,Changlang,Changlang (CT),27.13573,95.72532,Rejected,https://smartvillage.imagetrekk.com/storage/images/RMKvd3wo1iA7wyxsuLDcqzMMfBYXUawC1djuPM95.jpeg?asset_id=1226,laktong village,Pakka Road with Block Point,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""Financial Support"",""Technical Support""]",2,1,Discarded in Open Field,,No,,No,No,Above 500 meters,12mm,1,1,"[""Cement""]",Yes,No,No,,Irregular,Irregular
1241,2019-02-17 05:19:12,Water,Public Taps/ Public Stand Pod,oyi gao,Government,In Use,East Siang,Pasighat,Rengging,28.14397,95.27385,Approved,https://smartvillage.imagetrekk.com/storage/images/9rp5TnYIOpnui6YrX9ehm1dXWTmsgY98F9GPgArK.jpeg?asset_id=1241,1 public tap done,Footway,2G Unreliable,"[""Airtel"",""Jio"",""BSNL"",""Vodafone""]","[""Airtel"",""Jio"",""BSNL"",""Vodafone""]","[""Airtel"",""Jio"",""BSNL"",""Vodafone""]","[""Airtel"",""Jio"",""BSNL"",""Vodafone""]","[""Airtel"",""Jio"",""BSNL"",""Vodafone""]","[""Airtel"",""Jio"",""BSNL"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 24:00,"[""None""]",2,0,Mixes with the near by Water Bodies,,Yes,7,yes,Yes,Below 200 meters,12mm,1,1,"[""Cement""]",No,Yes,No,,Yearly,Yearly
1242,2019-02-17 05:19:20,Water,Public Taps/ Public Stand Pod,oyi gao,Government,In Use,East Siang,Pasighat,Rengging,28.14254,95.27233,Approved,https://smartvillage.imagetrekk.com/storage/images/ZQuzTItvFuatuWxXb2m6tT1KY9fFbYlGMwPGk1lr.jpeg?asset_id=1242,1 public tap is done,Footway,2G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 24:00,"[""None""]",2,0,Mixes with the near by Water Bodies,,Yes,7,yes,Yes,Below 200 meters,12mm,1,1,"[""Cement""]",No,Yes,No,,Yearly,Irregular
1258,2019-02-18 06:31:51,Water,Public Taps/ Public Stand Pod,panwang wangsa,Government,In Use,Tirap,Khonsa,Kaimoi,27.03905,95.49477,Approved,https://smartvillage.imagetrekk.com/storage/images/mc7Y3wXRyrujJ9V7AN9WLsdFbcfcP07VXBhdy0C6.jpeg?asset_id=1258,water tap at Kaimai in use,Kacha Road,4G Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",9.00-12.00,"[""None""]",30,0,Discarded in Open Field,,No,,yes,Yes,Below 200 meters,12mm,1,3,"[""Cement""]",No,Yes,No,,Never,Never
1267,2019-02-18 10:35:36,Water,Public Taps/ Public Stand Pod,pema ledan thungon,Community,In Use,West Kameng,Singchung,Singchung,27.19729,92.4735,Approved,https://smartvillage.imagetrekk.com/storage/images/7H482gIwN8v0HcEElMTv3WCLOk0oxxnZ25Dkkgpv.jpeg?asset_id=1267,in good condition,Footway,4G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 24:00,"[""None""]",1,0,None,,Yes,3,yes,No,Below 200 meters,others,1,2,"[""Cement""]",No,Yes,No,,Others,Yearly
1316,2019-02-20 10:22:17,Water,Public Taps/ Public Stand Pod,ngilyang nobin,Government,In Use,Lower Subansiri,Ziro,Tajang,27.59986,93.82489,Approved,https://smartvillage.imagetrekk.com/storage/images/E4Vje81qsSZEl2HQloKIZQB88RH8GzsHwIfj8Y8R.jpeg?asset_id=1316,2,Kacha Road,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 24:00,"[""Support via Schemes""]",1,0,Mixes with the near by Water Bodies,,No,,yes,Yes,Above 500 meters,12mm,1,0,"[""Cement""]",No,Yes,No,,Never,Never
1363,2019-02-21 09:54:17,Water,Public Taps/ Public Stand Pod,panwang wangsa,Government,In Use,Tirap,Khonsa,Kaimoi,27.03987,95.49684,Approved,https://smartvillage.imagetrekk.com/storage/images/fjFOFLLs1SRd3jodccNhanSxRX8eWi8L3Tt1MreI.jpeg?asset_id=1363,water tap 8,Kacha Road,4G Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",9.00-11.00,"[""None""]",30,0,Discarded in Open Field,,No,,yes,Yes,Below 200 meters,12mm,1,2,"[""Cement""]",No,No,No,,Never,Never
1377,2019-02-21 10:43:37,Water,Public Taps/ Public Stand Pod,shri joram nera,Government,In Use,Lower Subansiri,Yachuli,Jara,27.52799,93.77237,Approved,https://smartvillage.imagetrekk.com/storage/images/eMI3OClDL0QaLthZpnP5daPbqZ3Bqfhj3ahk4xnH.jpeg?asset_id=1377,Need enhanced public tab. Actually single househood tab used.,Pakka Road,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",5:00 am to 19:00 pm,"[""Support via Schemes""]",1,2,Mixes with the near by Water Bodies,,No,,yes,Yes,Above 500 meters,24mm,1,2,"[""Cement""]",Yes,Yes,No,,Yearly,Yearly
1523,2019-02-24 15:34:51,Water,Public Taps/ Public Stand Pod,nemcha nyoungja,Government,In Use,Changlang,Changlang,Changlang (CT),27.14291,95.74102,Approved,https://smartvillage.imagetrekk.com/storage/images/eTqc2eD1vYuZYtNWKuF0AStuH5LgM6vA4gEdS5Ju.jpeg?asset_id=1523,Village name is Old Changlang (tap water),Footway,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",6.00am-8.00pm,"[""None""]",1,0,Mixes with the near by Water Bodies,,No,,yes,Yes,Above 500 meters,12mm,1,5,"[""Cement""]",No,Yes,No,,Irregular,Never
1552,2019-02-25 06:48:52,Water,Public Taps/ Public Stand Pod,khepsim mamai,Government,Not in Use,Changlang,Changlang,Changlang (CT),27.12767,95.70652,Pending,https://smartvillage.imagetrekk.com/storage/images/4a2g3jTPUhpZClDPpUmBrsauTyS0ESze2FJPK80g.jpeg?asset_id=1552,village name is phangti,Kacha Road,3G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""None""]",1,0,Discarded in Open Field,,No,,No,No,Above 500 meters,others,1,1,"[""Others""]",No,No,No,,Irregular,Irregular
1618,2019-02-26 04:42:40,Water,Public Taps/ Public Stand Pod,nong tayeng,Government,In Use,East Siang,Mebo,Mebo,28.16992,95.4114,Approved,https://smartvillage.imagetrekk.com/storage/images/U0z0XiBX8ufJ9EGC5MXsufZSP4UFx1wgrpuN4EGQ.jpeg?asset_id=1618,collected correct information from Shri nonor tayeng ex gpc mebo,Kacha Road,4G Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""None""]",1,0,Others,discard through drainage system,No,,yes,Yes,Between 200-500 meters,12mm,1,1,"[""Cement""]",No,Yes,No,,Monthly,Monthly
1638,2019-02-26 04:56:45,Water,Public Taps/ Public Stand Pod,nong tayeng,Government,In Use,East Siang,Mebo,Mebo,28.16947,95.41183,Approved,https://smartvillage.imagetrekk.com/storage/images/M2Ce3Je8WRl59r0SQzSZx9MfPxzoZMH4eR8AmWvr.jpeg?asset_id=1638,need proper drainage system,Kacha Road,4G Reliable,"[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""None""]",1,0,Discarded in Open Field,,No,,yes,No,Between 200-500 meters,12mm,1,1,"[""Cement""]",No,Yes,No,,Irregular,Monthly
1640,2019-02-26 05:01:15,Water,Public Taps/ Public Stand Pod,nong tayeng,Government,In Use,East Siang,Mebo,Mebo,28.17,95.41209,Approved,https://smartvillage.imagetrekk.com/storage/images/MDGkCAHKtbmgnTVXNVKHUjfLvy1Ydq7wvRXJ1rIZ.jpeg?asset_id=1640,needed proper drainage system,Kacha Road,4G Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""None""]",1,0,Discarded in Open Field,,No,,yes,Yes,Between 200-500 meters,12mm,1,1,"[""Cement""]",No,Yes,No,,Irregular,Monthly
1643,2019-02-26 05:09:04,Water,Public Taps/ Public Stand Pod,nong tayeng,Government,In Use,East Siang,Mebo,Mebo,28.17163,95.41251,Pending,https://smartvillage.imagetrekk.com/storage/images/lxGljaTLnvUzGh0lYJzoFjndE7eMzykcMde38LfY.jpeg?asset_id=1643,no proper drainage system,Kacha Road,4G Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""Financial Support""]",1,0,Discarded in Open Field,,No,,yes,No,Between 200-500 meters,12mm,1,1,"[""Cement""]",No,Yes,No,,Irregular,Monthly
1645,2019-02-26 05:14:33,Water,Public Taps/ Public Stand Pod,nong tayeng,Government,In Use,East Siang,Mebo,Mebo,28.17221,95.4119,Approved,https://smartvillage.imagetrekk.com/storage/images/5TPvQBe3iVJLshsIhMH6wzuY0C56SBjW5PK3LlSS.jpeg?asset_id=1645,need proper drainage system,Kacha Road,4G Reliable,"[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""Technical Support""]",1,0,Discarded in Open Field,,No,,yes,No,Between 200-500 meters,12mm,1,1,"[""Cement""]",No,Yes,No,,Irregular,Monthly
1650,2019-02-26 05:29:28,Water,Public Taps/ Public Stand Pod,nong tayeng,Government,In Use,East Siang,Mebo,Mebo,28.17103,95.41108,Approved,https://smartvillage.imagetrekk.com/storage/images/xS9zWEyRrEiUCjOIrKYBIQNhNHnuPuwLiYkeB06t.jpeg?asset_id=1650,need proper septic tank,Kacha Road,4G Reliable,"[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""None""]",1,0,Others,discard through drainage system,No,,yes,Yes,Between 200-500 meters,12mm,1,1,"[""Cement""]",Yes,Yes,No,,Irregular,Monthly
1655,2019-02-26 05:37:25,Water,Public Taps/ Public Stand Pod,nong tayeng,Government,In Use,East Siang,Mebo,Mebo,28.17221,95.4119,Approved,https://smartvillage.imagetrekk.com/storage/images/Uxw06TvfuHXAOyU2Eezk9AH7HEQxynnVVmlE8HxZ.jpeg?asset_id=1655,need proper drainage system,Kacha Road,4G Reliable,"[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""Technical Support""]",1,0,Discarded in Open Field,,No,,yes,No,Between 200-500 meters,12mm,1,1,"[""Cement""]",No,Yes,No,,Irregular,Monthly
1656,2019-02-26 05:47:59,Water,Public Taps/ Public Stand Pod,nong tayeng,Government,In Use,East Siang,Mebo,Mebo,28.17315,95.40498,Approved,https://smartvillage.imagetrekk.com/storage/images/F7spjOYVAifcvPe7SrrdYqNzIc0QdisXItdsWUN6.jpeg?asset_id=1656,need proper drainage system,Kacha Road,4G Reliable,"[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","[""Airtel"",""Jio"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 0:00,"[""Technical Support""]",1,0,Discarded in Open Field,,No,,yes,Yes,Above 500 meters,12mm,1,1,"[""Cement""]",Yes,Yes,No,,Monthly,Monthly
1679,2019-02-26 13:55:44,Water,Public Taps/ Public Stand Pod,panwang wangsa,Government,In Use,Tirap,Khonsa,Kaimoi,27.03757,95.49888,Approved,https://smartvillage.imagetrekk.com/storage/images/9yChRdO7d212xZlGBoyWocBm6tu1L8HD6UIisKEn.jpeg?asset_id=1679,water tap at Kaimai 11,Footway,4G Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",1.00-2.00,"[""None""]",10,0,Discarded in Open Field,,No,,yes,Yes,Between 200-500 meters,12mm,1,2,"[""Cement""]",No,No,No,,Never,Never
1720,2019-02-27 05:12:32,Water,Public Taps/ Public Stand Pod,makba nasi,Government,In Use,Tirap,Khonsa,Kheti,26.97055,95.50475,Approved,https://smartvillage.imagetrekk.com/storage/images/HIQi9OPGISictdLHdgwBBej5TPFiS89Gh65gdZ9Z.jpeg?asset_id=1720,Water tap1,Pakka Road,4G Reliable,"[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",7:00am to 18:00pm,"[""Financial Support""]",5,0,Discarded in Open Field,,No,,yes,No,Below 200 meters,12mm,1,5,"[""Cement""]",Yes,Yes,No,,Monthly,Irregular
1753,2019-02-27 08:00:42,Water,Public Taps/ Public Stand Pod,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.88415,95.31452,Approved,https://smartvillage.imagetrekk.com/storage/images/BxBErGYcQ6ECLiclul0kSH2cLEdRiEl1noMsub92.jpeg?asset_id=1753,Public Taps Of Oyan Charali.,Pakka Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:00 to 24:00,"[""Financial Support""]",1,0,Discarded in Open Field,,Yes,2,yes,Yes,Below 200 meters,12mm,1,30,"[""Cement""]",No,Yes,No,,Monthly,Monthly
1774,2019-02-28 02:29:36,Water,Public Taps/ Public Stand Pod,hungo tesia,Government,In Use,Tirap,Khonsa,Lapnan,26.99203,95.483,Approved,https://smartvillage.imagetrekk.com/storage/images/qjFcmIlt1Ort12YiRWeZdTBIXyq4mM1NMnhcGdix.jpeg?asset_id=1774,Need repair,Kacha Road,3G Unreliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",6.00am to 19.00pm,"[""None""]",2,2,Discarded in Open Field,,No,,yes,Yes,Above 500 meters,12mm,1,2,"[""Others""]",No,No,No,,Never,Never
1777,2019-02-28 02:30:27,Water,Public Taps/ Public Stand Pod,hungo tesia,Government,In Use,Tirap,Khonsa,Lapnan,26.99347,95.48341,Approved,https://smartvillage.imagetrekk.com/storage/images/I4LtHzrdOaoI3QKnqo1KnbDvX0wUNDxFiLSJoazs.jpeg?asset_id=1777,water tap,Kacha Road,3G Unreliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",6.00am to 19:00pm,"[""None""]",2,2,Discarded in Open Field,,No,,yes,Yes,Above 500 meters,12mm,1,2,"[""Others""]",Yes,Yes,No,,Never,Never
1788,2019-02-28 06:55:53,Water,Public Taps/ Public Stand Pod,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87863,95.31268,Approved,https://smartvillage.imagetrekk.com/storage/images/pSSZnO3U3sM0fUIlGNHjwRleAHVpVvLI8ZFT4NeK.jpeg?asset_id=1788,public taps of oyan - 1,Kacha Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:00 to 24:00,"[""None""]",3,0,Discarded in Open Field,,Yes,1,yes,Yes,Below 200 meters,12mm,1,30,"[""Cement""]",No,Yes,No,,Monthly,Monthly
