id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from this asset to avail public transport facility? (in K.M),What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the working days of that asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where do you get drinking water from for using at this asset?,How much do you pay per litre of bottled water?,Are there toilets available for public and employees usage at this asset?,Are there toilets available seperately as per gender at this asset?,Is there running water available in the toilets at this asset?,Is there soap for handwash available next to the sink?,How do you deal with the waste generated from that asset?,What are the other mechanism used to discard the waste from this asset?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this asset?,How many hours per day are you facing power cuts at this asset?,What is the alternative energy source available for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,Is there landline connectivity for that asset?,What is the number with STD Code?,Does this asset have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for operations for this asset?,What is the other recording mechanism?,Are you using digital tools for your operations for this asset?,For what purpose are you using digital tools here at this asset?,How many accounts have been registered with your bank branch in total?,How many people from the village(Selected Smart Village) have an account in your bank branch?,What percentage of the accounts registered from the selected village are dormant? (No deposit or withdrawal in the last 12 months),How many bank mitras has your bank employed for the selected village at the moment?,How many transactions does the bank mitra in the selected village conduct on an average month ?,How many ATMs does the bank have within the district?,What percentage of people availing your bank services in the selected village conduct digital transactions?,What is the monthly footfall in an average ATM?,How often is the ATM replenished with cash in a week?,How many times is cash missing per ATM on average per week?,Which of the following facilities does the bank have?
2614,2019-03-25 05:45:34,Finance,Bank,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.35948,92.24099,Approved,https://smartvillage.imagetrekk.com/storage/images/KTaE941JFt7EjZDMMBeNZ4SHs4jfqzoKhBhtzA0s.jpeg?asset_id=2614,SBI drg,1,Pakka Road,5,4G Unreliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Security Guard""]",9:0 to 3:0,"[""Monday "",""Tuesday"",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",1,6,Tap Water from Government,,Yes,No,Yes,Yes,Discarded in Govt. designated sites,,Yes,6,Yes,1,Others,2,2,2,2,2,2,No,,Yes,2,Digital Records- Using Computer/Mobile,,Yes,"[""Book Keeping"",""Accounts""]",5000,400,5,0,0,4,3,35000,6,1,Attached ATMs
2821,2019-04-18 07:47:30,Finance,Bank,joram temin,Government,In Use,Lower Subansiri,Yachuli,Toon,27.46285,93.76624,Approved,https://smartvillage.imagetrekk.com/storage/images/ZlSBya2yIP1PuGnF9644qfh7ld1CEZxaZIonY5S6.jpeg?asset_id=2821,bank,10,Pakka Road with Block Point,0,3G Reliable,"[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Security Cameras"",""Security Guard"",""Compound Wall\/ Fencing""]",10:0 to 17:0,"[""Monday "",""Tuesday"",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",1,4,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,1,Yes,3,Diesel generator,3,3,3,3,3,3,No,,No,,Digital Records-Online,,Yes,"[""Accounts"",""Specific Business Purpose""]",4150,27,25,0,0,0,90,0,0,0,Display of information regarding banking facilities
3023,2019-04-26 05:30:21,Finance,Bank,tsering palden yamchodu,Government,In Use,West Kameng,Nafra,Lower Dzang,27.3725,92.54389,Approved,https://smartvillage.imagetrekk.com/storage/images/jmqPQKb0au9m7myzS0j5o22da3HXQT8vOGxJYQ3C.jpeg?asset_id=3023,1.1 km ahead,8,Pakka Road,1.1,4G Unreliable,"[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Security Cameras"",""Security Guard""]",9:0 to 4:0,"[""Monday "",""Tuesday"",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",4,3,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,6,Yes,2,Invertor,2,2,2,2,2,2,No,,Yes,0.7,Digital Records-Online,,Yes,"[""Book Keeping"",""Accounts"",""Communication"",""Specific Business Purpose"",""Others""]",2200,120,12,0,0,15,32,4500,1,0,Display of information regarding banking facilities
6634,2019-05-28 07:09:16,Finance,Bank,nong tayeng,Government,In Use,East Siang,Mebo,Mebo,28.16762,95.42206,Pending,https://smartvillage.imagetrekk.com/storage/images/U8HJ7f7I2bY69tmtTmFJ7FGFsq9dEj9mUj8UQBFG.jpeg?asset_id=6634,"collected correct information from shri annu sinha, cashier mebo rural bank",1,Pakka Road,1,4G Unreliable,"[""Airtel "",""Jio "",""BSNL ""]","[""Airtel "",""Jio "",""BSNL ""]","[""Airtel "",""Jio "",""BSNL ""]","[""Airtel "",""Jio "",""BSNL ""]","[""Airtel "",""Jio "",""BSNL ""]","[""Airtel "",""Jio "",""BSNL ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Security Guard""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",5,3,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,7,No,,Invertor,3,3,3,3,3,3,No,,Yes,1,Digital Records- Using Computer/Mobile,,Yes,"[""Accounts""]",5000,500,0,0,0,0,0,0,0,0,Others
1401,2019-02-22 08:33:44,Finance,Bank,ainai mize,Private,In Use,East Siang,Oyan,Oyan Village,27.88493,95.3155,Approved,https://smartvillage.imagetrekk.com/storage/images/k0Obf2YmchzBlPcEto00AjuZspGDBAq7B4kqZCeA.jpeg?asset_id=1401,State Bank Of India Oyan Charali.,1,Pakka Road,1,4G Reliabke,"[""Vodafone "",""BSNL "",""Jio "",""Airtel ""]","[""Vodafone "",""BSNL "",""Jio "",""Airtel ""]","[""Vodafone "",""BSNL "",""Jio "",""Airtel ""]","[""Vodafone "",""BSNL "",""Jio "",""Airtel ""]","[""Vodafone "",""BSNL "",""Jio "",""Airtel ""]","[""Vodafone "",""BSNL "",""Jio "",""Airtel ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Security Cameras""]",9:00am- 2:00pm,"[""Monday "",""Tuesday"",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",2,0,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,3,Yes,4,Invertor,6,6,6,6,6,6,No,,Yes,500,Digital Records- Using Computer/Mobile,,Yes,"[""Accounts""]",5000,1000,80,2,20,0,1,5,0,0,Display of information regarding banking facilities
1758,2019-02-27 08:14:03,Finance,Bank,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.88312,95.31464,Approved,https://smartvillage.imagetrekk.com/storage/images/MLPNSciv9LZm2FQCH1Hjb6AWSkptjp1CTuQ73zy6.jpeg?asset_id=1758,Rural Bank Of Oyan Village.,2,Pakka Road,0,4G Reliabke,"[""Vodafone "",""Airtel "",""Jio "",""BSNL ""]","[""Vodafone "",""Airtel "",""Jio "",""BSNL ""]","[""Vodafone "",""Airtel "",""Jio "",""BSNL ""]","[""Vodafone "",""Airtel "",""Jio "",""BSNL ""]","[""Vodafone "",""Airtel "",""Jio "",""BSNL ""]","[""Vodafone "",""Airtel "",""Jio "",""BSNL ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Security Cameras""]",9:00Am-4:00PM,"[""Monday "",""Tuesday"",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",3,0,Tap Water from Government,,Yes,Yes,Yes,Yes,Discarded in Govt. designated sites,,Yes,2,Yes,3,Diesel generator,3,3,3,3,3,3,No,,No,,Digital Records- Using Computer/Mobile,,Yes,"[""Specific Business Purpose""]",5000,0,20,0,0,0,10,0,0,0,Display of information regarding banking facilities
