id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the Shop?,How much distance should one travel from this Shop to avail public transport facility? (in K.M),What is the type of the mobile network available at the Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What is the type of structure of this Shop?,What are the working hours of this Shop?(Ex: 9.00A.M-5.A.M),What are the working days of that Shop?,How many people are working in the Shop?,Where do you get drinking water from for using at this Shop?,How much do you pay per litre of bottled water? (In Rupees),Are there toilets available for public usage at this Shop?,Are there toilets available seperately as per gender at this Shop?,Is there running water available in the toilets at this asset?,Is there soap for handwash available next to the sink?,How do you deal with the waste generated from that Shop?,What are the other mechanism used to discard the waste from this Shop?,Are the premises of this Shop cleaned with disinfectant regularly?,How frequently are the premises at this Shop cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this Shop?,How many hours per day are you facing power cuts at this Shop?,What is the alternative energy source available for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,Is there landline connectivity for that Shop?,What is the number with STD Code,Does this Shop have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for this Shop?,What are other type of book keeping methods used in the Shop?,What are the areas the Shop gets support from government agencies?,Do you get any support from NGO(s) for this Shop?,From what Organization(s) did you get support?,Are you aware of digital technologies that can be used in the Shop?,For what purpose are you using digital tools here at this Shop?,Do you have a POS device in your shop?,Does the POS device function smoothly?,From where the goods are brought to the shop?,What other types of services are provided?,How are the goods transported to the shop?
2715,2019-03-30 09:26:46,Food & Civil Supplies,Shops,tashi drema,Private,In Use,Tawang,Mukto,Mukto,27.54596,91.91053,Approved,https://smartvillage.imagetrekk.com/storage/images/KJp4JhOlM73XTwlunGNOawDmzdB6kQx7scXB0Mgq.jpeg?asset_id=2715,...,1,Pakka Road,0.003,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,Yes,No,Yes,No,Discarded in Open Field,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,nothing,"[""Rental Vehicle""]"
2716,2019-03-30 09:26:50,Food & Civil Supplies,Shops,tashi drema,Private,In Use,Tawang,Mukto,Mukto,27.54644,91.90967,Approved,https://smartvillage.imagetrekk.com/storage/images/rGvyO8Fkrzt8VMFviEsPVZGTdr4n01edlevZhMFw.jpeg?asset_id=2716,...,1,Pakka Road,0.008,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 20:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",2,Tap Water from Government,,Yes,No,Yes,No,Discarded in Open Field,,No,,Yes,2,Others,6,6,6,6,6,6,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,nothing,"[""Private Car""]"
2718,2019-03-30 09:26:54,Food & Civil Supplies,Shops,tashi drema,Private,In Use,Tawang,Mukto,Mukto,27.54627,91.90939,Approved,https://smartvillage.imagetrekk.com/storage/images/Fqj1GGHx8C8P7niUg3Br9sGCWaoIMNF38nSvPdTq.jpeg?asset_id=2718,...,1,Pakka Road,0.02,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",2,Tap Water from Government,,No,,,,Discarded in Open Field,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,nothing,"[""Rental Vehicle""]"
2720,2019-03-30 09:27:04,Food & Civil Supplies,Shops,tashi drema,Private,In Use,Tawang,Mukto,Mukto,27.54665,91.92545,Rejected,https://smartvillage.imagetrekk.com/storage/images/QWXwXR0tcexRMu6ixn3WFVgBhodcIlAFRlIFleLd.jpeg?asset_id=2720,...,1,Pakka Road,0.01,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 7:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",2,Tap Water from Government,,No,,,,Discarded in Open Field,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,nothing,"[""Rental Vehicle""]"
2761,2019-04-01 12:17:37,Food & Civil Supplies,Shops,tsering palden yamchodu,Private,In Use,West Kameng,Nafra,Lower Dzang,27.37095,92.5362,Approved,https://smartvillage.imagetrekk.com/storage/images/rh1f7VO5dL3jrQKU2WNBppbvF8WNED4bRrr21u8F.jpeg?asset_id=2761,inside village,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",8:0 to 21:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Other Shop,tea,"[""Load Carriage"",""Rental Vehicle"",""Bike"",""Private Car"",""Others""]"
2762,2019-04-01 12:17:43,Food & Civil Supplies,Shops,tsering palden yamchodu,Private,In Use,West Kameng,Nafra,Lower Dzang,27.37104,92.53571,Approved,https://smartvillage.imagetrekk.com/storage/images/Q0HqSIs9w4LeCCafDkRPuGqdLZLuwweCHWErhlTS.jpeg?asset_id=2762,inside village,5,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",9:0 to 21:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,None,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,none,"[""Load Carriage"",""Rental Vehicle"",""Bike"",""Private Car"",""Others""]"
2763,2019-04-01 12:17:48,Food & Civil Supplies,Shops,tsering palden yamchodu,Private,In Use,West Kameng,Nafra,Lower Dzang,27.37113,92.53612,Approved,https://smartvillage.imagetrekk.com/storage/images/6nkAPSLndrZ4Xvgj51GhWhRU8Zum9pRwD28lBiVf.jpeg?asset_id=2763,inside village,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",8:0 to 20:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Other Shop,none,"[""Load Carriage"",""Rental Vehicle"",""Bike"",""Private Car"",""Others""]"
2764,2019-04-01 12:17:54,Food & Civil Supplies,Shops,tsering palden yamchodu,Private,In Use,West Kameng,Nafra,Lower Dzang,27.37234,92.53404,Approved,https://smartvillage.imagetrekk.com/storage/images/kJR2cUMFfDRgjRpc4CWHjRw13BreBeAVZ84q1IWY.jpeg?asset_id=2764,inside village,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 20:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,2,2,2,2,2,2,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,none,"[""Load Carriage"",""Rental Vehicle"",""Bike"",""Private Car"",""Others""]"
2765,2019-04-01 12:17:59,Food & Civil Supplies,Shops,tsering palden yamchodu,Private,In Use,West Kameng,Nafra,Lower Dzang,27.37305,92.53266,Approved,https://smartvillage.imagetrekk.com/storage/images/hiEWBiApiPdjxgnJtOXGymRvy9uMBzFRlkEMyNNg.jpeg?asset_id=2765,roadside,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",8:0 to 20:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,None,,No,,Yes,2,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Other Shop,none,"[""Load Carriage"",""Rental Vehicle"",""Bike"",""Private Car"",""Others""]"
2766,2019-04-01 12:18:04,Food & Civil Supplies,Shops,tsering palden yamchodu,Private,In Use,West Kameng,Nafra,Lower Dzang,27.37302,92.53252,Approved,https://smartvillage.imagetrekk.com/storage/images/OEGk90kojMwHFCkyi9Fb6HZwETHPDeeFcsn9CEuT.jpeg?asset_id=2766,roadside,2,Pakka Road,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",7:0 to 21:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,"tea, petrol","[""Load Carriage"",""Rental Vehicle"",""Bike"",""Private Car"",""Others""]"
2767,2019-04-01 12:18:12,Food & Civil Supplies,Shops,tsering palden yamchodu,Government,In Use,West Kameng,Nafra,Lower Dzang,27.37306,92.53247,Approved,https://smartvillage.imagetrekk.com/storage/images/cg5mqwPfSbuUlwhTgFfSvXviGBrHE3kTTZrzYum5.jpeg?asset_id=2767,roadside,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",8:0 to 20:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Other Shop,none,"[""Load Carriage"",""Rental Vehicle"",""Bike"",""Private Car"",""Others""]"
2768,2019-04-01 12:18:18,Food & Civil Supplies,Shops,tsering palden yamchodu,Government,In Use,West Kameng,Nafra,Lower Dzang,27.37282,92.53205,Approved,https://smartvillage.imagetrekk.com/storage/images/X7zJ0863bps664zBwp0ByQWbnDIC0OcyxGtdaz3q.jpeg?asset_id=2768,roadside towards Nafra,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",8:0 to 20:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Other Shop,none,"[""Load Carriage"",""Rental Vehicle"",""Bike"",""Private Car"",""Others""]"
2769,2019-04-01 12:18:24,Food & Civil Supplies,Shops,tsering palden yamchodu,Government,In Use,West Kameng,Nafra,Lower Dzang,27.37293,92.53209,Pending,https://smartvillage.imagetrekk.com/storage/images/oXHztSOU7ZkxZ59kUzwkTTrUtEDADkAykCSAd9ob.jpeg?asset_id=2769,roadside towards nafra,2,Pakka Road,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",7:0 to 22:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,none,"[""Load Carriage"",""Rental Vehicle"",""Bike"",""Private Car""]"
2770,2019-04-01 12:18:31,Food & Civil Supplies,Shops,tsering palden yamchodu,Private,In Use,West Kameng,Nafra,Lower Dzang,27.37292,92.53225,Approved,https://smartvillage.imagetrekk.com/storage/images/xbPa02q3dsZUmo5PksHVCNtAMFKpEQxFWSN9TVVP.jpeg?asset_id=2770,road side towards nafra,5,Pakka Road,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",8:30 to 21:0,"[""Monday"",""Wednesday"",""Tuesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Other Shop,none,"[""Load Carriage"",""Rental Vehicle"",""Bike"",""Private Car""]"
2771,2019-04-01 12:18:37,Food & Civil Supplies,Shops,tsering palden yamchodu,Private,In Use,West Kameng,Nafra,Lower Dzang,27.37295,92.5321,Approved,https://smartvillage.imagetrekk.com/storage/images/hFIIrgYb2wyBrNRu9JTHUro8TgfXoHRGM0b1uliu.jpeg?asset_id=2771,road side towards nafra,5,Pakka Road,0,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",7:0 to 21:30,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,none,"[""Load Carriage"",""Private Car"",""Bike""]"
2924,2019-04-25 06:49:54,Food & Civil Supplies,Shops,tendel zangmu wangja,Private,In Use,West Kameng,Shergaon,Shergaon,27.12232,92.25351,Approved,https://smartvillage.imagetrekk.com/storage/images/PoNwtPoNDctIP3JkeyHqwnqtVON1KTA2hIhBfsdF.jpeg?asset_id=2924,shop,1,Pakka Road,24,4G Unreliable,"[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",8:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,3,No,,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Whole Seller,meat and fish shop,"[""Load Carriage""]"
2925,2019-04-25 06:53:30,Food & Civil Supplies,Shops,tendel zangmu wangja,Private,In Use,West Kameng,Shergaon,Shergaon,27.12252,92.25347,Approved,https://smartvillage.imagetrekk.com/storage/images/66WlZVINyiailhXGcizlqvUs8mwGxTqbmOmF5DMX.jpeg?asset_id=2925,shop,1,Pakka Road,24,4G Unreliable,"[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",9:0 to 7:0,"[""Monday"",""Tuesday"",""Wednesday"",""Friday"",""Thusday"",""Saturday""]",1,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,3,Yes,4,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Whole Seller,grocery shop,"[""Rental Vehicle""]"
2955,2019-04-25 08:00:04,Food & Civil Supplies,Shops,tendel zangmu wangja,Private,In Use,West Kameng,Shergaon,Shergaon,27.11773,92.24685,Approved,https://smartvillage.imagetrekk.com/storage/images/KG11SmTPcRDDlnEmH6Pab1OVmwsONXcq0GNjvn16.jpeg?asset_id=2955,Fast food available,2,Pakka Road,24,4G Unreliable,"[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 7:0,"[""Monday"",""Tuesday"",""Friday"",""Saturday"",""Wednesday"",""Thusday""]",2,Tap Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,2,Yes,4,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Whole Seller,fast food,"[""Rental Vehicle""]"
2956,2019-04-25 08:00:26,Food & Civil Supplies,Shops,tendel zangmu wangja,Government,In Use,West Kameng,Shergaon,Shergaon,27.11767,92.24695,Approved,https://smartvillage.imagetrekk.com/storage/images/mVsF1pqLIUtRmRs8XJnFdpDmIcethuq0xLah8eNy.jpeg?asset_id=2956,shop,2,Pakka Road,24,4G Unreliable,"[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",7:0 to 19:0,"[""Monday"",""Thusday"",""Friday"",""Saturday"",""Tuesday"",""Wednesday""]",6,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,3,Yes,4,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Other Shop,fast food,"[""Rental Vehicle""]"
3018,2019-04-25 18:11:31,Food & Civil Supplies,Shops,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.88677,93.77905,Approved,https://smartvillage.imagetrekk.com/storage/images/OucgyKwcUC3Mtgy1cGZtLxqsJESlJPgnH4HBsUge.jpeg?asset_id=3018,ready garments,6,Pakka Road,0.1,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",9:0 to 4:30,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday""]",1,Tap Water from Government,,No,,,,Discarded in Open Field,,Yes,4,No,,Invertor,1,1,1,1,1,1,No,,No,,None,,"[""None""]",No,,No,,No,,Whole Seller,no other service,"[""Rental Vehicle""]"
3153,2019-05-02 03:34:59,Food & Civil Supplies,Shops,dobum raju,Private,In Use,Papumpare,Doimukh,Lekha,27.16227,93.77056,Approved,https://smartvillage.imagetrekk.com/storage/images/q8exiYnsZsMkLsQtwuFv2MsurQTrnSTt92zfqApd.jpeg?asset_id=3153,good,3,Kacha Road,4,4G+ Reliable,"[""Vodafone"",""Idea"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Idea"",""Airtel"",""BSNL"",""Jio""]","Kacha/Temporary(Wood,Bamboo,etc.,)",7:0 to 20:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,1,Others,1,1,1,1,1,1,No,,No,,None,,"[""None""]",No,,No,,No,,Whole Seller,non,"[""Private Car"",""Rental Vehicle""]"
3224,2019-05-02 12:16:19,Food & Civil Supplies,Shops,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.53716,91.71985,Approved,https://smartvillage.imagetrekk.com/storage/images/AYt4zTbt0FFZxK2c4mXmTXevv5HcETm0id8OUnlm.jpeg?asset_id=3224,shops,8,Pakka Road,0.5,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 6:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,4,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,nil,"[""Rental Vehicle""]"
3225,2019-05-02 12:19:07,Food & Civil Supplies,Shops,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.53741,91.71971,Rejected,https://smartvillage.imagetrekk.com/storage/images/RoWuxZZr2UquRO6c4smAYDuHBuMlU9amSXHpkfMs.jpeg?asset_id=3225,shop,5,Pakka Road,0.5,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 6:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,4,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,"printing,","[""Rental Vehicle""]"
3261,2019-05-04 02:01:15,Food & Civil Supplies,Shops,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.58372,93.84422,Approved,https://smartvillage.imagetrekk.com/storage/images/AjJ33ZHbAAQa6hxRWT84O2hgrakN3CwtIymQBQPY.jpeg?asset_id=3261,small shop,10,Pakka Road,0,2G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 22:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",2,Tap Water from Government,,No,,,,Discarded in Open Field,,No,,Yes,2,Others,1,1,1,1,1,1,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,none,"[""Load Carriage""]"
