id	created at (UTC)	category	sub-category	user	type	status	district	circle	village	latitude	longitude	confirmation	Image link	remarks	How many times did you go there until it was open?	What is the type of the road available to the asset?	How much distance should one travel to avail public transport facility? (in K.M)	What is the type of the mobile network available at the asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What is the type of structure of this asset?	What is the type of security available for the asset?	What are the working hours of the facility?(Ex: 9.00A.M-5:00P.M)	What are the working days of the facility?	How many teachers are employed in the facility?	How many support staff are employed in the facility?	Where do you get drinking water from?	How much do you pay per litre of bottled water? (In Rupees)	Are there toilets available for public usage?	Are there toilets available separately as per gender?	Is there running water available in the toilets at this asset?	Is there soap for handwash available at this asset?	How do you deal with the waste generated from the facility?	What are the other mechanism used to discard the waste?	Are the premises cleaned with disinfectant regularly?	How frequently are the premises cleaned with disinfectant in a week?	Do you have grid connection for energy supply?	How many hours per day are you facing power cuts?	What is the alternative energy source available in the facility?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	Do you have landline connectivity	What is the number with STD Code	Do you have wired internet connection?	How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS)	How do you maintain records for operations?	What are the other modes of record keeping?	What are the areas you get support from government agencies for the facility?	What are the areas you get support from government agencies for your students?	Where do you gets textbooks for the children?	What is the total campus area?	Where do you get the curriculum for classes and educational programs?	Are you using digital tools for teaching?	For what purpose are you using these?	Are there checkups or medical facilities available?	What is the frequency of these checkups?	Are there any meals served?	Is the nutritional value monitored?	Is there presence of any recreational/playing material for the kids?	What kind of residential facilities are available?	How many classrooms are there in the institute ?	How many people are enrolled or are students at this asset?	Apart from academics what are the co-curricular activities available for students ?	What is the percentage of drop-outs?	What is the reason for dropouts?	What is the reason for dropouts?	What is the reason for dropouts?	What is the reason for dropouts?	Are there any disaster management courses or drills practice at the institute?	To how many women is this institution providing services?	How many buses go to this asset?	Do the centers get timely supplies of the government goods?	What is the source of the supplies?	For what all materials the government is providing fund ?
2757	2019-03-31 09:32:21	Education	Anganwadi Building	tashi drema	Government	In Use	Tawang	Mukto	Mukto	27.54694	91.90682	Approved	https://smartvillage.imagetrekk.com/storage/images/wSSmzrDPWyqdGcaA3BZhWdbFWbKkVRVtWNYdDi4E.jpeg?asset_id=2757	...	0	Footway	0.6	4G Unreliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	9:0 to 3:0	"[""Monday ""]"	2	4	Tap Water from Government		Yes	No	Yes	No	Discarded in Open Field Burnt within the premises		No		No		None							No		No		Traditional Book		"[""None ""]"	"[""None""]"	None	150	Self-created Others	No		No		Yes	No	No	None	1	20	"[""Others ""]"	10-20%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	0-5	0	Yes	"[""Government ""]"	"[""Food""]"
3130	2019-04-30 12:09:56	Education	Anganwadi Building	hibu yagam	Government	In Use	Papumpare	Doimukh	Chiputa	27.18097	93.77671	Approved	https://smartvillage.imagetrekk.com/storage/images/0lcRGRhe0d9AKl5MlcJxCP7kRq0NV8jnNzTdCJxU.jpeg?asset_id=3130	anganwadi chiputa charbsi	1	Kacha Road	1	4G+ Reliable	"[""Vodafone"",""Airtel"",""Jio""]"	"[""Vodafone"",""Airtel"",""Jio""]"	"[""Vodafone"",""Airtel"",""Jio""]"	"[""Vodafone"",""Airtel"",""Jio""]"	"[""Vodafone"",""Airtel"",""Jio""]"	"[""Vodafone"",""Airtel"",""Jio""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	7:0 to 8:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	2	Bottled Water	20	Yes	No	Yes	Yes	Discarded in Open Field Burnt within the premises		Yes	1	Yes	1	None							No		No		Traditional Book		"[""Financial Support ""]"	"[""None""]"	Government Agency	500	Government Agency	No		No		Yes	Yes	Yes	None	1	20	"["" Dance "",""Others ""]"	0-10%	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	No	0-5	0	Yes	"[""NGOS "",""Government ""]"	"[""Food"",""Books "",""Other""]"
3179	2019-05-02 08:16:10	Education	Anganwadi Building	kejang pema	Government	In Use	West Kameng	Dirang	Dirang	27.33723	92.27052	Approved	https://smartvillage.imagetrekk.com/storage/images/mkNDKul0go3KDKIcbQo52BE3HbECNTeAYcBUbuZC.jpeg?asset_id=3179	anganwadi school	0	Pakka Road	0.3	4G Unreliable	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	9:0 to 12:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday ""]"	3	6	Tap Water from Government		No				Discarded in Water Bodies		No		No		None							No		No		Traditional Book		"[""Technical Support""]"	"[""Technical Support ""]"	None	150	Government Agency	No		No		Yes	Yes	No	None	2	20	"[""Others ""]"	20-40%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	0-5	0	Yes	"[""Government ""]"	"[""Other""]"
3222	2019-05-02 11:59:40	Education	Anganwadi Building	tenjin yeshii	Government	In Use	Tawang	Lumla	Manpat	27.53369	91.71893	Approved	https://smartvillage.imagetrekk.com/storage/images/xK7ptiZc3aqosls07jCXVdnfk2ekQlz12yhSzu7l.jpeg?asset_id=3222	Anganwadi Building	1	Pakka Road	0.6	4G Unreliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	9:0 to 1:0	"[""Monday "",""Wednesday ""]"	1	3	Tap Water from Government		No				Discarded in Open Field Burnt within the premises		Yes	4	No		None							No		No		Traditional Book		"[""None ""]"	"[""Others ""]"	Government Agency	250	Self-created Others	No		No		Yes	Yes	No	Off-site Residential Areas	1	4	"[""Sports"","" Dance ""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	0-5	0	Yes	"[""Government ""]"	"[""Food"",""Books ""]"
3270	2019-05-05 02:17:11	Education	Anganwadi Building	nending tasser	Government	In Use	Lower Subansiri	Ziro	Hari	27.58422	93.84496	Approved	https://smartvillage.imagetrekk.com/storage/images/G7j1JVoiIeCo8h3E0DcZSOZRwqOZ39kmqLT2Lkvq.jpeg?asset_id=3270	Anganwadi in use	1	Kacha Road	3	2G Unreliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	9:0 to 12:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Others		No				Discarded in Open Field Burnt within the premises		No		No		None							No		No		Traditional Book		"[""Others ""]"	"[""Others ""]"	Government Agency	10	Government Agency	No		Yes	Not fixed	Yes	No	Yes	Dormitories	1	19	"[""Others ""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	0-5	1	Yes	"[""Government ""]"	"[""Food"",""Books ""]"
3312	2019-05-05 04:39:20	Education	Anganwadi Building	nending tasser	Government	In Use	Lower Subansiri	Ziro	Hari	27.58448	93.84591	Approved	https://smartvillage.imagetrekk.com/storage/images/uDKrv483A61zJMXCMLX9frmigAGU4qXL5hxa6cis.jpeg?asset_id=3312	Lamber	1	Kacha Road	3	2G Unreliable	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	9:0 to 12:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Others		No				Discarded in Open Field Burnt within the premises		Yes	7	No		None							No		No		Traditional Book		"[""Others ""]"	"[""Others ""]"	Government Agency	12	Government Agency	No		Yes	Not fixed	Yes	Yes	Yes	Off-site Residential Areas	1	14	"["" Dance "",""Sports""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	0-5	0	No		"[""Food"","" Uniform "","" Travel "",""Books ""]"
3507	2019-05-06 07:36:36	Education	Anganwadi Building	bullo tatung	Government	Not in Use	Lower Subansiri	Ziro	Hija	27.61356	93.85948	Approved	https://smartvillage.imagetrekk.com/storage/images/0vMFOMxkhnwPp31jAlS6KvxxAcAV0XRnisZmDaZQ.jpeg?asset_id=3507	nada anganwadi center	1	Kacha Road	1.6	2G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	7:0 to 9:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday ""]"	2	1	Tap Water from Government		No				Discarded in Open Field Burnt within the premises		Yes	5	No		None							No		No		Traditional Book		"[""None ""]"	"[""None""]"	Supplier in other states	40	Self-created Others	No		No		Yes	Yes	No	Off-site Residential Areas	1	2	"[""Others ""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	0-5	0	No		"[""Books ""]"
3524	2019-05-06 08:09:58	Education	Anganwadi Building	mr yomrak kato	Government	Repairable	West Siang	Kamba	Kambu	28.26	94.68079	Pending	https://smartvillage.imagetrekk.com/storage/images/w234rKNQwD5qxMxrgAM8H60CX6Gri1C7R74yCznc.jpeg?asset_id=3524	No proper water connection, no toilet bathroom	3	Kacha Road	2	3G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	1:30 to 0:0	"[""Saturday "",""Sunday ""]"	1	1	Tap Water from Government		No				Discarded in Open Field Burnt within the premises		No		No		None							No		No		Record is not maintained		"[""Financial Support ""]"	"[""Others ""]"	Government Agency	20	Government Agency	No		No		Yes	Yes	No	None	1	13	"["" Dance "",""Art "",""Sports""]"	0-10%	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	No	0-5	0	No		"[""Food""]"
3661	2019-05-07 08:12:19	Education	Anganwadi Building	kino tallo	Government	In Use	Papumpare	Sangdupota	Jote	27.04062	93.45762	Approved	https://smartvillage.imagetrekk.com/storage/images/9dgd9QY5ngyIz1vs16vQeh13Arxdla40yjtKrmWT.jpeg?asset_id=3661	jote-2 anganwadi centre	2	Kacha Road	1	2G Reliable	"[""BSNL""]"	"[""BSNL""]"	"[""BSNL""]"	"[""BSNL""]"	"[""BSNL""]"	"[""BSNL""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	7:0 to 11:0	"[""Monday "",""Tuesday "",""Wednesday "",""Friday "",""Thursday "",""Saturday ""]"	1	1	Others		No				Discarded in Open Field Burnt within the premises		No		No		None							No		No		Traditional Book		"[""None ""]"	"[""Financial Support "",""Technical Support "",""Others ""]"	Government Agency	24	Government Agency	No		No		No		No	None	1	21	"[""Others ""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	0-5	0	No		"[""Food""]"
3667	2019-05-07 09:07:33	Education	Anganwadi Building	kino tallo	Government	In Use	Papumpare	Sangdupota	Jote	27.03926	93.46919	Approved	https://smartvillage.imagetrekk.com/storage/images/cWC5rkLYFqSTLSnq29XAnrR8eYJNNj1srZqSQRuw.jpeg?asset_id=3667	jote1 anganwadi centre/tempory building without signed board	2	Kacha Road	1	3G Unreliable	"[""BSNL""]"	"[""BSNL""]"	"[""BSNL""]"	"[""BSNL""]"	"[""BSNL""]"	"[""BSNL""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""Compound Wall\/Fencing ""]"	8:0 to 11:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Others		No				None		No		No		None							No		No		Traditional Book		"[""None ""]"	"[""Others ""]"	Government Agency	16	Government Agency	No		No		No		No	None	1	27	"[""Others ""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	0-5	0	No		"[""Food""]"
3989	2019-05-09 08:30:06	Education	Anganwadi Building	kago yubbey	Government	In Use	Lower Subansiri	Ziro (Sadar)	Hong Niitii	27.55808	93.84963	Approved	https://smartvillage.imagetrekk.com/storage/images/cDa0LWNv7ArstdsRwXmS7WdeQbQCvx9pYqPCXTEt.jpeg?asset_id=3989	anganwadi centre	3	Footway	3	3G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	10:0 to 2:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday ""]"	4	2	Tap Water from Government		Yes	No	Yes	No	Discarded in Open Field Burnt within the premises		Yes	1	No		None							No		No		Traditional Book		"[""Financial Support ""]"	"[""Financial Support ""]"	Government Agency	20	Self-created Others	No		No		Yes	Yes	Yes	Off-site Residential Areas	1	7	"[""Others ""]"	0-10%	"[""Others"",""Lack of Awareness ""]"	"[""Others"",""Lack of Awareness ""]"	"[""Others"",""Lack of Awareness ""]"	"[""Others"",""Lack of Awareness ""]"	No	0-5	0	No		"[""Books "",""Food""]"
4137	2019-05-09 16:53:24	Education	Anganwadi Building	bullo tatung	Government	Not in Use	Lower Subansiri	Ziro	Hija	27.64187	93.92933	Approved	https://smartvillage.imagetrekk.com/storage/images/3pf3vdxxlHoq5LTX8YviV2qIcbB2uRBdM4txsLrN.jpeg?asset_id=4137	khanganii anganwadi center	1	Pakka Road	3	2G Reliable	"[""Vodafone"",""Airtel"",""BSNL""]"	"[""Vodafone"",""Airtel"",""BSNL""]"	"[""Vodafone"",""Airtel"",""BSNL""]"	"[""Vodafone"",""Airtel"",""BSNL""]"	"[""Vodafone"",""Airtel"",""BSNL""]"	"[""Vodafone"",""Airtel"",""BSNL""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	6:0 to 6:0	"[""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]"	0	0	Tap Water from Government		No				None		No		No		None							No		No		Traditional Book		"[""Others ""]"	"[""None""]"	None	40	Government Agency	No		No		No		No	None	1	1	"[""Others ""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	0-5	0	No		"[""Other""]"
4290	2019-05-10 04:38:07	Education	Anganwadi Building	nending tasser	Government	In Use	Lower Subansiri	Ziro	Hari	27.58369	93.84111	Approved	https://smartvillage.imagetrekk.com/storage/images/7l720TKegeDXuyfv2N8hNietgkysKEIFis13hEJZ.jpeg?asset_id=4290	hari -II	1	Kacha Road	1	2G Unreliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	9:0 to 1:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Tap Water from Government		Yes	Yes	Yes	Yes	Discarded in Open Field Burnt within the premises		Yes	6	No		None							No		No		Traditional Book		"[""Financial Support ""]"	"[""None""]"	Government Agency	10	Government Agency	No		Yes	Not fixed	Yes	Yes	Yes	Off-site Residential Areas	1	10	"[""Sports"","" Dance "",""Art ""]"	10-20%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	0-5	0	Yes	"[""Government ""]"	"[""Food"","" Uniform "",""Books "",""Other""]"
4508	2019-05-10 12:33:34	Education	Anganwadi Building	bullo tatung	Government	In Use	Lower Subansiri	Ziro	Hija	27.56756	93.86148	Approved	https://smartvillage.imagetrekk.com/storage/images/rbnIFgLli4T98SVy2NdbwkOo8Fsy9PuKaOUwF4bM.jpeg?asset_id=4508	upper hija anganbadi center	1	Pakka Road	2	2G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	9:0 to 0:0	"[""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]"	2	1	Tap Water from Government		No				Discarded in Open Field Burnt within the premises		Yes	5	No		None							No		No		Traditional Book		"[""None ""]"	"[""None""]"	None	50	Supplier in other states	No		No		No		No	None	1	5	"[""Others ""]"	0-10%	"[""Health issues ""]"	"[""Health issues ""]"	"[""Health issues ""]"	"[""Health issues ""]"	No	0-5	0	No		"[""Other""]"
4778	2019-05-11 17:17:39	Education	Anganwadi Building	bullo tatung	Government	In Use	Lower Subansiri	Ziro	Dutta	27.64717	93.88742	Approved	https://smartvillage.imagetrekk.com/storage/images/Dz7TrNfKbkd0PSyO8t5LsnAluTeMVXEWViGDR1a2.jpeg?asset_id=4778	ayo koj anganwadi center	1	Footway	1	2G Reliable	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	9:0 to 12:0	"[""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]"	2	1	Tap Water from Government		No				Discarded in Open Field Burnt within the premises		Yes	5	No		None							No		No		Traditional Book		"[""None ""]"	"[""None""]"	None	50	Supplier in other states	No		No		Yes	Yes	No	None	1	5	"[""Others ""]"	0-10%	"[""Health issues ""]"	"[""Health issues ""]"	"[""Health issues ""]"	"[""Health issues ""]"	No	0-5	0	No		"[""Other""]"
4840	2019-05-11 18:29:14	Education	Anganwadi Building	tage tajung	Government	In Use	Lower Subansiri	Ziro	Modang Tage	27.57608	93.83208	Approved	https://smartvillage.imagetrekk.com/storage/images/OxiveAqdGsjWYAM40qhS96tUEASxhzWrmLpOthkE.jpeg?asset_id=4840	The Anganwadi school for Tadu title clan	2	Pakka Road	5	3G Unreliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	9:0 to 1:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Tap Water from Government		Yes	No	No	No	Discarded in Open Field Burnt within the premises		Yes	6	Yes	2	Solar Unit	5	5	5	5	5	5	No		No		Traditional Book		"[""Financial Support ""]"	"[""Financial Support ""]"	Local Supplier	22	Government Agency	No		No		Yes	No	No	Dormitories	1	10	"[""Others ""]"	0-10%	"[""Health issues ""]"	"[""Health issues ""]"	"[""Health issues ""]"	"[""Health issues ""]"	No	0-5	0	No		"[""Food""]"
4868	2019-05-12 06:39:53	Education	Anganwadi Building	nabam tadap	Government	In Use	Papumpare	Doimukh	Soppo	27.21347	93.79833	Approved	https://smartvillage.imagetrekk.com/storage/images/H30gU4htyW15XqDHIYBW4qivC0krNJjVSSSwOPAS.jpeg?asset_id=4868	satisfoctory	5	Kacha Road	1	2G Unreliable	"[""Airtel"",""Vodafone"",""Jio""]"	"[""Airtel"",""Vodafone"",""Jio""]"	"[""Airtel"",""Vodafone"",""Jio""]"	"[""Airtel"",""Vodafone"",""Jio""]"	"[""Airtel"",""Vodafone"",""Jio""]"	"[""Airtel"",""Vodafone"",""Jio""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	6:0 to 9:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday ""]"	1	1	Others		No				Discarded in Water Bodies		Yes	2	Yes	2	None							No		No		Traditional Book		"[""Financial Support "",""Technical Support""]"	"[""Financial Support ""]"	Government Agency	150	Government Agency	No		Yes	Once a year	Yes	Yes	No	None	1	25	"[""Sports""]"	0-10%	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	No	0-5	0	No		"[""Food"",""Books ""]"
4869	2019-05-12 07:07:21	Education	Anganwadi Building	nabam tadap	Government	In Use	Papumpare	Doimukh	Soppo	27.21317	93.79795	Approved	https://smartvillage.imagetrekk.com/storage/images/SUorJEMyPAMHmQGynBPhaufrCiYpGOSKK48bcJLL.jpeg?asset_id=4869	Good condition	6	Kacha Road	1	2G Unreliable	"[""Airtel"",""Vodafone"",""Jio""]"	"[""Airtel"",""Vodafone"",""Jio""]"	"[""Airtel"",""Vodafone"",""Jio""]"	"[""Airtel"",""Vodafone"",""Jio""]"	"[""Airtel"",""Vodafone"",""Jio""]"	"[""Airtel"",""Vodafone"",""Jio""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	6:0 to 9:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday ""]"	1	1	Ground Water	10	No	No	Yes	No	Discarded in Water Bodies		Yes	3	Yes	2	None							No		No		Others	Maintain Register	"[""Financial Support "",""Technical Support""]"	"[""Financial Support "",""Technical Support ""]"	Government Agency	200	Government Agency	No		Yes	Once a year	Yes	No	No	None	2	10	"[""Sports""]"	0-10%	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	No	0-5	0	No		"[""Food"",""Books ""]"
4874	2019-05-12 09:10:35	Education	Anganwadi Building	nabam tadap	Government	Not in Use	Papumpare	Doimukh	Soppo	27.20269	93.79242	Rejected	https://smartvillage.imagetrekk.com/storage/images/EqIFWxBzQZgLmv9MOmdrx2PBDTz4UwNR2EA15iKF.jpeg?asset_id=4874	Facilities defang	3	Kacha Road	1	2G Reliable	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	7:0 to 22:0	"[""Wednesday ""]"	0	0	Tap Water from Government		No				Discarded in Open Field Burnt within the premises		No		Yes	8	None							No		No		Record is not maintained		"[""None ""]"	"[""None""]"	None	150	Supplier in other states	No		No		No		No	None	1	3	"[""Sports""]"	0-10%	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	No	0-5	0	No		"[""Food""]"
4875	2019-05-12 09:10:58	Education	Anganwadi Building	nabam tadap	Government	Not in Use	Papumpare	Doimukh	Soppo	27.20269	93.79242	Rejected	https://smartvillage.imagetrekk.com/storage/images/OzVQn6QJq4YY5374BqLmqA0U9Bfh2SicdkK91Q0A.jpeg?asset_id=4875	Facilities defang	3	Kacha Road	1	2G Reliable	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	7:0 to 22:0	"[""Wednesday ""]"	0	0	Tap Water from Government		No				Discarded in Open Field Burnt within the premises		No		Yes	8	None							No		No		Record is not maintained		"[""None ""]"	"[""None""]"	None	150	Supplier in other states	No		No		No		No	None	1	3	"[""Sports""]"	0-10%	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	No	0-5	0	No		"[""Food""]"
4876	2019-05-12 09:11:19	Education	Anganwadi Building	nabam tadap	Government	Not in Use	Papumpare	Doimukh	Soppo	27.20269	93.79242	Approved	https://smartvillage.imagetrekk.com/storage/images/Nml6ycRdMrophRYK0mCuREkY6eHbQWVKE0cGyMdH.jpeg?asset_id=4876	Facilities defang	3	Kacha Road	1	2G Reliable	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	"[""Airtel"",""Jio"",""Vodafone""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	7:0 to 22:0	"[""Wednesday ""]"	0	0	Tap Water from Government		No				Discarded in Open Field Burnt within the premises		No		Yes	8	None							No		No		Record is not maintained		"[""None ""]"	"[""None""]"	None	150	Supplier in other states	No		No		No		No	None	1	3	"[""Sports""]"	0-10%	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	No	0-5	0	No		"[""Food""]"
