id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available to the asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,How far is this street light from the nearest substation or transformer ?,Which type of street light is this?,What is the system of street lights used?,Has the street light been installed with the help of APEDA ?
2665,2019-03-29 03:04:48,Energy & ICT,Street Light,tenjin yeshii,Government,In Use,Tawang,Lumla,Manpat,27.53088,91.71341,Approved,https://smartvillage.imagetrekk.com/storage/images/xjNbEDJZ7Kd73RFFCV8KgYdE0HLELXNuUk4IRkav.jpeg?asset_id=2665,Street Light,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.1,On-grid,Traditional,No
2958,2019-04-25 10:15:31,Energy & ICT,Street Light,tenjin yeshii,Government,In Use,Tawang,Lumla,Manpat,27.52946,91.71053,Approved,https://smartvillage.imagetrekk.com/storage/images/eq8sdp6qliD6gCvPeGnbtx7rdr9WNCryetgIJLTD.jpeg?asset_id=2958,Street Light,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",1,On-grid,Traditional,No
2993,2019-04-25 10:42:10,Energy & ICT,Street Light,tendel zangmu wangja,Government,In Use,West Kameng,Shergaon,Shergaon,27.12876,92.26012,Approved,https://smartvillage.imagetrekk.com/storage/images/yB40DvVJnQLdNKeB8blHg3tGQhYljXjBmEE2BBDn.jpeg?asset_id=2993,High Mass light,Pakka Road,4G Unreliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]",2,On-grid,Traditional,No
3025,2019-04-26 10:05:30,Energy & ICT,Street Light,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.34037,92.27285,Approved,https://smartvillage.imagetrekk.com/storage/images/XIDgLo1BOzleu17rGgJc8VCw7vedhxdxrbUhwdVE.jpeg?asset_id=3025,street light no 2 Cum electric pole,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0,Off- grid,Traditional,No
3026,2019-04-26 10:05:38,Energy & ICT,Street Light,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.86879,93.59852,Approved,https://smartvillage.imagetrekk.com/storage/images/5rkcVhThohIHGrE4Ncq2TBhQg0gRASitQlelRrsJ.jpeg?asset_id=3026,street light Cum electric pole,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0,Off- grid,Traditional,No
3252,2019-05-04 00:43:39,Energy & ICT,Street Light,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58376,93.84467,Approved,https://smartvillage.imagetrekk.com/storage/images/pvySZHSwh6cqjBqVgvBBDwibsUkVwmxHoygJk8W1.jpeg?asset_id=3252,bulb is fused,Pakka Road,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",3,On-grid,Traditional,No
3254,2019-05-04 00:48:41,Energy & ICT,Street Light,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58369,93.84467,Approved,https://smartvillage.imagetrekk.com/storage/images/q9mTCnjnj8GuP4T8594u1FZpaFQM8QytaRpGjfiy.jpeg?asset_id=3254,bulb is fused,Pakka Road,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",3,On-grid,Traditional,No
3263,2019-05-04 04:21:16,Energy & ICT,Street Light,administrator,Government,Repairable,Changlang,Jairampur,Namchik Havi,27.58058,93.84052,Rejected,https://smartvillage.imagetrekk.com/storage/images/KY6S8xqBLMgJQK7BIe7D0vWuQiDNgcczskbuZG0n.jpeg?asset_id=3263,under,Footway,3G Reliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]",3,On-grid,Solar,Yes
3330,2019-05-05 08:02:33,Energy & ICT,Street Light,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58097,93.84119,Approved,https://smartvillage.imagetrekk.com/storage/images/LHgoJcx0gVUyns1SYZIXyddOTjldCflJeytGdtgR.jpeg?asset_id=3330,in working condition,Kacha Road,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0,Off- grid,Traditional,No
3333,2019-05-05 08:07:23,Energy & ICT,Street Light,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58099,93.84213,Approved,https://smartvillage.imagetrekk.com/storage/images/pYB2GgU19plENvrbAz2P5EjROYxXpVZzn5wdYr1m.jpeg?asset_id=3333,bulb fused,Kacha Road,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0,Off- grid,Traditional,No
