id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the facility until it was open?,What is the type of the road available to the facility?,How much distance should one travel from the facility to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the facility?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the facility?,What is the type of security available for the facility?,What are the working hours of the facility?(Ex: 9.00A.M-5.P.M),What are the working days of the facility?,How many staff are employed in the facility?,How many labour are employed in the facility?,Where do you get drinking water from for using at the facility?,Where do you get water for operational purposes for the facility?,Are there toilets available for public and employees' usage at the facility?,Are there toilets available seperately as per gender at the unit?,Is there running water available in the toilets at the unit?,Is there soap for handwash available at the unit?,How do you deal with the agricultural waste generated from the facility?,Are the premises of facility cleaned with disinfectant regularly?,How frequently are the premises at the facility cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the facility?,How many hours per day are you facing power cuts in the unit?,What is the alternative energy source available in the facility?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the facility?,Does the facility have wired internet connection?,How do you maintain records for operations of the facility?,What are the areas the facility gets support from government agencies (not for your customers)?,Are you using any digital technologies that can be used in the facility?,Where do you procure inputs required for the facility?,What are different organic inputs available in the facility?,Where do you store the agri inputs sold in the shop?,How many cubic meters are available for storage?,How does the facility advertise about the services available?,What is the average operational cost per month to run the facility?(Excluding Salary of the Employees),What is the total average income per month generated from the facility?,How many types of inputs are available in the facility?,What are the 5 major type of inputs purchased by the customers from the facility?,What is the average cost of the top 5 most purchased goods in facility?(In Rupees),Which type of customers purchase the inputs from the facility?,How many customers purchase the inputs from the facility in a year?,How do the customers transport goods from the facility?,access,road_connectivity,public_transport,mobile_connectivity,accessibility,building_type,security,infrastructure,observation,working_hours,working_days,availability,non_technical_staff,technical_staff,employability,drinking_water,water_for_operational_purposes,water,toilets,waste_management,general_cleanliness,sanitation,electricity,energy,alternate_energy,telephone,broadband,mobile,communication,records,record_maintenance,support,govt_support,awareness,digital_technologies,general,procurement,inputs,organic_inputs,number,type,cost,products,storage,inventory_capacity,operational_cost,income,operations,advertisement,marketing,customers,transport_of_goods,logistics,specific,overall score
5307,Agriculture,Agriculture Input Shops/ Suppliers,Papumpare,Doimukh,Doimukh,27.144509999999997,93.75398,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0833,1.0,1.0,1.0,0.2222,0.1667,1.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.1667,0.75,0.3333,1.0,0.2727,1.0,0.6667,1.0,1.0,1.0,0.3333,1.0,0.25,100.0,100.0,100.0,100.0,100.0,100.0,0.0,33.3333,84.0,8.3333,100.0,54.1667,100.0,100.0,100.0,22.2222,16.6667,20.0,30.0,50.0,50.0,42.0,88.0,88.0,0.0,0.0,0.0,100.0,30.0,33.3333,33.3333,0.0,0.0,0.0,0.0,36.75,16.6667,16.6667,75.0,100.0,33.3333,100.0,92.5,33.3333,100.0,100.0,66.6667,90.0,27.2727,27.2727,66.6667,25.0,25.0,47.4242,55.1947
1005,Agriculture,Agriculture Input Shops/ Suppliers,West Kameng,Singchung,Singchung,27.19918,92.47581,1.0,1.0,0.9,1.0,0.6,1.0,0.2857,0.625,0.7143,1.0,1.0,0.3333,0.3333,1.0,0.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,1.0,0.0,0.1667,0.5,0.1111,1.0,0.4545,0.15,0.0333,0.4667,1.0,1.0,0.3333,0.1,0.25,100.0,100.0,90.0,100.0,97.0,100.0,28.5714,11.1111,86.7714,62.5,71.4286,66.9643,100.0,100.0,100.0,33.3333,33.3333,33.3333,55.0,25.0,50.0,44.5,0.0,0.0,0.0,0.0,0.0,60.0,18.0,33.3333,33.3333,100.0,100.0,0.0,0.0,39.6131,16.6667,16.6667,50.0,10.0,33.3333,100.0,69.0,11.1111,100.0,15.0,3.3333,45.5,45.4545,45.4545,21.6667,25.0,25.0,34.3071,51.6382
