id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,availability,employability,water,sanitation,energy,communication,record_maintenance,govt_support,educational_materials,digital_technologies,health,facilities,educational_statistics,disaster_preparedness,general_information,partnerships,overall score
801,Education,Special Schools,Papumpare,Banderdewa,Kharsingsa Village,27.11954,93.79366,72.3333,55.0,92.8571,45.0,22.5,65.0,70.0,0.0,33.3333,0.0,7.3333,0.0,84.0,76.6667,92.6667,0.0,20.0,100.0,50.201
1515,Education,Special Schools,Shi-Yomi,Monigong,Karle,28.741020000000002,94.3084,12.6667,50.0,7.1429,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.4157
