id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,availability,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,educational_materials,digital_technologies,health,facilities,educational_statistics,disaster_preparedness,general_information,partnerships,overall score,,,,,,,,,
1410.00,Education,Schools,Lower Subansiri,Ziro,Hari,27.58,93.84,22.00,80.00,74.11,52.27,45.00,7.50,50.00,0.00,18.00,14.29,71.43,24.55,0.00,90.40,31.00,26.63,0.00,59.00,75.00,48.21,,,,,,,,,
1511.00,Education,Schools,Shi-Yomi,Monigong,Karle,28.74,94.30,29.60,50.00,86.61,16.44,0.00,23.50,0.00,0.00,6.00,14.29,14.29,34.55,0.00,0.00,10.40,25.43,0.00,53.33,100.00,39.54,,,,,,,,,
1840.00,Education,Schools,Lower Subansiri,Pistana,Did,27.60,93.67,31.00,80.00,86.61,38.22,45.00,52.38,0.00,0.00,12.00,14.29,85.71,34.55,0.00,60.00,16.00,28.93,0.00,49.00,75.00,45.79,,,,,,,,,
1856.00,Education,Schools,Lower Subansiri,Pistana,Did,27.59,93.67,34.20,80.00,74.11,62.67,45.00,56.12,50.00,68.18,12.00,14.29,0.00,17.27,100.00,84.00,32.30,41.33,0.00,57.00,100.00,54.31,,,,,,,,,
1876.00,Education,Schools,Lower Subansiri,Ziro,Hija,27.58,93.83,36.00,85.00,86.61,56.53,45.00,23.50,0.00,0.00,18.00,14.29,71.43,34.55,100.00,0.00,42.20,34.68,100.00,50.00,75.00,50.79,,,,,,,,,
3534.00,Education,Schools,East Siang,Pasighat,Boyng,28.06,95.29,25.00,85.00,77.23,31.02,0.00,7.50,50.00,0.00,30.00,14.29,0.00,24.55,0.00,84.00,29.80,26.58,0.00,47.00,100.00,44.97,,,,,,,,,
3535.00,Education,Schools,East Siang,Pasighat,Balek,28.06,95.29,37.00,85.00,78.79,47.11,0.00,7.50,100.00,0.00,30.00,14.29,0.00,24.55,0.00,84.00,48.00,25.73,0.00,49.00,75.00,48.83,,,,,,,,,
750.00,Education,Schools,Papumpare,Banderdewa,Karsingsa Complex,27.12,93.78,31.00,85.00,92.86,30.84,30.00,53.50,50.00,0.00,0.00,14.29,42.86,34.55,0.00,90.40,9.90,52.83,0.00,49.00,75.00,47.24,,,,,,,,,
771.00,Education,Schools,Lohit,Tezu,Laboliang,27.98,96.18,45.00,90.00,86.61,28.27,45.00,23.50,50.00,51.52,24.00,14.29,42.86,34.55,100.00,0.00,58.30,29.03,100.00,52.33,75.00,55.51,,,,,,,,,
778.00,Education,Schools,Lower Dibang Valley,Dambuk,Bomjir,28.16,95.67,41.00,85.00,42.86,19.02,45.00,7.50,0.00,0.00,12.00,14.29,71.43,34.55,0.00,87.20,9.80,16.13,0.00,50.33,75.00,46.88,,,,,,,,,
786.00,Education,Schools,West Kameng,Shergaon,Shergaon,27.12,92.26,25.00,51.11,80.36,55.29,45.00,55.00,50.00,0.00,12.00,14.29,71.43,34.55,0.00,96.80,12.30,30.43,100.00,69.00,75.00,49.79,,,,,,,,,
791.00,Education,Schools,Lohit,Tezu,Laboliang,27.99,96.18,34.50,90.00,77.23,51.73,0.00,52.38,50.00,68.18,24.00,14.29,0.00,13.64,100.00,40.00,58.50,45.58,0.00,75.67,75.00,57.82,,,,,,,,,
794.00,Education,Schools,Papumpare,Banderdewa,Kharsingsa Village,27.11,93.80,29.33,80.00,74.11,28.62,15.00,30.00,0.00,0.00,18.00,14.29,42.86,34.55,0.00,84.00,9.80,33.43,100.00,50.00,75.00,45.20,,,,,,,,,
856.00,Education,Schools,Papumpare,Gumto,Gumto-i,27.14,93.80,60.00,50.00,74.11,23.82,0.00,7.50,0.00,0.00,0.00,14.29,0.00,34.55,0.00,36.00,11.70,16.08,0.00,37.00,75.00,39.53,,,,,,,,,
1031.00,Education,Schools,Changlang,Changlang,Changlang (CT),27.13,95.70,31.67,85.00,81.92,23.64,45.00,47.50,50.00,0.00,24.00,14.29,71.43,34.55,0.00,90.40,29.80,22.83,0.00,52.33,75.00,49.23,,,,,,,,,
1055.00,Education,Schools,East Siang,Pasighat,Rengging,28.14,95.27,41.00,80.00,74.11,7.20,45.00,75.62,50.00,0.00,0.00,14.29,42.86,24.55,0.00,36.00,7.40,14.18,0.00,40.00,100.00,45.89,,,,,,,,,
1922.00,Education,Schools,Lower Subansiri,Ziro,Hong,27.56,93.85,30.00,55.56,72.02,45.24,45.00,75.62,50.00,0.00,18.00,14.29,42.86,34.55,100.00,90.40,16.00,28.43,0.00,57.00,75.00,47.64,,,,,,,,,
