id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the unit until it was open?,What is the type of the road available to the market?,How much distance should one travel from the market to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the market?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the market?,What is the type of security available for the market?,What are the working hours of the market?(Ex: 9.00A.M-5.A.M),What are the working days of the market?,How many people are working in the market?,Where do you get drinking water from for using at the market?,Where do you get water for operational purposes for the market?,Are there toilets available for public and employees' usage at the market?,How do you deal with the fish waste generated from the market?,Are the premises of market cleaned with disinfectant regularly?,How frequently are the premises at the market cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the market?,What is the alternative energy source available for the market?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the market?,Does the market have wired internet connection?,How do people maintain records for operations of the market?,What are the areas the market gets support from government agencies?,Do you get any support from NGO(s) for the market?,Are you using digital technologies in the market?,Where do you primarily procure inputs required for the market?,Where do you store the produce sold in the shops?,How does the market advertise about the services available?,What is the average operational cost per month to run the stall?,What is the average income per month from each stall?,What kind of permission is required to setup a stall in the market?,What is the amount to be paid to setup a stall in the market?(In Rupees),What is the payment mechanism used in the market?,What is the weighing mechanism used in the market?,How many types of products are available in the market?,What is the average cost of the top 5 most purchased goods in market?(In Rupees),Which type of customers purchase the fish from the market?,How many customers purchase the inputs from the market in a week??,How do the customers transport goods from the market?,Do you have a cold storage facility?,How many Kgs of fish got wasted last week?,How do you document wastage of food?,access,road_connectivity,public_transport,mobile_connectivity,accessibility,building_type,security,infrastructure,observation,working_hours,working_days,availability,staff,employability,drinking_water,water_for_operational_purposes,water,toilets,waste_management,general_cleanliness,sanitation,electricity,energy,alternate_energy,mobile,telephone,broadband,communication,records,record_maintenance,support,govt_support,ngo_support,awareness,digital_technologies,general,procurement,inputs,storage,advertisement,marketing,operational_cost,income,permission,setup_cost,payment_mechanism,weghing_mechanism,operations,number,cost,products,type,customers,transport_of_goods,logistics,cold_storage,inventory,X,documentation,food_wastage,specific,overall score
2789,Fisheries,Community Fish Market,West Kameng,Dirang,Dirang,27.347279999999998,92.27006999999999,0.5,1.0,1.0,0.8333,0.6,0.0,0.0,0.0,1.0,0.1,0.2857,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.1667,0.9667,0.3333,0.0,0.0,0.4286,0.3333,0.1333,0.25,0.5556,0.02,0.2,0.0,1.0,0.0,50.0,100.0,100.0,83.3333,81.6667,0.0,0.0,0.0,40.8333,0.0,100.0,50.0,10.0,10.0,14.2857,50.0,64.2857,0.0,25.0,0.0,10.0,0.0,0.0,0.0,60.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5286,33.3333,33.3333,0.0,16.6667,0.8333,96.6667,33.3333,0.0,0.0,42.8571,33.3333,23.4048,2.0,25.0,19.1667,55.5556,28.7778,20.0,20.0,0.0,0.0,100.0,0.0,70.0,21.2254,25.3987
1770,Fisheries,Community Fish Market,East Siang,Oyan,Oyan Village,27.88327,95.31586,0.5,1.0,1.0,1.0,0.8,0.0,0.0,1.0,1.0,1.0,0.2857,0.5,1.0,0.0,1.0,0.2857,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2222,0.3333,0.1667,0.96,0.0667,0.3333,0.005,0.4286,0.3333,0.1333,0.25,0.2222,1.0,0.2,0.0,0.94,0.0,50.0,100.0,100.0,100.0,85.0,0.0,0.0,33.3333,42.5,100.0,100.0,100.0,100.0,100.0,14.2857,50.0,64.2857,100.0,0.0,64.2857,49.2857,0.0,0.0,0.0,80.0,0.0,0.0,56.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,36.6214,22.2222,22.2222,33.3333,16.6667,0.8333,96.0,6.6667,33.3333,0.5,42.8571,33.3333,27.4964,100.0,25.0,19.1667,22.2222,61.1111,20.0,20.0,0.0,0.0,94.0,0.0,65.8,27.6348,34.7904
