id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,ngo_support,digital_technologies,inputs,marketing,products,customers,logistics,overall score
5737,Fisheries,Fish Pond,Lower Subansiri,Ziro,Modang Tage,27.57214,93.8459,50.0,25.0,60.0,27.2727,12.5,0.0,0.0,60.0,25.0,0.0,0.0,0.0,23.8095,20.0,78.8,20.0,66.6667,33.8944
5767,Fisheries,Fish Pond,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.56005,93.8483,53.3333,25.0,20.0,27.2727,25.0,0.0,0.0,60.0,25.0,0.0,0.0,0.0,13.3333,20.0,72.5333,20.0,11.1111,27.8855
6767,Fisheries,Fish Pond,Lower Subansiri,Ziro,Hari,27.58261,93.84174,70.8333,0.0,20.0,27.2727,25.0,0.0,0.0,60.0,25.0,0.0,0.0,0.0,19.5238,10.0,40.0,30.0,11.1111,26.3281
6861,Fisheries,Fish Pond,Lower Subansiri,Ziro,Lempiya,27.57947,93.88691,52.9167,25.0,20.0,27.2727,12.5,0.0,0.0,60.0,25.0,0.0,0.0,0.0,8.5714,10.0,79.12,30.0,11.1111,27.9815
6906,Fisheries,Fish Pond,Lower Subansiri,Ziro,Lempiya,27.679240000000004,93.82648,80.4167,50.0,40.0,18.1818,12.5,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,20.0,79.2,60.0,22.2222,39.132
7049,Fisheries,Fish Pond,Lower Subansiri,Ziro,Lempiya,27.642740000000003,93.86219,66.6667,25.0,40.0,27.2727,12.5,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,20.0,79.2,80.0,22.2222,35.6661
7169,Fisheries,Fish Pond,Lower Subansiri,Ziro,Taring,27.51775,93.8275,53.3333,0.0,20.0,27.2727,12.5,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,10.0,79.2,10.0,44.4444,25.4438
7170,Fisheries,Fish Pond,Lower Subansiri,Ziro,Taring,27.518009999999997,93.82838000000001,53.3333,0.0,20.0,27.2727,12.5,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,10.0,79.2,10.0,44.4444,25.4438
7171,Fisheries,Fish Pond,Lower Subansiri,Ziro,Taring,27.518109999999997,93.82772,53.3333,0.0,20.0,27.2727,12.5,0.0,0.0,60.0,25.0,0.0,0.0,0.0,10.9524,10.0,79.2,30.0,66.6667,29.6978
7188,Fisheries,Fish Pond,Lower Subansiri,Ziro,Bamin,27.56969,93.82853,90.2083,0.0,20.0,18.1818,12.5,0.0,0.0,60.0,25.0,0.0,0.0,0.0,10.9524,10.0,79.52,30.0,11.1111,31.5074
764,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Jara,27.52657,93.77058000000001,92.7083,0.0,0.0,27.2727,25.0,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,30.0,79.2,30.0,11.1111,32.0397
809,Fisheries,Fish Pond,Papumpare,Banderdewa,Kharsingsa Village,27.12242,93.79607,65.4167,0.0,20.0,27.2727,0.0,0.0,0.0,40.0,25.0,16.6667,0.0,0.0,23.8095,20.0,33.3333,50.0,22.2222,27.2015
1124,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Yoglo,27.521729999999998,93.70631999999999,71.0417,0.0,20.0,27.2727,12.5,0.0,0.0,20.0,25.0,0.0,0.0,0.0,8.5714,30.0,78.8,10.0,11.1111,26.2184
1151,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Yoglo,27.51895,93.70586999999999,68.3333,0.0,20.0,27.2727,12.5,0.0,0.0,20.0,25.0,0.0,0.0,0.0,4.2857,30.0,78.8,10.0,11.1111,25.388
1153,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Yoglo,27.5191,93.70519,67.7083,0.0,20.0,27.2727,12.5,0.0,0.0,20.0,25.0,0.0,0.0,0.0,4.2857,30.0,78.8,10.0,11.1111,25.2755
1161,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Yoglo,27.5151,93.70096,67.0833,0.0,20.0,27.2727,12.5,0.0,0.0,20.0,25.0,0.0,0.0,0.0,4.2857,30.0,78.8,10.0,11.1111,25.163
1162,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Yoglo,27.51452,93.70087,67.0833,0.0,20.0,27.2727,12.5,0.0,0.0,20.0,25.0,0.0,0.0,0.0,4.2857,30.0,78.8,10.0,11.1111,25.163
1163,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Yoglo,27.51357,93.70044,65.2083,0.0,20.0,27.2727,12.5,0.0,0.0,20.0,25.0,0.0,0.0,0.0,4.2857,30.0,78.8,10.0,11.1111,24.8255
1198,Fisheries,Fish Pond,Papumpare,Sangdupota,Poma,27.072670000000002,93.52414,68.9583,0.0,20.0,27.2727,0.0,0.0,0.0,40.0,25.0,33.3333,0.0,0.0,12.8571,10.0,76.0667,10.0,11.1111,26.3926
1322,Fisheries,Fish Pond,Lower Subansiri,Ziro,Mani Polyang,27.5331,93.8497,68.3333,25.0,40.0,27.2727,12.5,100.0,0.0,60.0,12.5,58.3333,0.0,0.0,12.8571,10.0,79.2,20.0,55.5556,38.8363
1671,Fisheries,Fish Pond,Changlang,Changlang,Changlang (CT),27.143629999999998,95.73906,65.0,25.0,20.0,27.2727,12.5,0.0,0.0,60.0,12.5,25.0,0.0,0.0,23.8095,10.0,79.2,10.0,22.2222,31.0458
