id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,availability,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,digital_technologies,inputs,products,infrastructure,operations,marketing,customers,logistics,overall score
5307,Agriculture,Agriculture Input Shops/ Suppliers,Papumpare,Doimukh,Doimukh,27.144509999999997,93.75398,100.0,33.3333,54.1667,100.0,20.0,42.0,88.0,0.0,30.0,33.3333,0.0,0.0,16.6667,92.5,33.3333,90.0,27.2727,66.6667,25.0,55.1947
1005,Agriculture,Agriculture Input Shops/ Suppliers,West Kameng,Singchung,Singchung,27.19918,92.47581,97.0,11.1111,66.9643,100.0,33.3333,44.5,0.0,0.0,18.0,33.3333,100.0,0.0,16.6667,69.0,11.1111,45.5,45.4545,21.6667,25.0,51.6382
