id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,availability,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,educational_materials,digital_technologies,health,facilities,educational_statistics,disaster_preparedness,diversity,govt_supplies,anganwadi_score
4876,Education,Anganwadi Building,Papumpare,Doimukh,Soppo,27.202690000000004,93.79241999999999,25.7619,6.0,50.4286,0.0,11.1111,15.0,100.0,0.0,60.0,0.0,0.0,12.0,0.0,0.0,25.0,18.5,0.0,25.0,9.0,15.5155
4882,Education,Anganwadi Building,Lower Subansiri,Ziro,Keiliya,27.63656,93.83354,33.1905,51.6,27.1429,100.0,11.1111,0.0,0.0,0.0,60.0,100.0,0.0,29.3333,0.0,0.0,25.0,16.5,0.0,25.0,9.0,26.4432
5024,Education,Anganwadi Building,Lower Subansiri,Ziro,Michi,27.56907,93.82803,37.5952,52.56,35.9048,100.0,11.1111,115.0,0.0,0.0,60.0,100.0,166.6667,52.0,0.0,60.0,70.0,60.0,0.0,25.0,82.0,64.0386
5072,Education,Anganwadi Building,Papumpare,Gumto,Gumto,27.13779000000001,93.80529,67.8571,2.2,52.1429,100.0,22.2222,15.0,0.0,0.0,60.0,100.0,33.3333,100.0,0.0,140.0,30.0,70.0,0.0,75.0,9.0,42.0302
5311,Education,Anganwadi Building,Papumpare,Doimukh,Mani,27.176090000000002,93.77035,38.4286,0.48,27.5714,100.0,22.2222,15.0,0.0,0.0,80.0,100.0,0.0,100.0,0.0,110.0,65.0,75.0,0.0,25.0,73.0,46.0224
5405,Education,Anganwadi Building,Lower Subansiri,Ziro,Hija,27.60649,93.86346999999999,33.1905,63.0,27.1429,100.0,11.1111,45.0,0.0,0.0,60.0,100.0,0.0,29.3333,0.0,0.0,50.0,22.5,0.0,25.0,9.0,32.1912
5464,Education,Anganwadi Building,Papumpare,Banderdewa,Kharsingsa,27.11457,93.77864,13.4286,24.0,27.1429,100.0,22.2222,0.0,0.0,0.0,0.0,100.0,100.0,48.0,0.0,0.0,25.0,85.0,0.0,25.0,9.0,29.0319
5577,Education,Anganwadi Building,Papumpare,Toru,Dokte Hoj,27.253790000000002,93.80858,48.7143,2.0,52.5714,100.0,22.2222,30.0,0.0,12.5,60.0,100.0,0.0,52.0,0.0,60.0,25.0,42.5,0.0,25.0,9.0,30.3976
5719,Education,Anganwadi Building,Lower Subansiri,Ziro,Kalong,27.59555,93.84104,10.3333,2.4,52.5714,100.0,22.2222,75.0,0.0,0.0,60.0,100.0,0.0,0.0,0.0,0.0,25.0,42.5,100.0,50.0,9.0,28.5401
5720,Education,Anganwadi Building,Lower Subansiri,Ziro,Kalong,27.59605,93.84201,10.3333,54.0,52.5714,100.0,22.2222,75.0,0.0,0.0,60.0,100.0,0.0,48.0,0.0,0.0,25.0,32.5,0.0,25.0,9.0,31.8721
6208,Education,Anganwadi Building,Lower Subansiri,Ziro,Hari,27.58697,93.84532,25.5952,51.2,19.2381,100.0,22.2222,15.0,0.0,0.0,60.0,100.0,0.0,34.6667,0.0,0.0,25.0,52.0,0.0,25.0,27.0,31.2221
6210,Education,Anganwadi Building,West Siang,Aalo,Kugi Pomte,28.18559,93.4676,51.8571,4.0,44.2381,100.0,11.1111,15.0,0.0,0.0,20.0,100.0,100.0,100.0,0.0,60.0,65.0,44.5,0.0,25.0,18.0,38.8374
6231,Education,Anganwadi Building,Lower Subansiri,Ziro,Hari,27.58448,93.84591,17.5952,0.48,27.5714,100.0,22.2222,45.0,0.0,0.0,60.0,100.0,0.0,100.0,0.0,100.0,70.0,45.5,0.0,25.0,36.0,38.4507
6240,Education,Anganwadi Building,West Siang,Aalo,Kugi Pomse,28.35653,93.54999000000001,40.4286,8.0,43.8095,100.0,11.1111,15.0,0.0,0.0,20.0,100.0,100.0,100.0,0.0,60.0,65.0,42.5,0.0,25.0,82.0,48.5702
6339,Education,Anganwadi Building,Papumpare,Doimukh,Chiputa,27.18368,93.78156,29.0,0.8,10.9048,100.0,11.1111,40.0,0.0,0.0,80.0,0.0,0.0,100.0,0.0,60.0,25.0,14.5,0.0,25.0,9.0,25.1848
6430,Education,Anganwadi Building,Lower Subansiri,Ziro,Reru,27.596090000000004,93.84185,10.3333,0.7244,52.5714,100.0,22.2222,75.0,0.0,0.0,60.0,100.0,0.0,100.0,0.0,0.0,25.0,32.5,100.0,25.0,64.0,38.8391
6615,Education,Anganwadi Building,Lower Subansiri,Ziro,Reru,27.59651,93.84251,10.3333,1.21,52.5714,100.0,22.2222,75.0,100.0,0.0,60.0,100.0,0.0,100.0,0.0,0.0,25.0,42.0,100.0,25.0,64.0,42.1823
6685,Education,Anganwadi Building,West Siang,Kamba,Kambu,28.261879999999998,94.68138,34.0952,2.8,28.0,100.0,11.1111,15.0,0.0,0.0,60.0,100.0,166.6667,52.0,0.0,100.0,25.0,58.5,0.0,25.0,9.0,39.5253
6788,Education,Anganwadi Building,Lower Subansiri,Ziro,Hari,27.58365,93.84129,17.5952,50.6,27.5714,100.0,22.2222,85.0,0.0,0.0,60.0,100.0,0.0,100.0,0.0,100.0,70.0,30.5,0.0,25.0,82.0,53.7751
6899,Education,Anganwadi Building,Lower Subansiri,Ziro,Reru,27.596529999999998,93.84604,33.1905,0.804,53.0,100.0,22.2222,75.0,0.0,0.0,60.0,100.0,83.3333,58.6667,0.0,0.0,25.0,42.5,100.0,25.0,9.0,35.9501
7046,Education,Anganwadi Building,Lower Subansiri,Ziro,Lempiya,27.56973,93.87318,23.7619,4.0,35.9048,100.0,11.1111,45.0,0.0,0.0,60.0,100.0,100.0,52.0,0.0,0.0,60.0,28.5,0.0,25.0,64.0,40.8798
7051,Education,Anganwadi Building,Lower Subansiri,Ziro,Lempiya,27.5892,93.86494,23.7619,4.0,44.2381,100.0,11.1111,15.0,0.0,0.0,60.0,100.0,100.0,52.0,0.0,0.0,30.0,28.5,0.0,25.0,9.0,28.7298
7056,Education,Anganwadi Building,Lower Subansiri,Ziro,Tajang,27.57703,93.86768000000001,25.7619,0.96,35.9048,100.0,11.1111,30.0,0.0,0.0,60.0,100.0,166.6667,52.0,0.0,0.0,30.0,36.5,0.0,25.0,64.0,42.215
7059,Education,Anganwadi Building,Lower Subansiri,Old Ziro,Tajang,27.567290000000003,93.86494,23.7619,0.72,35.9048,100.0,11.1111,30.0,0.0,0.0,60.0,100.0,166.6667,52.0,0.0,0.0,30.0,36.5,0.0,25.0,64.0,42.0262
7068,Education,Anganwadi Building,Lower Subansiri,Ziro,Lempiya,27.57703,93.82099000000001,14.3333,5.84,35.4762,100.0,11.1111,15.0,0.0,0.0,60.0,100.0,100.0,52.0,0.0,0.0,30.0,28.5,0.0,25.0,9.0,27.9334
7225,Education,Anganwadi Building,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.557470000000002,93.84982,41.5238,90.0,29.2262,100.0,11.1111,55.0,100.0,0.0,60.0,100.0,83.3333,52.0,0.0,120.0,55.0,26.5,0.0,25.0,82.0,64.7404
7278,Education,Anganwadi Building,Lower Subansiri,Ziro,Bamin,27.569359999999996,93.82933,49.0238,12.0,35.9048,100.0,11.1111,75.0,0.0,0.0,60.0,100.0,50.0,100.0,0.0,60.0,95.0,77.5,0.0,25.0,82.0,54.1507
751,Education,Anganwadi Building,Papumpare,Banderdewa,Karsingsa Complex,27.118140000000004,93.78155,21.7619,2.0,27.5714,100.0,11.1111,45.0,0.0,0.0,20.0,100.0,100.0,100.0,0.0,140.0,65.0,67.5,0.0,25.0,73.0,51.7798
857,Education,Anganwadi Building,East Siang,Oyan,Sille Village,27.894709999999996,95.3054,38.4286,20.0,19.2381,100.0,11.1111,15.0,0.0,0.0,60.0,100.0,100.0,100.0,0.0,100.0,65.0,55.5,0.0,25.0,18.0,42.8631
859,Education,Anganwadi Building,East Siang,Oyan,Sille Village,27.90036,95.30256999999999,53.4286,2.98,35.9048,100.0,11.1111,15.0,0.0,0.0,60.0,100.0,50.0,100.0,0.0,100.0,65.0,62.5,0.0,25.0,18.0,39.7307
864,Education,Anganwadi Building,East Siang,Oyan,Sille Village,27.901220000000002,95.30322,53.4286,0.44,35.9048,100.0,11.1111,15.0,0.0,0.0,60.0,100.0,50.0,100.0,0.0,100.0,65.0,59.5,0.0,25.0,18.0,39.3359
867,Education,Anganwadi Building,East Siang,Oyan,Sille Village,27.90205,95.30034,53.4286,0.52,35.9048,100.0,11.1111,15.0,0.0,0.0,60.0,100.0,50.0,100.0,0.0,100.0,65.0,70.5,0.0,25.0,18.0,39.6755
897,Education,Anganwadi Building,Tirap,Khonsa,Kheti,26.959770000000002,95.51007,33.0,6.0,23.4048,100.0,22.2222,45.0,0.0,0.0,40.0,33.3333,100.0,52.0,0.0,110.0,65.0,72.5,0.0,25.0,73.0,49.2105
965,Education,Anganwadi Building,Changlang,Changlang,Changlang (CT),27.1353,95.72617,42.2619,51.6,19.2381,50.0,11.1111,15.0,0.0,0.0,80.0,100.0,166.6667,100.0,0.0,60.0,50.0,42.5,0.0,25.0,82.0,55.1118
999,Education,Anganwadi Building,Tirap,Khonsa,Khonsa I,27.0006,95.50953,57.3571,70.0,31.7381,100.0,22.2222,45.0,0.0,0.0,80.0,100.0,33.3333,52.0,0.0,140.0,65.0,47.5,0.0,25.0,73.0,59.339
1040,Education,Anganwadi Building,Tirap,Khonsa,Kaimoi,27.03828,95.49868000000001,27.0,51.0,27.1429,50.0,22.2222,0.0,100.0,0.0,20.0,100.0,0.0,52.0,0.0,60.0,25.0,22.5,0.0,25.0,9.0,29.8026
1048,Education,Anganwadi Building,East Siang,Pasighat,Rengging,28.141409999999997,95.27411,37.1905,52.0,44.2381,100.0,11.1111,55.0,0.0,0.0,80.0,100.0,50.0,52.0,0.0,110.0,65.0,20.5,0.0,25.0,73.0,54.264
1196,Education,Anganwadi Building,Papumpare,Sangdupota,Poma,27.07509000000001,93.52238,21.7619,50.8,27.5714,100.0,22.2222,0.0,0.0,0.0,40.0,100.0,166.6667,100.0,0.0,60.0,75.0,58.5,0.0,25.0,18.0,46.9324
