id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go there until it was open?,What is the type of the road available to the asset?,distance travelled in km to avail public transport,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,work duration per day in minutes,What are the working days of the facility?,How many teachers are employed in the facility?,How many support staff are employed in the facility?,Where do you get drinking water from?,Are there toilets available for public usage?,How do you deal with the waste generated from the facility?,Are the premises cleaned with disinfectant regularly?,How frequently are the premises cleaned with disinfectant in a week?,Do you have grid connection for energy supply?,What is the alternative energy source available in the facility?,Do you have landline connectivity,Do you have wired internet connection?,How do you maintain records for operations?,What are the areas you get support from government agencies for the facility?,What are the areas you get support from government agencies for your students?,Where do you gets textbooks for the children?,What is the total campus area?,Where do you get the curriculum for classes and educational programs?,Are you using digital tools for teaching?,Are there checkups or medical facilities available?,What is the frequency of these checkups?,Are there any meals served?,Is there presence of any recreational/playing material for the kids?,What kind of residential facilities are available?,How many classrooms are there in the institute ?,How many people are enrolled or are students at this asset?,Apart from academics what are the co-curricular activities available for students ?,What is the percentage of drop-outs?,Are there any disaster management courses or drills practice at the institute?,To how many women is this institution providing services?,How many buses go to this asset?,Do the centers get timely supplies of the government goods?,For what all materials the government is providing fund ?
2385,Education,Anganwadi Building,Papumpare,Doimukh,Lekha,27.16322000000001,93.77228000000001,0.2,0.2857,0.0,0.6667,0.75,0.0,0.0,0.1667,0.8571,1.0,1.0,0.1111,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8333,0.8333,1.0,0.15,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.75,0.75,0.0,0.25,0.0,1.0,0.4
2386,Education,Anganwadi Building,Papumpare,Doimukh,Lekha,27.1142,93.73624000000001,0.2,0.2857,0.0,0.6667,0.75,1.0,0.0,0.3333,0.8571,1.0,1.0,0.1111,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8333,0.8333,1.0,0.15,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.76,0.75,0.25,0.0,0.25,0.0,1.0,0.2
2489,Education,Anganwadi Building,Papumpare,Parang,Parang,27.3305,93.50596999999999,0.1,0.5714,0.0,0.0,0.0,1.0,0.0,0.6667,0.8571,1.0,1.0,0.1111,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.02,1.0,0.0,1.0,0.0,1.0,1.0,0.5,1.0,0.88,0.25,0.25,0.0,0.25,1.0,1.0,0.2
2521,Education,Anganwadi Building,Namsai,Namsai,Kaisu L/C,27.4133,96.24263,0.2,0.5714,0.8,0.5,0.75,1.0,0.0,0.5,0.8571,1.0,1.0,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.4,0.25,0.25,0.0,0.5,0.0,0.0,0.2
2589,Education,Anganwadi Building,Tawang,Kitpi,Kitpi,27.5689,91.89838,1.0,0.2857,0.0,0.3333,0.75,1.0,0.0,0.8333,0.8571,0.0,1.0,0.1111,1.0,0.5,1.0,0.0,1.0,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.5,0.6,0.5,0.25,0.0,0.25,0.0,1.0,0.2
2611,Education,Anganwadi Building,Lower Subansiri,Yachuli,Toon,27.463620000000002,93.77408,0.1,0.1429,0.0,0.6667,0.75,0.0,0.0,0.5,0.7143,1.0,1.0,0.2222,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.8,0.5,0.25,0.0,0.25,0.0,0.0,0.4
2757,Education,Anganwadi Building,Tawang,Mukto,Mukto,27.54694000000001,91.90682,0.0,0.0,0.4,0.8333,0.75,1.0,0.0,1.0,0.1429,1.0,1.0,0.1111,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.8,0.25,0.5,0.0,0.25,0.0,1.0,0.2
3130,Education,Anganwadi Building,Papumpare,Doimukh,Chiputa,27.180970000000002,93.77671,0.1,0.2857,0.0,1.0,0.75,0.0,0.0,0.1667,0.8571,1.0,1.0,0.2222,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.8,0.5,0.25,0.0,0.25,0.0,1.0,0.6
3179,Education,Anganwadi Building,West Kameng,Dirang,Dirang,27.337229999999998,92.27051999999999,0.0,0.5714,0.7,0.8333,0.75,0.0,0.0,0.5,0.7143,1.0,1.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333,0.3333,0.0,0.15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8,0.25,0.75,0.0,0.25,0.0,1.0,0.2
3222,Education,Anganwadi Building,Tawang,Lumla,Manpat,27.533690000000004,91.71893,0.1,0.5714,0.4,0.8333,0.75,0.0,0.0,0.6667,0.2857,1.0,1.0,0.1111,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.16,0.5,0.25,0.0,0.25,0.0,1.0,0.4
