id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the unit until it was open?,What is the type of the road available to the market?,How much distance should one travel from the market to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the market?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the market?,What is the type of security available for the market?,What are the working hours of the market?(Ex: 9.00A.M-5.A.M),What are the working days of the market?,How many people are working in the market?,Where do you get drinking water from for using at the market?,Where do you get water for operational purposes for the market?,Are there toilets available for public and employees' usage at the market?,How do you deal with the fish waste generated from the market?,Are the premises of market cleaned with disinfectant regularly?,How frequently are the premises at the market cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the market?,What is the alternative energy source available for the market?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the market?,Does the market have wired internet connection?,How do people maintain records for operations of the market?,What are the areas the market gets support from government agencies?,Do you get any support from NGO(s) for the market?,Are you using digital technologies in the market?,Where do you primarily procure inputs required for the market?,Where do you store the produce sold in the shops?,How does the market advertise about the services available?,What is the average operational cost per month to run the stall?,What is the average income per month from each stall?,What kind of permission is required to setup a stall in the market?,What is the amount to be paid to setup a stall in the market?(In Rupees),What is the payment mechanism used in the market?,What is the weighing mechanism used in the market?,How many types of products are available in the market?,What is the average cost of the top 5 most purchased goods in market?(In Rupees),How does sellers decide the selling price of the products?,Which type of customers purchase the fish from the market?,How many customers purchase the inputs from the market in a week??,How do the customers transport goods from the market?,Do you have a cold storage facility?,How many Kgs of fish got wasted last week?,How do you document wastage of food?
2789,Fisheries,Community Fish Market,West Kameng,Dirang,Dirang,27.34728,92.27007,1,pakka road,0,4g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,tap water from government,water from government,no,discarded in water bodies,no,N/A,no,none,N/A,no,no,others,none,no,no,local supplier,none,others,500,10000,none,0,cash,mechanical weighing scale,2,250,based on market price,farmers#individual,10,2 wheeler,no,0,none
1770,Fisheries,Community Fish Market,East Siang,Oyan,Oyan Village,27.88327,95.31586,1,pakka road,0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,690,monday#tuesday#wednesday#thursday#friday#saturday#sunday,12,tap water from government,water from government,yes,burnt within the premises,yes,2.0,no,none,N/A,no,no,traditional book keeping,none,no,no,supplier in other states,private godown/warehouse,marketing team\/ sales agents,600,2000,permission from the market union,50,cash,mechanical weighing scale,2,250,based on market price,farmers,500,tempo\/auto,no,6,none
