id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the facility until it was open?,What is the type of the road available to the facility?,How much distance should one travel from the facility to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the facility?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the facility?,What is the type of security available for the facility?,What are the working hours of the facility?(Ex: 9.00A.M-5.P.M),What are the working days of the facility?,How many staff are employed in the facility?,How many labour are employed in the facility?,Where do you get drinking water from for using at the facility?,How much do you pay per litre of bottled water?,Where do you get water for operational purposes for the facility?,Are there toilets available for public and employees' usage at the facility?,Are there toilets available seperately as per gender at the unit?,Is there running water available in the toilets at the unit?,Is there soap for handwash available at the unit?,How do you deal with the agricultural waste generated from the facility?,Are the premises of facility cleaned with disinfectant regularly?,How frequently are the premises at the facility cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the facility?,How many hours per day are you facing power cuts in the unit?,What is the alternative energy source available in the facility?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the facility?,Does the facility have wired internet connection?,How do you maintain records for operations of the facility?,What are the areas the facility gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the facility?,Are you using any digital technologies that can be used in the facility?,Where do you procure inputs required for the facility?,What are different organic inputs available in the facility?,Where do you store the agri inputs sold in the shop?,How many cubic meters are available for storage?,How does the facility advertise about the services available?,What is the average operational cost per month to run the facility?(Excluding Salary of the Employees),What is the total average income per month generated from the facility?,How many types of inputs are available in the facility?,What are the 5 major type of inputs purchased by the customers from the facility?,What is the average cost of the top 5 most purchased goods in facility?(In Rupees),Which type of customers purchase the inputs from the facility?,How many customers purchase the inputs from the facility in a year?,How do the customers transport goods from the facility?
5307,Agriculture,Agriculture Input Shops/ Suppliers,Papumpare,Doimukh,Doimukh,27.14451,93.75398,5,pakka road,0,4g+ reliable,vodafone#idea#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,60,monday#tuesday#wednesday#thursday#friday#saturday#sunday,2,2,ground water,N/A,ground water,yes,no,no,no,discarded in govt. designated sites,yes,7,yes,2.0,none,N/A,no,no,traditional book keeping,none,no,no,local supplier,fertilizers#pesticides#growth hormones,within the shop,200,marketing team\/ sales agents,60000,20000,50,variouse vegetable seeds,1-100,farmers,1000,tempo\/auto
1005,Agriculture,Agriculture Input Shops/ Suppliers,West Kameng,Singchung,Singchung,27.19918,92.47581,3,pakka road,1,4g+ reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,450,monday#tuesday#wednesday#thursday#friday,7,1,tap water from government,N/A,water from government,yes,no,yes,no,burnt within the premises,yes,4,no,N/A,none,N/A,no,no,traditional book keeping,financial support#technical support#marketing support#transport support#support via schemes,no,no,local supplier,fertilizers#pesticides,others,7,posters\/ display boards#village meeting,3000,1000,7,"tractor,watering can,spade,shovel,powertrill",>300,farmers,100,mini luggage transport vehicle
