id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from this asset to avail public transport facility? (in K.M),What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the working days of that asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,How do you deal with the waste generated from that asset?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this asset?,What is the alternative energy source available for that asset?,What is the structure of the ATM?,Cash Deposit Machine (CDM) is available or not?,SWAYAM (Passbook Printing Machine) is available or not?,Public Sector Bank ATM Is Available or not?,Is the ATM Machine equipped with Audible Facility?
2615,Finance,ATM,West Kameng,Dirang,Dirang,27.357540000000004,92.24093,1,pakka road,5.0,4g unreliable,airtel#bsnl#vodafone,"pakka/permenant(steel,concrete,etc.,)",none,599,monday#tuesday#thursday#friday#saturday#wednesday#sunday,1,3,discarded in govt. designated sites,yes,3,yes,diesel generator,closed structure,no,yes,yes,no
3022,Finance,ATM,West Kameng,Nafra,Lower Dzang,27.37207,92.54373,5,pakka road,1.1,4g unreliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",security cameras,930,monday#tuesday#wednesday#thursday#friday#saturday#sunday,2,1,burnt within the premises,no,1,yes,none,closed structure,no,no,no,yes
744,Finance,ATM,Papumpare,Banderdewa,Karsingsa Complex,27.12112,93.78297,1,kacha road,0.0,2g unreliable,bsnl,"pakka/permenant(steel,concrete,etc.,)",none,1440,monday#tuesday#wednesday#thursday#friday#saturday#sunday,2,0,burnt within the premises,yes,4,yes,none,closed structure,yes,no,no,yes
