id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the unit until it was open?,What is the type of the road available to the unit?,How much distance should one travel from the unit to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the unit?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the unit?,What is the type of security available for the unit?,What are the working hours of the unit?(Ex: 9.00A.M-5.A.M),What are the working days of the unit?,How many Technical staff are employed in the unit?,How many Non Technical staff are employed in the unit?,Where do you get drinking water from for using at the unit?,Where do you get water for operational purposes for the unit?,Are there toilets available for public and employees' usage at the unit?,How do you deal with the agricultural waste generated from the unit?,Are the premises of unit cleaned with disinfectant regularly?,How frequently are the premises at the unit cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the unit?,How many hours per day are you facing power cuts in the unit?,What is the alternative energy source available for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the unit?,Does the unit have wired internet connection?,How do you maintain records for operations of the unit?,What are the areas the unit gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the unit?,Are you using any digital technologies that can be used in the unit?,What is the type of products stored in the unit?,How does the unit advertise about the services available?,What is the average operational cost per month to run the unit?(Excluding Salary of the Employees),What are the products purchased by the customers from the unit?,What is the average cost per unit to store in the unit?(In Rupees),Which type of customers store the produce in the unit?,How does the customers transport the goods to store in the unit?,How many cubic meters are available for storage?,Do you have a cold storage facility?,How often did you need to throw away agricultural produce last week?,How do you document wastage of food?
3374,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.60118,93.86347,1,kacha road,2.0,2g reliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,2,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,food grains,marketing team\/ sales agents#others,1000,grain,1-100,farmers,head load,40.0,no,0,book keeping
3375,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.58348,93.91736,1,kacha road,2.0,2g reliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,2,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,food grains,marketing team\/ sales agents#others,1000,grain,1-100,farmers,head load,28.0,no,0,book keeping
3376,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.57463,93.88343,1,kacha road,2.0,2g reliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,2,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,food grains,marketing team\/ sales agents#others,1000,grain,1-100,farmers,head load,28.0,no,0,book keeping
3440,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.5838,93.84526,1,kacha road,3.0,2g unreliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,others,others,no,discarded in open field,no,N/A,no,N/A,none,N/A,no,no,others,none,no,no,food grains,others,500,rice,>300,farmers,head load,3.0,no,1,none
3454,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58377,93.84502,1,kacha road,3.0,2g unreliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,others,others,no,discarded in open field,no,N/A,no,N/A,none,N/A,no,no,others,none,no,no,food grains,others,500,rice,>300,farmers,head load,4.0,no,1,none
3459,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58377,93.84497,1,kacha road,3.0,2g unreliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,others,others,no,discarded in open field,no,N/A,no,N/A,none,N/A,no,no,others,none,no,no,food grains,others,500,rice,>300,farmers,head load,3.0,no,1,none
3460,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58369,93.8451,1,kacha road,3.0,2g unreliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,others,others,no,discarded in open field,no,N/A,no,N/A,none,N/A,no,no,others,none,no,no,food grains,others,500,rice,>300,farmers,head load,4.0,no,1,none
3461,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58393,93.84506,1,kacha road,3.0,2g unreliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,others,others,no,discarded in open field,no,N/A,no,N/A,none,N/A,no,no,others,none,no,no,food grains,others,500,rice,>300,farmers,head load,6.0,no,1,none
3468,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.61533,93.82156,1,kacha road,1.5,2g reliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,food grains,marketing team\/ sales agents#others,1000,grain,1-100,farmers,head load,32.0,no,0,book keeping
3471,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.61356,93.89341,1,kacha road,1.5,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,food grains,marketing team\/ sales agents#others,1000,grain,1-100,farmers,head load,24.0,no,0,book keeping
3475,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.5711,93.8056,1,kacha road,1.5,2g reliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,food grains,marketing team\/ sales agents#others,1000,grain,1-100,farmers,head load,24.0,no,0,book keeping
