id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where does the waste water generated from that asset goes to?,Are the premises of this asset cleaned with disinfectant regularly?,Is that Tap in working condition?,Is check valve working in the tap ?,How far is the tap from the water tank/Source ?,What is the diameter of the Pipe ?,How many Taps are connected to one standpod?,What is the length of the service tap?,What is the basement/ foundation is made of ?,Is there any rust on the tap ?,Were people drinking water while you visited this spot?,Are there any charges which come when getting water from this tap?,What is the frequency of technical maintenance or safety audit ?
1133,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Yachuli,Yoglo,27.51541,93.70278,kacha road,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,none,1,3,discarded in open field,no,yes,yes,between 200-500 meters,12mm,1,2,others,no,no,no,never
1135,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Yachuli,Yoglo,27.51618,93.70361,kacha road,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,none,1,3,discarded in open field,no,yes,yes,between 200-500 meters,12mm,2,2,others,no,no,no,never
1142,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Yachuli,Yoglo,27.51555,93.70331,kacha road,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,none,1,3,discarded in open field,no,yes,yes,between 200-500 meters,12mm,1,2,others,no,no,no,never
1158,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Yachuli,Yoglo,27.51778,93.70734,kacha road,2g unreliable,airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,technical support,1,0,none,no,yes,yes,above 500 meters,24mm,1,0.7,others,yes,no,no,never
1221,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Lapnan,26.989490000000004,95.48446,pakka road,4g unreliable,bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,780,none,30,0,discarded in open field,no,yes,yes,above 500 meters,12mm,1,2,cement,no,no,no,never
1241,Water,Public Taps/ Public Stand Pod,East Siang,Pasighat,Rengging,28.14397,95.27385,footway,2g unreliable,airtel#jio#bsnl#vodafone,"pakka/permenant(steel,concrete,etc.,)",none,1440,none,2,0,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,1,1,cement,no,yes,no,yearly
1242,Water,Public Taps/ Public Stand Pod,East Siang,Pasighat,Rengging,28.142540000000004,95.27233,footway,2g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,none,2,0,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,1,1,cement,no,yes,no,yearly
1258,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Kaimoi,27.03905,95.49477,kacha road,4g reliable,bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,180,none,30,0,discarded in open field,no,yes,yes,below 200 meters,12mm,1,3,cement,no,yes,no,never
1267,Water,Public Taps/ Public Stand Pod,West Kameng,Singchung,Singchung,27.19729,92.4735,footway,4g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,none,1,0,none,yes,yes,no,below 200 meters,others,1,2,cement,no,yes,no,others
1316,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Tajang,27.59986,93.82489,kacha road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,support via schemes,1,0,mixes with the near by water bodies,no,yes,yes,above 500 meters,12mm,1,0,cement,no,yes,no,never
1363,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Kaimoi,27.03987,95.49684,kacha road,4g reliable,bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,120,none,30,0,discarded in open field,no,yes,yes,below 200 meters,12mm,1,2,cement,no,no,no,never
1377,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Yachuli,Jara,27.527990000000006,93.77237,pakka road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,840,support via schemes,1,2,mixes with the near by water bodies,no,yes,yes,above 500 meters,24mm,1,2,cement,yes,yes,no,yearly
1523,Water,Public Taps/ Public Stand Pod,Changlang,Changlang,Changlang (CT),27.14291,95.74102,footway,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,120,none,1,0,mixes with the near by water bodies,no,yes,yes,above 500 meters,12mm,1,5,cement,no,yes,no,irregular
1618,Water,Public Taps/ Public Stand Pod,East Siang,Mebo,Mebo,28.16992,95.4114,kacha road,4g reliable,bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,none,1,0,others,no,yes,yes,between 200-500 meters,12mm,1,1,cement,no,yes,no,monthly
1638,Water,Public Taps/ Public Stand Pod,East Siang,Mebo,Mebo,28.16947,95.41183,kacha road,4g reliable,airtel#jio#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,none,1,0,discarded in open field,no,yes,no,between 200-500 meters,12mm,1,1,cement,no,yes,no,irregular
1640,Water,Public Taps/ Public Stand Pod,East Siang,Mebo,Mebo,28.17,95.41209,kacha road,4g reliable,bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,none,1,0,discarded in open field,no,yes,yes,between 200-500 meters,12mm,1,1,cement,no,yes,no,irregular
1645,Water,Public Taps/ Public Stand Pod,East Siang,Mebo,Mebo,28.17221,95.4119,kacha road,4g reliable,jio#airtel#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,technical support,1,0,discarded in open field,no,yes,no,between 200-500 meters,12mm,1,1,cement,no,yes,no,irregular
1650,Water,Public Taps/ Public Stand Pod,East Siang,Mebo,Mebo,28.17103,95.41108,kacha road,4g reliable,airtel#jio#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,none,1,0,others,no,yes,yes,between 200-500 meters,12mm,1,1,cement,yes,yes,no,irregular
1655,Water,Public Taps/ Public Stand Pod,East Siang,Mebo,Mebo,28.17221,95.4119,kacha road,4g reliable,jio#airtel#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,technical support,1,0,discarded in open field,no,yes,no,between 200-500 meters,12mm,1,1,cement,no,yes,no,irregular
1656,Water,Public Taps/ Public Stand Pod,East Siang,Mebo,Mebo,28.17315,95.40498,kacha road,4g reliable,airtel#jio#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,technical support,1,0,discarded in open field,no,yes,yes,above 500 meters,12mm,1,1,cement,yes,yes,no,monthly
1679,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Kaimoi,27.03757,95.49888,footway,4g reliable,bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,60,none,10,0,discarded in open field,no,yes,yes,between 200-500 meters,12mm,1,2,cement,no,no,no,never
1720,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Kheti,26.97055,95.50475,pakka road,4g reliable,jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,660,financial support,5,0,discarded in open field,no,yes,no,below 200 meters,12mm,1,5,cement,yes,yes,no,monthly
1753,Water,Public Taps/ Public Stand Pod,East Siang,Oyan,Oyan Village,27.88415,95.31452,pakka road,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,financial support,1,0,discarded in open field,yes,yes,yes,below 200 meters,12mm,1,30,cement,no,yes,no,monthly
